15年 3月15日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月15日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  ダ1400m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,昇竜ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ａサンディｰクス, 67,藤岡康,, 56,* -4,   0, 3,  4.8,②②②, 1, 9, ウインアルカディア,,熊沢重,,,,, 3,  5.6,②①①, 1, 7,Ａデビルズハｰツ, 76,古川吉,, 75,   4,* 12, 1,  2.7,⑦⑥⑥, 1, 8,Ａアキトクレッセント, 83,浜中俊,, 79,* 13,   6, 2,  3.4, ②②
 2, 9,Ｂフェブカリエンテ, 63,高倉稜, 0.0, 60,  -6,*  3, 2,  4.0,⑬⑪⑪, 2, 7, レオウィッシュ,,原田和,201.2,,,,14,131.2,⑥⑥⑥, 2, 8,Ｅデジタルフラッシュ, 72,勝浦正, 0.5, 72,*  5,   6, 3,  4.6,③③③, 2, 3,Ｃアルタイル, 79,松岡正, 0.2, 74,   7,* 12, 4, 15.6, ⑨⑨
 3,12,Ｃゼンノウラヌス, 61,浜中俊, 0.1, 58,  -7,*  3, 4,  5.3,⑥⑧⑧, 3, 8, トウケイギムレット,,佐久間,201.7,,,, 4,  5.8,⑤③③, 3,10,Ｄパラティｰノ, 73,小崎綾, 1.1, 68,   4,   2, 4,  8.2,⑤⑤⑤, 3,10,Ｄカフジテイク, 74,秋山真, 0.4, 73,   8,   8, 3,  8.7, ⑦⑦
 4, 4,Ｍクラウドサｰファｰ, 44,義英真, 0.4, 53,  -6,  -1,12,102.6,③⑥④, 4,11, メイショウゼロセン,,森一馬,202.5,,,, 8, 20.5,①②②, 4, 4,Ｂチュウワワンダｰ, 75,川島信, 1.7, 66,   0,   6, 5,  8.5,⑩⑩⑩, 4,12,Ｂアジアンテｰスト, 82,バルジ, 0.7, 71,  11,   1, 1,  1.8, ④④
 5, 1,Ｈオブストラクション, 55,松岡正, 0.5, 54, -10,*  5, 8, 46.7,⑭⑮⑭, 5, 2, ホクレア,,高野和,202.6,,,, 2,  3.9,④⑤④, 5, 3,Ｃレイズオブザサン, 73,松田大, 2.0, 63,   3,  -2, 2,  3.7,⑧⑧⑧, 5, 4,Ｅプレシャスルｰジュ, 71,松若風, 0.8, 71,   7,   7, 6, 20.6, ⑧⑧
 6,15,Ｅレッツイットラン, 56,松若風, 0.7, 53,  -6,  -4, 5,  5.6,⑨⑦⑦, 6,12, ハｰドロッカｰ,,上野翔,202.7,,,, 6, 19.5,⑧⑧⑧, 6,11,Ｇベストヴィジョン, 62,黛弘人, 2.0, 65,   2,   0, 8, 54.4,⑨⑨⑨, 6,11,Ｊカラパナビｰチ, 62,吉田隼, 0.9, 67,   5,   7, 7, 28.8, ⑪⑫
 7,14,Ｎヤマニントライブ, 43,鮫島克, 1.0, 50,  -7,  -5,13,129.3,⑫⑩⑩, 7, 1, オマモリ,,浜野谷,202.7,,,, 7, 19.6,⑦⑦⑦, 7, 1,Ｈタツグレｰト, 62,松若風, 2.4, 60,*  5, -11, 7, 37.7,①①①, 7, 5,Ｇメイショウワダイコ, 70,池添謙, 1.2, 68,* 13,  -6, 5, 17.6, ①①
 8,10,Ｄカシノゼウス, 59,熊沢重, 1.0, 49,* -5,  -8, 6, 20.2,⑤③③, 8,10, ワイルドアンセム,,高田潤,203.0,,,, 5, 12.2,⑭⑨⑪, 8, 6,Ｉサンレイレッカｰ, 58,義英真, 2.7, 56,   4, -12,11,134.2,④④④, 8, 1,Ｌデブリン, 59,勝浦正, 1.4, 64,   4,   5,11,116.2, ⑫⑪
