15年10月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月10日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  ダ1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,久多特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,10,Ｄガウェイン, 53,国分優, 2.8, 35,   1, -22, 6, 41.2, ⑦⑩,12,16, ウォｰタｰバオバブ,---,菱田裕, 2.7, 45,  -1, -20, 5, 20.4, ⑤⑨,12,13,Ｐウインバニラスカイ, 52,和田竜, 2.2, 51,  -4,  -6,14,115.8, ⑯⑯,12, 8,Ｆフェブノヘア, 76,太宰啓, 0.5, 71,   6,   0,13, 59.4, ⑥⑦
,,,,,,,,,,,,13,13, ショウナンカイドウ,---,池添謙, 3.5, 38,  -1, -27, 3,  8.5, ⑥⑥,13,15,Ｂアドマイヤシャイ, 76,岩田康, 2.3, 52,   4, -17, 2,  5.2, ⑩⑬,13,16,Ｐスノｰエンジェル, 68,和田竜, 0.5, 72,* 10,  -6,10, 33.0, ②②
,,,,,,,,,,,,14, 8, モズジュピタｰ,---,加藤祥, 3.5, 37, -10, -15,16,283.1, ⑯⑭,14,10,Ｍコリャコリャ, 63,松若風, 2.7, 51,* 10, -28,15,128.6, ③④,14, 6,Ｎエクスクライム, 71,加藤祥, 0.5, 70,  -1,*  9,18,244.8, ⑯⑯
,,,,,,,,,,,,15,14, タケノヒゴノオｰ,---,福永祐, 3.8, 34, -10, -18,13,145.0, ⑮⑯,15, 1,Ｌマナオラナ, 64,加藤祥, 2.8, 49,   9, -28, 8, 23.0, ④⑥,15,18,Ｊプラチナテｰラｰ, 72,鮫島克, 0.6, 69,   6,  -2,16, 79.7, ⑨⑩
,,,,,,,,,,,,16,11, ピエナダンディｰ,---,武豊  , 4.3, 31,  -7, -26,10, 57.0, ⑪⑮,16,16,Ｊカレンコティヤｰル, 66,松山弘, 4.0, 40,   9, -38,11, 63.3, ⑤⑦,16, 9,Ｇアポロパレス, 75,松若風, 0.7, 67,   4,  -2,17,142.9, ⑫⑫
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,12,Ｑダノングラシアス, 65,岩田康, 0.8, 66,   0,   2, 7, 17.5, ⑮⑮
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,11,Ｉスザク, 73,菱田裕, 1.0, 63,  -5,   6,12, 53.5, ⑱⑱
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-7 馬場:良(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:-4),,,,,,,,,,,
単勝:130円 複勝:03=100円 08=160円 05=200円 枠連:410円,,,,,,,,,,,,"単勝:990円 複勝:04=440円 03=840円 01=870円 枠連:13,610円",,,,,,,,,,,,"単勝:750円 複勝:11=230円 02=5,960円 07=230円 枠連:4,450円",,,,,,,,,,,,"単勝:1,770円 複勝:15=630円 01=540円 14=520円 枠連:3,410円",,,,,,,,,,,
"馬連:520円 ワイド:03-08=220円 03-05=380円 05-08=1,030円",,,,,,,,,,,,"馬連:14,960円 ワイド:03-04=3,340円 01-04=3,500円 01-03=6,030円",,,,,,,,,,,,"馬連:100,310円 ワイド:02-11=24,890円 07-11=820円 02-07=21,180円",,,,,,,,,,,,"馬連:14,270円 ワイド:01-15=4,670円 14-15=3,100円 01-14=3,340円",,,,,,,,,,,
"馬単:550円 3連複:1,370円 3連単:3,180円",,,,,,,,,,,,"馬単:29,040円 3連複:61,550円 3連単:388,680円",,,,,,,,,,,,"馬単:116,500円 3連複:228,030円 3連単:1,181,710円",,,,,,,,,,,,"馬単:29,040円 3連複:61,030円 3連単:497,310円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  芝1600m 2 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 8R  芝2000m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■11R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,平城京ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂレヴィンインパクト, 55,ルメｰ,, 58, -10,*  7, 1,  1.8, ⑤⑥, 1,10, シンハライト,---,池添謙,, 44, -23,* -2, 1,  2.4, ⑤⑤, 1, 4,Ａジェネラルゴジップ, 77,ルメｰ,, 79,  -3,*  9, 1,  2.3,③⑤⑥, 1, 8,Ａイｰスタｰパレｰド, 88,幸英明,, 82,  13,*  3, 1,  3.8,⑦⑦⑦
 2, 3,Ａゼンノタヂカラオ, 58,武豊  , 0.1, 57, -10,*  7, 2,  2.5, ⑥⑤, 2,12, オウケンビリｰヴ,---,岩田康, 0.2, 43, -25,* -2, 3,  4.7, ⑧⑥, 2, 8,Ｇピｰスオブジャパン, 71,藤岡康, 0.1, 76,*  0,   4, 7, 16.4,⑫③②, 2, 2,Ｊヒルノデイバロｰ, 80,四位洋, 0.2, 80,* 15,  -4, 5,  8.1,①①①
 3, 4,Ｄディｰプエクシｰド, 46,岩田康, 0.4, 52,  -9,  -2, 3,  6.7, ④④, 3, 6, リボンフラワｰ,---,ルメｰ, 0.5, 39, -25,  -5, 2,  3.8, ⑦⑧, 3, 6,Ｃフロｰレスダンサｰ, 75,岩田康, 0.2, 78,  -3,   8, 4,  8.0,④⑦⑦, 3, 4,Ｃセイスコｰピオン, 86,藤岡康, 0.4, 80,  10,*  5, 8, 13.7,⑫⑫⑩
