15年12月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年12月19日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ2500m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  ダ1200m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,仲冬ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｂクインズカリナン, 57,吉田豊,, 54,   5,* -7, 4,  5.7, ⑨⑨, 1, 8,Ａマウントロブソン, 67,戸崎圭,, 62,   3,*  3, 1,  1.3,⑨⑧⑧, 1, 9,Ｄサトノセレリティ, 77,蛯名正,, 82,*  7,* 15, 1,  3.0,③③③, 1, 1,Ｂブルドッグボス, 84,内田博,, 82,  13,   6, 1,  1.7, ④④
 2,11,Ｐフジワンエンジェル, 25,幸英明, 0.2, 54,   7, -11, 9, 42.1, ⑦④, 2, 6,Ｄメゾンリｰ, 56,横山典, 0.2, 60,   3,*  0, 4, 15.1,⑧⑦⑤, 2, 5,Ａガヤルド, 78,内田博, 0.4, 80,   6,* 16, 6, 10.5,⑪⑪⑦, 2,14,Ｅエンドレスノット, 82,幸英明, 0.0, 81,   5,* 13,11, 39.2, ⑩⑩
 3, 8,Ｋカシノアｰニング, 39,二本柳, 0.6, 49,   4, -12,15,199.4, ⑩⑧, 3,15,Ｅマイネルツィｰル, 56,三浦皇, 0.3, 58,*  6, -10, 8, 46.5,②②③, 3, 7,Ｅバイオンディップス, 75,田辺裕, 1.5, 71,   6,   4, 7, 10.6,⑩⑥④, 3,13,Ｃビリオネア, 83,岡田祥, 0.0, 81,   3,* 15, 3,  8.2, ⑫⑪
 4, 1,Ｍラブラブビｰム, 38,岩部純, 0.6, 53,* 12, -18,12,124.5, ①①, 4, 1,Ｂバルダッサｰレ, 58,田辺裕, 0.4, 57,*  6,  -9, 3, 11.0,③③②, 4, 6,Ｉレオナビゲｰト, 68,横山典, 1.6, 71,*  8,   0, 9, 32.3,①①①, 4, 6,Ｄキタサンミカヅキ, 82,武士沢, 0.0, 80,   2,* 16, 2,  6.9, ⑬⑬
 5,16,Ａトウショウスレッジ, 62,柴田大, 0.7, 47,   2, -11, 3,  4.3, ⑬⑫, 5, 2,Ｃキャノンストリｰト, 57,木幡初, 0.7, 55,   5, -11, 2,  7.0,⑤⑤⑥, 5,10,Ｃキネオフォルツァ, 77,戸崎圭, 1.7, 71,   6,   3, 3,  6.5,⑥⑦⑥, 5,11,Ａブルｰストｰン, 84,田辺裕, 0.1, 82,* 15,   4, 4, 10.9, ③③
 6, 3,Ｄキョウエイスコｰル, 53,戸崎圭, 0.7, 50,* 11, -19, 5,  6.0, ②②, 6,13,Ｆマイネルクラフト, 51,柴田大, 0.9, 56,  -2,*  1,10, 57.5,⑮⑮⑮, 6, 2,Ｇアバオアクｰ, 72,田中勝, 1.9, 70,   6,   2, 2,  5.3,⑫⑨⑤, 6,15,Ｌサルバドｰルハクイ, 77,戸崎圭, 0.5, 77,   7,   7, 9, 32.4, ⑨⑧
 7, 4,Ｅブリスフルタイム, 50,三浦皇, 0.8, 49,* 10, -19, 1,  3.9, ③③, 7, 9,Ｇサンホッブズ, 50,松岡正, 0.9, 55,   1,  -4, 6, 28.5,⑪⑪⑨, 7,12,Ｂメイスンキャプテン, 78,柴山雄, 2.1, 69,   4,   4, 4,  6.8,⑮⑬⑫, 7, 9,Ｉイｰグルカザン, 78,柴田大, 0.6, 75,   2,  10,12, 69.4, ⑭⑭
 8, 2,Ｉゴセイバイシキモク, 43,木幡初, 1.1, 45,   7, -19,13,143.0, ⑤⑤, 8,14,Ｈキｰクラッカｰ, 49,松田大, 1.0, 51,*  7, -23, 9, 53.1,①①①, 8,11,Ｈアメリカンゴｰルド, 69,幸英明, 2.3, 67,   6,  -2, 8, 29.6,⑨⑧⑧, 8, 7,Ｆアピア, 82,柴山雄, 0.7, 77,* 15,  -3, 8, 23.6, ②②
