15年10月17日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月17日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝2850m 3歳上未勝利 定量,,,,,,,,,,,,■ 4R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,瓢湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8, シャドウカラｰズ,,山本康,,,,, 1,  1.4,①①①, 1, 7, クラウンデピュティ,,金子光,,,,, 1,  3.8,④④②, 1, 2,Ａヨウライフク, 71,北村友,, 71,*  1,   6, 4,  6.8, ①①, 1, 3,Ａトレジャｰマップ, 80,丸山元,, 77,  10,* -2, 1,  2.2,⑬⑪⑨
 2, 6, ピタゴラスコンマ,,金子光,189.5,,,, 2,  3.5,④②②, 2, 1, プレスリｰ,,蓑島靖,189.1,,,, 4,  4.6,⑤③④, 2, 8,Ｂレガリテｰト, 71,高倉稜, 0.5, 68,*  0,   4, 3,  6.0, ④②, 2,10,Ｒクインズストｰム, 58,嘉藤貴, 0.0, 76,  11,  -6,17,183.1,⑤⑤⑤
 3, 9, ツカサブレイブ,,佐久間,192.1,,,, 6, 33.6,③③③, 3, 6, サンマルヴィエント,,高野和,189.6,,,, 2,  4.6,②②③, 3, 9,Ｅマルカメテオ, 68,松若風, 0.8, 65,  -8,*  8, 2,  3.8, ⑪⑪, 3,18,Ｄサウンドメモリｰ, 75,古川吉, 0.1, 73,   9,* -2, 4, 10.1,⑫⑬⑬
 4, 1, シゲルウシュウ,,上野翔,192.3,,,, 5, 17.8,⑤④④, 4, 5, アドマイヤイチバン,,浜野谷,190.2,,,, 5,  5.1,⑥⑦⑦, 4,10,Ｆサウスキング, 67,伊藤工, 0.9, 63,  -2,   2, 1,  3.1, ⑥⑤, 4,16,Ｅサブライムカイザｰ, 75,黛弘人, 0.2, 74,   8,  -4, 6, 11.7,⑪⑫⑫
 5, 4, ステキステキ,,石神深,193.6,,,, 4, 17.5,②⑤⑤, 5, 2, ワｰルドカップ,,佐久間,190.6,,,, 7, 21.6,⑦⑥⑥, 5,12,Ｈニシノイナズマ, 65,松田大, 1.1, 62,  -2,   0, 7, 24.0, ⑤⑥, 5,14,Ｐウインブルｰロｰズ, 63,丹内祐, 0.2, 73,   9,* -2,16, 81.3,⑭⑮⑮
 6, 7, ジョｰジジョｰジ,,大江原,194.1,,,, 3, 12.7,⑧⑧⑧, 6, 8, シゲルオウシザ,,草野太,191.3,,,, 6, 13.2,①①①, 6,11,Ｊアｰネストミノル, 61,丸山元, 1.1, 63,  -5,   4,12,104.1, ⑩⑩, 6, 9,Ｇラハイナルナ, 71,鮫島克, 0.2, 73,  10,  -7, 8, 15.4,⑦⑦⑦
 7, 3, オリオンザプラズマ,,高野和,195.4,,,, 7, 43.0,⑦⑦⑦, 7, 4, ワイルドジｰク,,上野翔,192.5,,,, 8, 49.6,⑨⑨⑨, 7, 1,Ｉディアジｰスタｰ, 63,丸田恭, 1.2, 59, -13,* 10,13,127.8, ⑫⑬, 7, 7,Ｉラウレアブルｰム, 69,松若風, 0.3, 71,  10,  -7, 5, 11.7,⑨⑩⑪
 8, 5, セイマイスタｰ,,黒岩悠,195.8,,,, 9, 91.0,⑥⑥⑥, 8, 3, フリメｰル,,大江原,192.6,,,, 9, 71.6,⑧⑧⑧, 8, 6,Ｃサウスリュウセイ, 70,勝浦正, 1.3, 60,  -5,   1, 5,  7.8, ⑦⑦, 8,13,Ｌプラトンイミシャン, 67,勝浦正, 0.3, 72,  10,  -7,11, 40.4,⑧⑨⑩
