15年 1月18日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月18日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-8,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,熱田特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｇカシノトラダマシイ, 42,伴啓太,, 58, -14,* 10,12,100.1, ⑫⑪, 1, 6, ハギノセゾン,,北沢伸,,,,, 3,  4.7,①①①, 1, 9,Ｄウインクルキラリ, 72,松若風,, 73,*  3,*  8, 5,  6.6,①①①, 1, 4,Ｄカッパドキア, 76,松田大,, 79,  10,*  0, 2,  5.2,⑩⑨⑨
 2, 6,Ａタピエス, 62,杉原誠, 0.1, 55,  -8,*  3, 4, 10.1, ⑦⑤, 2, 2, ハヤブサゴッド,,草野太,202.5,,,, 5, 10.1,②④④, 2, 3,Ｅソロデビュｰ, 72,小崎綾, 0.3, 70,   3,   6, 2,  3.4,③③③, 2, 5,Ａスマッシュスマイル, 79,勝浦正, 0.0, 79,  11,* -1, 8, 14.9,⑪⑩⑧
 3, 7,Ｂスクワｰル, 61,藤岡康, 0.2, 56,  -7,   1, 1,  1.8, ④④, 3, 7, イフウドウドウ,,難波剛,202.6,,,,11, 55.3,⑨⑧⑤, 3, 7,Ｂメテオｰリカ, 74,吉田隼, 0.5, 68,   1,*  9, 4,  6.3,⑦⑦⑥, 3, 8,Ｅビキニスタイル, 74,鮫島良, 0.2, 77,   8,*  0, 5,  9.4,⑫⑪⑩
 4,15,Ｄショウナンマキシム, 51,勝浦正, 0.5, 55,  -6,  -1, 2,  5.8, ⑤⑥, 4,13, アイティテイオｰ,,山本康,202.9,,,, 4,  6.5,⑤③③, 4, 4,Ｈメテオレイン, 67,松田大, 0.5, 70,   3,   5, 9, 36.0,⑤⑤⑤, 4,14,Ｃシュネｰル, 77,松山弘, 0.3, 78,   8,*  0, 4,  7.8,⑬⑭⑭
 5, 9,Ｈロｰドワイルド, 42,松田大, 0.5, 55,* -4,  -2, 6, 16.2, ①①, 5, 9, クリノキングムｰン,,平沢健,203.0,,,, 9, 28.3,③②②, 5, 8,Ａハギノウィッシュ, 74,柴田未, 0.9, 67,   2,   4, 3,  6.0,⑥⑥⑧, 5, 2,Ｉダノンドリｰム, 70,川須栄, 0.5, 74,   8,  -3, 9, 16.8,⑥⑫⑫
 6,11,Ｅブラックブリｰズ, 50,丸山元, 0.7, 52,* -6,  -4, 3,  7.5, ②③, 6, 1, コｰリンジャヴロｰ,,上野翔,204.1,,,, 6, 15.8,⑥⑥⑥, 6, 2,Ｃエアマデレｰン, 72,松山弘, 1.0, 68,   1,   4, 1,  2.9,⑨⑨⑨, 6, 7,Ｎデルマサリｰチャン, 58,丸山元, 0.6, 71,  12, -13,11, 59.4,⑦⑥⑥
 7,16,Ｆサｰティグランド, 44,義英真, 0.8, 50,  -9,  -3, 9, 49.4, ⑥⑧, 7, 4, コスモパトラ,,浜野谷,204.5,,,, 8, 25.9,④⑤⑦, 7, 1,Ｉイタリアンフェッテ, 61,西田雄, 1.1, 69,   2,   4, 7, 28.3,⑧⑧⑦, 7, 3,Ｆモシモシ, 72,松若風, 0.7, 73,   9,  -5, 7, 13.1,⑭⑬⑬
 8, 8,Ｉシゲルオハシリサン, 42,川島信, 1.4, 48, -11,  -5,13,159.3, ⑪⑨, 8, 3, シンボリボルドｰ,,金子光,205.1,,,, 1,  3.2,⑩⑨⑨, 8, 5,Ｆティボリハｰモニｰ, 70,義英真, 1.5, 61,   2,  -3, 8, 30.9,④④④, 8,10,Ｈテイコフトウショウ, 70,国分恭, 1.0, 67,* 15, -25, 3,  6.8,①①①
 9, 2,Ｏトゥルｰスナイト, 27,木幡初, 1.9, 42, -17,  -4,15,200.7, ⑬⑬, 9, 8, スタｰファンタジア,,高野和,208.9,,,,13,124.1,⑦⑦⑧, 9, 6,Ｇワンダｰテルヌｰラ, 68,川須栄, 1.7, 62,*  4,  -6, 6, 20.0,②②②, 9,12,Ｊグレｰトヴァリュｰ, 70,川島信, 1.1, 67,  12, -21,14, 85.3,②③③
10, 1,Ｌサンブラジリア, 36,水口優, 2.1, 40, -20,  -3,14,165.0, ⑮⑮,10,10, ホトトヤエ,,五十嵐,209.5,,,, 7, 22.8,⑪⑫⑫,,,,,,,,,,,,,10,11,Ｋヤマニンエルフィン, 69,義英真, 1.5, 63,  12, -28,10, 29.2,⑤④④
11, 4,Ｃオｰミエルサ, 51,原田和, 2.4, 38, -11, -13,11, 98.2, ⑩⑫,11,12, ヤギリヒマワリ,,大江原,209.7,,,,14,147.7,⑫⑪⑪,,,,,,,,,,,,,11, 1,Ｇテンカイチ, 71,井上敏, 1.7, 63,   6, -14,13, 70.3,⑮⑮⑮
12,10,Ｍサイクルヒッタｰ, 35,国分恭, 2.4, 39, -19,  -5,16,250.0, ⑯⑯,12, 5, スズカアｰサｰ,,石神深,210.6,,,,12, 69.9,⑧⑩⑩,,,,,,,,,,,,,12, 9,Ｍユキノユウダン, 66,原田和, 1.8, 62,  13, -29,12, 62.3,⑧⑦⑦
13, 5,Ｎコスモワカツキ, 31,柴田未, 2.5, 36,  -7, -19, 7, 16.7, ③②,13,14, フェミニンドレス,,田村太,210.9,,,,10, 55.1,⑬⑬⑬,,,,,,,,,,,,,13, 6,Ｌミッキｰデｰタ, 68,藤岡康, 1.9, 60,  12, -31, 1,  3.5,③⑤⑤
14, 3,Ｋパｰプルファイト, 38,松山弘, 2.6, 37, -17, -10, 8, 33.9, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,14,15,Ｂロｰザズカレッジ, 77,吉田隼, 2.3, 55,* 14, -42, 6,  9.6,⑨②②
15,14,Ｊロｰプアドｰプ, 39,吉田隼, 2.7, 33,  -8, -20, 5, 15.6, ⑧⑦,,,,,,,,,,,,,,,,,,,,,,,,,15,13,Ｏビコｰワンダフル, 52,柴田未, 3.4, 50,   9, -43,15,374.6,④⑧⑪
16,13,Ｐクリノコクシムソウ, 12,中井裕, 3.1, 32, -10, -22,10, 50.4, ⑨⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
