15年 9月 6日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 9月 6日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝2850m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:12,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,飯豊特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂニシノジャｰニｰ, 55,柴田善,, 52, -10,   2, 2,  3.6, ③④, 1,11, トｰセンソユｰズ,,五十嵐,,,,, 4,  7.8,⑦⑦④, 1, 4,Ｇクラウンジｰニアス, 61,柴田大,, 74,  -6,* 17, 5, 18.5,⑭⑭⑫, 1, 3,Ｂヤサカオディｰル, 74,的場勇,, 76,*  1,   7, 4,  9.2, ②①
 2,17,Ａコスモレティクルム, 58,柴田大, 0.1, 55, -13,   7, 3,  4.9, ⑪⑪, 2, 3, ラグジｰドライブ,,高野和,184.5,,,, 8, 21.8,⑤③①, 2, 3,Ｅキｰフォｰサクセス, 63,内田博, 0.1, 70,  -1,   6, 2,  5.5,③③③, 2,11,Ｃヤマニンマンドｰル, 72,戸崎圭, 0.0, 79, -12,* 20, 2,  2.9, ⑩⑧
 3,13,Ｇレディバゴ, 47,武士沢, 0.1, 58, -14,* 10, 5,  9.4, ⑫⑬, 3, 7, レッドヴィｰヴォ,,上野翔,184.5,,,, 1,  3.2,⑧⑥③, 3, 9,Ａブランダルジャン, 68,北村宏, 0.4, 69,  -5,*  9, 3, 10.8,⑮⑬⑩, 3, 6,Ｊヒルノケアンズ, 65,柴田善, 0.1, 77,  -8,  15, 5,  9.8, ⑥④
 4,15,Ｄコｰサｰ, 53,田中勝, 0.1, 53, -12,   3, 4,  7.1, ⑨⑦, 4, 9, アサクサポイント,,山本康,186.1,,,, 5,  9.7,⑥⑧⑧, 4,13,Ｂヒアカムズザサン, 68,戸崎圭, 0.4, 66,  -2,   4, 1,  1.6,⑦⑦⑥, 4,13,Ｉメイショウゲンブ, 66,小牧太, 0.3, 74,  -9,  13, 8, 27.9, ⑨⑨
 5,14,Ｃヒットリタｰンキｰ, 54,伊藤工, 0.2, 54, -16,* 11, 1,  3.6, ⑯⑰, 5, 4, ハヤブサフィｰバｰ,,草野太,186.2,,,, 9, 25.0,②①②, 5,17,Ｊニシノリコルディ, 58,柴田善, 0.5, 67,  -6,* 10, 7, 23.6,⑯⑯⑯, 5,10,Ｄスカイキュｰティｰ, 72,北村宏, 0.4, 72,  -5,   8, 6, 12.2, ⑤⑥
 6,16,Ｅクインズクオｰツ, 51,蛯名正, 0.2, 54, -14,   7, 6, 19.5, ⑮⑮, 6,12, キｰプトライン,,江田勇,186.5,,,, 6, 15.6,③④⑥, 6, 8,Ｉリコリアｰノ, 60,石川裕, 0.7, 65,  -3,   3,11, 52.5,⑨⑪⑨, 6, 4,Ｇエリｰティアラ, 67,江田照, 0.5, 69,  -4,   5, 3,  7.2, ④⑤
 7, 7,Ｆテイエムアムンゼン, 47,吉田隼, 0.4, 45,* -7,  -7, 7, 21.6, ②②, 7, 6, ウルトラサウンド,,浜野谷,187.6,,,, 2,  3.7,④⑤⑦, 7, 6,Ｆオメガプレイヤｰ, 62,デムｰ, 0.8, 61,  -2,  -1, 9, 28.3,⑤⑥⑤, 7, 7,Ｈスｰパｰアｰス, 67,大野拓, 0.5, 73, -13,  15, 7, 17.9, ⑪⑫
 8, 2,Ｏラチェット, 21,木幡初, 0.5, 48, -14,   2,10, 95.6, ⑩⑨, 8, 8, プレスリｰ,,蓑島靖,187.8,,,, 3,  4.6,⑩⑨⑨, 8, 5,Ｏレッドベリンダ, 53,田辺裕, 0.8, 60,*  1,  -8, 6, 19.8,①①①, 8, 1,Ａリアルヴィｰナス, 75,秋山真, 0.6, 69,  -6,   7, 1,  2.8, ⑦⑦
 9, 9,Ｍワタシニマカセテ, 25,大庭和, 0.5, 51, -18,* 10,14,282.0, ⑰⑯, 9, 2, コクシブルｰス,,大江原,188.5,,,,10, 82.1,①②⑤, 9,12,Ｌサウスポｰルツアｰ, 55,吉田豊, 0.9, 65,  -5,   5,17,327.5,⑫⑮⑬, 9, 5,Ｆエクスクライム, 69,吉田隼, 0.7, 68,  -9,   8, 9, 71.5, ⑧⑩
10, 5,Ｉシピ, 41,石川裕, 0.5, 45,* -7,  -8, 8, 26.5, ①①,10, 1, ナッハフォルガｰ,,林満明,190.3,,,, 7, 21.3,⑨⑩⑩,10,15,Ｃニシノインシュアラ, 66,江田照, 1.0, 58,  -2,  -7,10, 48.7,⑧⑤⑦,10,12,Ｋハワイアンシュガｰ, 63,岩部純, 0.8, 70, -18,* 16,12,245.6, ⑬⑬
11, 4,Ｐサンデリアｰナ, 20,松岡正, 0.6, 46, -12,  -3,16,366.1, ⑦⑧,11, 5, ヴィクトリｰノヴァ,,金子光,196.8,,,,12,142.4,⑪⑪⑪,11, 7,Ｄマイネルヘルック, 64,松岡正, 1.0, 61,*  1, -11, 4, 11.8,②②②,11, 8,Ｅキングクリチャン, 71,西田雄, 1.0, 64, -13,   8,10, 95.2, ⑫⑪
12,12,Ｈアポロナイスジャブ, 45,吉田豊, 0.7, 44,* -8,  -9, 9, 52.3, ⑤③,12,10, シャオシンジュ,,石神深,198.1,,,,11, 87.3,⑫⑫⑫,12, 1,Ｈワンパクチョウサン, 60,蛯名正, 1.5, 58,  -3,  -8, 8, 27.7,⑩⑩⑧,12, 9,Ｌクリノヤクマン, 61,柴田大, 1.3, 59,  -3,  -6,11,153.1, ③③
13, 8,Ｋシゲルチヌダイ, 31,伴啓太, 0.8, 44, -15,  -1,17,393.4, ⑭⑫,,,,,,,,,,,,,13,18,Ｑリッツィｰ, 47,柴山雄, 1.7, 58, -10,   5,18,445.9,⑱⑱⑱,13, 2,Ｍマツノヴィグラス, 28,松岡正, 2.3, 47,*  0, -22,13,287.6, ①②
14, 6,Ｑツクバオｰキッド, 19,大野拓, 0.8, 46, -16,   2,13,267.1, ⑬⑭,,,,,,,,,,,,,14,10,Ｐレッドアイヴァｰ, 50,田中勝, 2.1, 49,*  0, -24,12, 63.3,④④④,,,,,,,,,,,,
15,10,Ｎウインピアチェｰレ, 25,嘉藤貴, 0.9, 40, -10, -10,11,159.5, ⑥⑥,,,,,,,,,,,,,15,14,Ｍフロｰレンスオｰロ, 55,大野拓, 2.6, 45,  -5, -23,16,313.3,⑪⑫⑮,,,,,,,,,,,,
16,11,Ｊトキメキアイナ, 34,江田照, 1.0, 39, -13,  -7,15,308.4, ⑧⑩,,,,,,,,,,,,,16,16,Ｋシゲルユカタマツリ, 56,秋山真, 2.8, 43,  -6, -20,13,147.5,⑬⑰⑰,,,,,,,,,,,,
17, 3,Ｌハｰモニｰエｰル, 28,柴山雄, 1.7, 29, -10, -23,12,236.0, ④⑤,,,,,,,,,,,,,17,11,Ｎトミケンルｰシッド, 55,西田雄, 3.7, 34,  -3, -41,15,155.5,⑰⑧⑭,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18, 2,Ｒエクボビュｰティｰ, 46,伊藤工, 3.7, 37,  -3, -39,14,152.1,⑥⑨⑪,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:良(指数:1),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:1),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-10 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:稍重(指数:1),,,,,,,,,,,
単勝:360円 複勝:01=140円 17=170円 13=230円 枠連:430円,,,,,,,,,,,,"単勝:780円 複勝:11=430円 03=410円 07=110円 枠連:4,440円",,,,,,,,,,,,"単勝:1,850円 複勝:04=440円 03=240円 09=320円 枠連:4,720円",,,,,,,,,,,,"単勝:920円 複勝:03=250円 11=150円 06=270円 枠連:1,490円",,,,,,,,,,,
馬連:850円 ワイド:01-17=380円 01-13=690円 13-17=640円,,,,,,,,,,,,"馬連:10,090円 ワイド:03-11=2,810円 07-11=850円 03-07=980円",,,,,,,,,,,,"馬連:3,460円 ワイド:03-04=1,110円 04-09=1,810円 03-09=880円",,,,,,,,,,,,"馬連:1,920円 ワイド:03-11=790円 03-06=1,160円 06-11=850円",,,,,,,,,,,
"馬単:1,510円 3連複:2,200円 3連単:7,860円",,,,,,,,,,,,"馬単:22,460円 3連複:11,460円 3連単:88,480円",,,,,,,,,,,,"馬単:8,940円 3連複:12,230円 3連単:95,870円",,,,,,,,,,,,"馬単:5,440円 3連複:5,580円 3連単:44,280円",,,,,,,,,,,
■ 2R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ新潟,,,,,,,,,,,,,,,,,,,,,,,,農林水産省賞典 新潟記念 ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｅナミノリゴリラ, 61,伴啓太,, 67,* -1,   3, 2,  7.6, ②②, 1, 4, マイネルラフレシア,---,柴田大,, 72, -25,* 26, 4,  7.3, ⑤⑤, 1,14,Ｃレッドマジュｰル, 69,柴田善,, 73,*  1,   5, 4,  6.0, ①①, 1, 3,Ｃパッションダンス, 88,デムｰ,, 90,* 17,   5, 6,  9.1, ③③
 2,14,Ｂトエハタエ, 62,柴山雄, 0.0, 65,* -2,*  4, 5, 13.6, ③③, 2,10, ストライクショット,---,デムｰ, 0.4, 69, -30,* 30, 1,  2.6, ⑩⑩, 2,10,Ｂチョコレｰトバイン, 70,戸崎圭, 0.2, 73,  -3,   9, 1,  3.4, ⑥⑥, 2, 6,Ｈマイネルミラノ, 85,柴田大, 0.0, 92,* 20,   1, 9, 16.2, ②②
 3, 7,Ａソサエティクイｰン, 67,戸崎圭, 0.2, 64,*  0,   1, 1,  1.4, ①①, 3, 1, タマワイドベガ,---,田辺裕, 0.7, 59,*-22,  12, 6, 19.4, ①①, 3, 1,Ｆフィフスセント, 67,柴山雄, 0.3, 71,* -1,   5, 7, 19.4, ②②, 3, 4,Ｐファントムライト, 78,戸崎圭, 0.4, 88,  14,   6,13, 47.9, ⑧⑥
 4,12,Ｈサクセスクイｰン, 57,木幡初, 0.3, 63,  -8,*  8, 9, 48.1, ⑫⑩, 4, 9, ミライヘノサイン,---,吉田隼, 0.8, 57,*-24,  13, 5, 14.3, ③③, 4,16,Ｍクラウドチェンバｰ, 62,大野拓, 0.5, 69,* -1,   3,13, 72.8, ④④, 4,13,Ｋロンギングダンサｰ, 83,吉田豊, 0.6, 89,  12,* 11,10, 20.2, ⑰⑬
 5, 9,Ｆティアップセッタｰ, 58,大野拓, 0.5, 61,  -6,   3, 8, 39.6, ⑧⑧, 5,11, トモジャポルックス,---,柴田善, 0.8, 56,*-24,  11, 2,  4.2, ②②, 5, 5,Ｈホッコｰヴァｰル, 67,松岡正, 0.5, 72, -11,* 14, 5,  7.7, ⑭⑬, 5, 2,Ｎラブイズブｰシェ, 81,田辺裕, 0.7, 86,  13,   5,14, 68.3, ⑪⑩
 6,13,Ｄオンファロス, 62,デムｰ, 0.5, 61,  -5,   4, 3,  9.2, ⑨⑨, 6, 7, コスモジャｰベ,---,石川裕, 1.1, 55, -27,  13,10, 61.4, ⑥⑥, 6,18,Ｇシュンクルｰズ, 67,蛯名正, 0.5, 71,  -5,   8, 8, 19.4, ⑨⑨, 6, 7,Ｆダコｰル, 87,小牧太, 0.7, 88,  12,* 10, 7, 10.7, ⑬⑭
 7,15,Ｃクレアｰフォンテン, 62,柴田大, 0.7, 59,  -4,   0, 7, 19.8, ⑥⑥, 7, 8, エアワイバｰン,---,戸崎圭, 1.3, 53, -28,  12, 3,  4.6, ⑧⑦, 7, 2,Ｑクリノカンパニｰ, 58,宮崎北, 0.7, 67,  -5,   5,18,314.3, ⑦⑦, 7,12,Ｅアルフレｰド, 87,柴山雄, 0.8, 86,  10,* 11, 5,  7.8, ⑯⑰
 8, 1,Ｇイヌイジェニｰ, 58,村田一, 1.1, 55, -10,   2, 4, 13.5, ⑪⑫, 8, 3, イツモシアワセ,---,柴山雄, 1.7, 47, -25,   2, 9, 54.0, ④④, 8,17,Ａファンシｰリシェス, 75,デムｰ, 0.7, 65,*  0,  -1, 3,  5.7, ③③, 8,15,Ｉスイｰトサルサ, 84,蛯名正, 0.8, 86,  13,   4,12, 29.4, ⑫⑫
 9, 8,Ｊワンダｰタイム, 56,西田雄, 1.5, 52,  -6,  -6,10, 88.7, ⑦⑦, 9, 2, アイスクリン,---,松岡正, 2.6, 38, -28,  -5, 7, 28.6, ⑨⑨, 9,13,Ｄシルヴァｰコｰド, 68,北村宏, 0.8, 67,  -7,   7, 2,  5.5, ⑪⑪, 9,16,Ｌメドウラｰク, 82,田中勝, 0.8, 85,  16,  -2, 3,  7.0, ⑤⑤
10, 2,Ｉメニｰサンクス, 56,田中勝, 1.7, 50,  -3, -10, 6, 18.2, ④④,10, 5, クｰイカヌウ,---,内田博, 2.8, 34, -30,  -7, 8, 35.1, ⑦⑧,10, 6,Ｋコスモヨハネ, 65,柴田大, 0.9, 71, -18,* 19,11, 45.7, ⑱⑱,10, 9,Ａマジェスティハｰツ, 91,森一馬, 0.9, 82,* 17,  -7, 2,  6.8, ④④
11, 3,Ｍメイスンセンタｰ, 44,石川裕, 1.9, 50, -12,  -3,13,392.9, ⑭⑬,11, 6, ヴィクトリｰミエル,---,木幡初, 8.3,-21, -52, -39,11,214.0, ⑪⑪,11, 8,Ｉブルｰヴァルキリｰ, 67,伴啓太, 0.9, 66,  -8,   6,12, 61.5, ⑩⑩,11,18,Ｊアｰデント, 84,石川裕, 0.9, 81,* 23, -20,15, 77.0, ①①
12, 4,Ｌチャｰミングマオ, 51,北村宏, 1.9, 51,  -2, -11,11,101.8, ⑤⑤,,,,,,,,,,,,,12,12,Ｎマサノハナチャン, 62,田辺裕, 1.0, 65, -10,   8,15,136.4, ⑮⑭,12, 8,Ｇクランモンタナ, 85,内田博, 0.9, 84,  13,   3, 8, 14.8, ⑨⑪
