15年 6月21日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 6月21日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  芝1800m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2400m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,芦ﾉ湖特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂトミケンチャダル, 61,田辺裕,, 63,*  3,   0, 1,  2.6, ③③, 1,11,Ｂクィｰンパレット, 65,石橋脩,, 69,*  5,* -2, 1,  2.8, ②②, 1, 8,Ａラインハｰディｰ, 84,横山典,, 74,   9,*  4, 1,  1.6,⑫⑩⑦, 1, 9,Ｂマッサビエル, 80,戸崎圭,, 84,  -3,* 16, 1,  1.5,⑥⑥⑥
 2,12,Ｃヒットザフロアｰ, 60,ルメｰ, 0.0, 64,   1,*  4, 4,  6.5, ⑥⑥, 2, 6,Ａゴｰルドサｰベラス, 72,石川裕, 0.0, 67,*  6,  -4, 4,  6.8, ①①, 2, 4,Ｉアｰルブリュット, 62,福永祐, 0.0, 74,   9,*  4, 2,  5.0,⑥⑥⑥, 2, 1,Ｇアドマイヤカｰリン, 75,川田将, 0.4, 76,*  0,   3, 7, 24.9,①①①
 3, 7,Ｅエスティルンバ, 56,菅原隆, 0.6, 60,   3,  -3, 5, 12.2, ⑤⑤, 3, 8,Ｄティムシェル, 60,戸崎圭, 0.3, 62,  -3,*  4, 2,  5.2, ⑩⑩, 3, 2,Ｇナイアガラモンロｰ, 65,吉田隼, 0.4, 68,* 12, -10, 9, 48.1,②②②, 3, 2,Ｉジェラルド, 75,北村宏, 0.4, 84,  -4,* 16, 8, 26.7,⑧⑩⑪
 4, 2,Ｆミュｰクロｰル, 54,嘉藤貴, 0.8, 56,  -1,  -3, 6, 29.1, ⑦⑦, 4,13,Ｌサクラベルカント, 37,吉田豊, 0.5, 60,  -5,*  5, 5,  8.4, ⑬⑬, 4,10,Ｋハッピｰセｰラｰ, 60,内田博, 0.5, 70,   8,  -1,11, 81.3,⑬⑫⑫, 4,10,Ｆマイネルテンクウ, 77,柴田大, 0.6, 74,*  0,   1,10, 38.3,②②②
 5,10,Ｄイヌイジェニｰ, 58,西田雄, 0.8, 56,  -6,*  5, 3,  6.0, ⑫⑫, 5,14,Ｃサウザンリｰブス, 65,吉田隼, 0.6, 61,*  4,  -8, 3,  5.8, ④③, 5,12,Ｃカレンリスベット, 72,蛯名正, 0.7, 68,   9,  -8, 4, 10.1,⑤⑤⑤, 5, 4,Ｃタイセイグルｰヴィ, 79,松岡正, 0.6, 79,  -3,   9, 5, 13.5,⑤⑦⑦
 6,14,Ｋトｰセンワルツ, 48,江田照, 0.8, 54,  -5,*  3,10, 70.4, ⑩⑩, 6, 9,Ｎスリｰコンサｰト, 36,川田将, 0.8, 59,   2, -10, 7, 20.4, ⑤⑤, 6,13,Ｂセレナビアンカ, 81,石川裕, 0.7, 65,   7,  -1, 5, 25.5,⑭⑬⑬, 6,11,Ａピュアソルジャｰ, 81,ルメｰ, 0.7, 77,  -3,   9, 2,  6.5,⑨⑨⑨
 7, 6,Ｈアンダリュｰサイト, 50,大野拓, 0.8, 56,  -6,*  5, 8, 57.3, ⑪⑪, 7,15,Ｅオｰバｰウェルム, 55,横山典, 1.2, 54,   1, -12, 6,  8.8, ⑥⑧, 7, 3,Ｄメロｰハｰモニｰ, 71,戸崎圭, 0.8, 65,   9,  -9, 3,  6.0,④④④, 7, 7,Ｋエイダイポイント, 74,岩部純, 0.7, 79,  -4,  12,11, 40.3,⑪⑪⑩
 8,15,Ａキタノマドンナ, 63,戸崎圭, 1.0, 54,  -1,  -4, 2,  3.0, ⑧⑧, 8,10,Ｇフラッシュカフェ, 50,内田博, 1.3, 51,  -3, -10, 9, 50.3, ⑪⑪, 8, 6,Ｊシャドウスペル, 62,田中勝, 0.9, 66,   8,  -8, 8, 43.9,⑦⑦⑧, 8, 8,Ｄヘルデンテノｰル, 78,田辺裕, 0.7, 73,  -2,   1, 4, 12.5,④③③
 9, 5,Ｇリワｰドセロン, 52,オｰル, 1.6, 51,   3, -13,12, 82.8, ④④, 9, 4,Ｈエクセルワンダｰ, 49,嘉藤貴, 1.3, 53,   1, -13,14,159.6, ⑦⑥, 9, 1,Ｆリンガスアリュｰル, 65,田辺裕, 0.9, 65,   8,  -7, 6, 27.0,⑧⑨⑨, 9, 6,Ｊルミナスレッド, 74,江田照, 0.8, 72,  -2,   3, 9, 27.1,③④④
10,13,Ｍリナシｰタ, 38,岩部純, 2.7, 41, -11,  -4,15,418.1, ⑬⑬,10, 7,Ｆマイティディｰバ, 53,江田照, 1.4, 50,  -2,  -9, 8, 26.2, ⑨⑨,10, 9,Ｅマンディスキュア, 70,木幡初, 1.0, 64,   8,  -8,10, 52.1,⑨⑧⑪,10, 3,Ｅファルスタｰ, 78,内田博, 0.8, 75,  -3,   6, 3, 11.6,⑩⑧⑧
11, 1,Ｊゴｰルドマジック, 49,木幡初, 2.8, 42,*  5, -27, 7, 41.1, ①①,11,16,Ｋユメヲカナエテ, 38,柴田大, 1.6, 47,  -5, -10,11,102.6, ⑫⑭,11, 7,Ｈパｰティブロッサム, 63,吉田豊, 1.4, 61,   8, -14,12,143.2,⑩⑪⑩,11, 5,Ｈナンヨｰケンゴｰ, 75,福永祐, 1.1, 70,  -2,  -1, 6, 16.7,⑦⑤⑤
12, 4,Ｌキンショｰナデシコ, 42,野中悠, 3.5, 35,*  3, -32,14,213.5, ②②,12,12, リトルキャット,---,木幡初, 1.6, 49,   0, -16,15,199.8, ⑧⑦,12,11,Ｌビッグダｰジリン, 58,嘉藤貴, 1.5, 57,* 15, -30,13,234.0,①①①,,,,,,,,,,,,
