15年 7月 5日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 7月 5日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 7R  芝2200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,濃尾特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 3,Ｃクラウンドジャック, 37,和田竜,, 43,  -9, -16, 1,  1.5, ⑤⑤, 1, 1,Ｂオウケンワｰルド, 65,川田将,, 61,* -1,   6, 3,  4.8,①①①, 1, 1,Ａトウシンハンタｰ, 66,川田将,, 74,  11,* -6, 3,  4.7,⑤⑤③, 1, 3,Ｃエクストラゴｰルド, 85,武豊  ,, 82,* 12,   6, 1,  2.9,②②②
 2, 9,Ａマｰブルフレンテ, 51,松山弘, 0.0, 44,* -6, -18, 2,  7.0, ②②, 2, 5,Ｃネｰジュドｰル, 60,幸英明, 0.3, 60,  -2,*  8, 4, 11.4,⑤⑧⑥, 2,14,Ｍサンライズフレｰズ, 51,デムｰ, 0.0, 75,  11,* -3, 9, 37.2,⑦⑦⑥, 2, 9,Ｂキングズガｰド, 86,川田将, 0.0, 86,  11,* 13, 2,  4.9,⑫⑫⑩
 3, 4,Ｆセキサンシップ, 31,太宰啓, 0.0, 42, -12,*-10, 8, 40.3, ⑨⑩, 3,13,Ｎドリｰムキラリ, 33,中谷雄, 0.3, 59,  -5,* 10, 7, 13.6,⑩⑩⑨, 3, 5,Ｃジュンファイトクン, 61,岩田康, 0.1, 73,   9,*  3, 2,  3.6,⑪⑬⑮, 3, 2,Ｋスズカアドニス, 77,北村宏, 0.4, 80,  12,   4, 8, 30.5,③③④
 4, 1,Ｂクリノアロｰハ, 50,岩崎翼, 0.1, 41, -10, -14, 6, 28.4, ⑧⑥, 4, 8, オフビｰトジャズ,---,浜中俊, 0.9, 53,* -2,  -2, 1,  3.5,②②②, 4, 9,Ｂシップｰコウライ, 66,幸英明, 0.3, 72,  11,  -7, 1,  3.5,⑭⑫⑨, 4, 1,Ｆグランフィデリオ, 82,岩田康, 0.4, 81,  12,   7, 6, 16.2,⑩⑧⑦
 5, 2,Ｊロイヤルクルｰズ, 25,国分恭, 0.3, 39, -12, -14, 7, 37.7, ⑩⑨, 5, 9,Ａベラルディ, 69,岩田康, 1.1, 51,  -2,  -1, 2,  3.6,③⑤⑤, 5,17,Ｇサマｰロｰズ, 59,北村宏, 0.4, 71,* 12, -13, 7, 20.1,⑫⑥④, 5,16,Ａアドマイヤランディ, 88,デムｰ, 0.7, 76,   9,*  8, 4,  6.9,⑮⑬⑭
 6, 5,Ｇブリｰズスズカ, 30,幸英明, 0.3, 40,  -7, -21, 3,  7.1, ③③, 6,12,Ｄブリｰズヴェｰル, 59,松若風, 1.4, 52,* -1,  -5, 8, 17.1,④③③, 6,12,Ｉプレミオテｰラｰ, 56,岩崎翼, 0.6, 67,  10,  -9, 5, 10.6,⑩⑪⑫, 6,15,Ｏエクストレミティｰ, 76,北村友, 0.9, 76,   8,*  8, 7, 25.0,⑭⑭⑬
 7, 7,Ｄヤマニンラファｰル, 34,鮫島克, 0.4, 38, -10, -18, 5, 14.1, ⑥⑦, 7,10,Ｆアシュラウェイ, 58,松山弘, 1.7, 52,  -7,   5,10, 35.9,⑫⑭⑭, 7,11,Ｄシャイニングスタｰ, 61,浜中俊, 0.8, 65,  11, -14, 4,  7.3,⑧⑧⑦, 7, 5,Ｄエアカミュゼ, 83,浜中俊, 1.0, 76,  12,   0, 5,  7.2,④⑦⑤
 8, 6,Ｅグロｰスハック, 32,松若風, 0.9, 33,  -8, -27, 9, 74.2, ④④, 8, 7,Ｈサンディフック, 56,秋山真, 1.7, 49,  -9,*  7, 6, 13.2,⑮⑮⑮, 8,15,Ｅレレオｰネ, 61,北村友, 1.0, 64,   8, -13, 6, 14.7,⑱⑯⑭, 8,11,Ｇネオジェネシス, 80,幸英明, 1.2, 74,* 12,  -4, 3,  5.7,⑤④③
