15年12月 6日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年12月 6日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  ダ1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,堺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａシゲルノコギリザメ, 58,義英真,, 57,* -4,* -3, 2,  3.7, ②②, 1, 5, ビップハテンコウ,,中村将,,,,, 7, 45.4,⑧⑦④, 1,11,Ｆサンマルアリュｰル, 68,小牧太,, 70,   0,   9, 4,  6.7, ⑥⑤, 1, 5,Ｃメイショウウタゲ, 85,武幸四,, 85,   6,* 23, 2,  4.6,⑪⑩⑥
 2, 3,Ｋグランジュテ, 39,城戸義, 0.1, 57,  -5,* -2,11,135.8, ⑤④, 2, 7, テイエムオドロキ,,小坂忠,203.6,,,, 5, 17.5,③③②, 2,16,Ｂヒデノヒロイン, 71,藤岡康, 0.0, 71,*  3,   7, 2,  5.2, ③③, 2, 3,Ｂエノラブエナ, 85,小牧太, 0.1, 81,   7,  20, 1,  3.0,⑥⑥⑤
 3,14,Ｃラッシュストｰム, 51,国分恭, 0.7, 52,* -2,  -9, 3,  6.8, ①①, 3, 4, キｰアイテム,,石神深,203.9,,,, 6, 24.5,⑦⑥⑥, 3,10,Ｄテイエムリヴィエラ, 70,佐藤友, 0.0, 70,  -1,  11, 7, 11.8, ⑧⑦, 3, 7,Ｅハギノタイクｰン, 83,川田将, 0.2, 79,   9,  17, 8, 21.3,④④③
 4, 8,Ｆツイセキシャ, 47,北村友, 0.8, 50,  -7,  -6, 9, 25.6, ⑥⑤, 4, 8, キングオブタイム,,北沢伸,204.0,,,, 3,  6.4,②④⑤, 4, 8,Ｇナリタノヘア, 67,加藤祥, 0.5, 67,  -2,   9, 5,  8.0, ⑨⑨, 4, 1,Ｄトップディｰヴォ, 83,四位洋, 0.2, 82,   6,* 22, 3,  5.3,⑨⑨⑨
 5,13,Ｂシゲルオニアジ, 51,川須栄, 0.8, 51,  -5,  -8, 4,  8.2, ④③, 5, 6, アスタｰコリント,,林満明,204.3,,,, 4,  8.3,⑤②③, 5, 6,Ｌヴェルメンティｰノ, 65,松若風, 0.5, 67,*  6,  -2, 9, 25.5, ①①, 5, 6,Ｋタイセイドリｰム, 74,佐藤友, 0.4, 79,   7,  18, 9, 43.5,⑦⑧⑧
 6, 9,Ｈシゲルカマス, 44,菱田裕, 0.8, 51,  -7,  -6,14,305.5, ⑦⑦, 6, 3, ショウリュウバイオ,,平沢健,204.3,,,, 2,  5.8,①①①, 6, 3,Ｍトｰコｰヴィオラ, 63,鮫島克, 0.5, 68,  -9,* 17,11, 37.5, ⑮⑯, 6,10,Ｉアテンファｰスト, 78,池添謙, 0.5, 78,* 10,  13,11, 87.5,②②②
 7,12,Ｄカネトシフェイト, 50,太宰啓, 1.2, 48, -12,  -5, 5, 14.0, ⑩⑨, 7, 1, ヤギリヒマワリ,,大江原,208.4,,,, 9,193.6,⑨⑨⑧, 7, 5,Ａモズマッテタワ, 73,内田博, 0.6, 66,  -7,* 13, 6,  8.7, ⑭⑭, 7, 4,Ａマスクゾロ, 86,菱田裕, 1.1, 73,   9,   9, 4,  5.5,③③④
 8, 5,Ｊレザニティエ, 41,池添謙, 1.2, 47, -15,* -3, 6, 16.7, ⑭⑭, 8, 9, スリｰプレシャス,,草野太,208.6,,,, 8, 80.1,④⑧⑦, 8,15,Ｊアブニｰル, 66,竹之下, 0.9, 64,  -2,   6,13, 89.0, ⑩⑩, 8, 9,Ｊナムララオウ, 78,松田大, 1.2, 75,   4,  17,12, 94.4,⑫⑫⑫
