15年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月29日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1600m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,ﾍﾞｺﾞﾆｱ賞,,,,,,,,,,,,ｳｪﾙｶﾑｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,13,Ｆルクナバｰド, 51,吉田豊, 2.1, 42,   0, -15, 8,137.3, ⑥⑥,12,18, エネルタカオｰ,---,横山和, 2.3, 35,* -3, -41,14,116.8,⑩③④,12, 9,Ｊスイｰトドリｰムス, 37,西村太, 3.6, 40,  -1, -37,12,421.7, ⑫⑪,12, 1,Ｊアッシュゴｰルド, 77,池添謙, 2.1, 60,  12, -28, 5, 12.6,③②②
13, 6,Ｋイノセントワｰルド, 39,大庭和, 2.2, 43,  -7,  -6,11,179.4, ⑫⑫,13,12, マイネルレジストル,---,柴田大, 2.3, 37,  -5, -37,16,201.2,④⑥⑦,,,,,,,,,,,,,13,12,Ｋアドマイヤドバイ, 76,北村宏, 3.6, 50,* 23, -73, 9, 32.2,②①①
14, 8,Ｐウインアルテミス, 23,松岡正, 3.6, 31,*  2, -32,12,179.6, ②②,14,10, ニシノタカラモノ,---,大野拓, 2.8, 32,* -3, -47,10, 38.1,③④③,,,,,,,,,,,,,,,,,,,,,,,,
15,15,Ｍビトク, 36,柴田善, 3.7, 32, -11, -15,13,206.7, ⑯⑯,15,17, デンコウイッセン,---,内田博, 3.0, 30, -14, -28,15,142.7,⑱⑰⑯,,,,,,,,,,,,,,,,,,,,,,,,
16, 9,Ｌクラウンコルデｰロ, 37,津村明, 4.5, 23,   0, -36,16,490.0, ⑦⑦,16, 3, ポルトドレｰヴ,---,戸崎圭, 4.3, 21, -14, -47, 7, 18.2,⑧⑫⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,17, 6, ラオコｰン,---,三浦皇, 4.5, 10, -17, -44,12, 48.1,⑮⑯⑰,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 2, グッドフット,---,丹内祐, 5.9, -3, -26, -44,18,321.3,⑰⑱⑱,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:68 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-11 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:83 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:良(指数:0),,,,,,,,,,,
単勝:160円 複勝:01=110円 04=110円 10=160円 枠連:250円,,,,,,,,,,,,"単勝:330円 複勝:07=140円 08=170円 01=140円 枠連:1,520円",,,,,,,,,,,,"単勝:2,630円 複勝:01=370円 11=160円 02=160円 枠連:3,010円",,,,,,,,,,,,単勝:620円 複勝:13=170円 06=120円 07=160円 枠連:480円,,,,,,,,,,,
馬連:250円 ワイド:01-04=140円 01-10=250円 04-10=290円,,,,,,,,,,,,"馬連:1,420円 ワイド:07-08=460円 01-07=300円 01-08=490円",,,,,,,,,,,,"馬連:4,410円 ワイド:01-11=1,170円 01-02=980円 02-11=350円",,,,,,,,,,,,馬連:800円 ワイド:06-13=360円 07-13=620円 06-07=310円,,,,,,,,,,,
