15年12月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年12月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝2000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■ 7R  芝2000m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,妙見山ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｅサクレディｰヴァ, 57,秋山真,, 57,*  7,  -8, 1,  4.1,①①①, 1,16,Ａギモｰヴ, 67,ルメｰ,, 64,   2,*  2, 2,  3.9,⑪⑩⑨, 1,11,Ａサトノダイヤモンド, 74,ルメｰ,, 83,  -9,* 30, 1,  1.2,⑧⑨⑦, 1, 8,Ａテｰオｰヘリオス, 85,浜中俊,, 83,   0,  20, 1,  2.4, ⑤③
 2,13,Ｉデルマチャチャ, 51,小崎綾, 0.2, 59,   1,*  2, 9, 26.5,⑬⑭⑪, 2, 8,Ｉインザサイレンス, 51,小牧太, 0.2, 62,   4,  -7, 5, 15.7,⑤⑤④, 2, 5,Ｆクィｰンズベスト, 67,岩田康, 0.6, 71,* -5,  12, 7, 22.7,①①①, 2,10,Ｃヒルノデイバロｰ, 82,古川吉, 0.2, 82,*  2,  16, 2,  3.0, ①①
 3,14,Ｃマルクデラポム, 60,川島信, 0.6, 57,*  7, -13, 6, 17.9,②②②, 3,11,Ｎゴｰルドラッシュ, 37,ボウマ, 0.3, 61,   3,  -5, 9, 25.5,④⑥⑥, 3,13,Ｄナムラシングン, 69,内田博, 0.6, 73,* -7,  14, 2,  6.8,③③③, 3, 5,Ｇゴｰインググレｰト, 80,和田竜, 0.6, 79,   0,  16, 9, 37.2, ④⑤
 4,11,Ａクレスクント, 62,川田将, 0.6, 57,   4,  -8, 4,  5.1,⑨⑧⑧, 4, 6,Ｂヨカグラ, 61,武豊  , 0.3, 61,   0,*  0, 4, 14.0,⑫⑫⑬, 4, 8,Ｂマイネルハニｰ, 74,ボウマ, 0.6, 76,  -9,* 22, 4, 16.1,⑦⑦⑥, 4,11,Ｌテンペル, 75,高倉稜, 0.6, 81,  -4,  20,13,351.9, ⑩⑩
 5, 1,Ｂクリノセゴビア, 60,酒井学, 0.6, 58,   4,* -5, 3,  5.1,⑫⑨⑨, 5, 3,Ｃマテンロウゴｰスト, 60,デムｰ, 0.5, 56,*  7, -17, 1,  2.1,⑯④③, 5,10,Ｅフロムマイハｰト, 69,アッゼ, 0.9, 68,* -6,   9, 5, 19.6,②②②, 5, 7,Ｅロｰドガルｰダ, 80,ボウマ, 0.6, 78,*  1,  13, 8, 29.9, ②②
 6, 6,Ｇジャｰマンアイリス, 54,幸英明, 0.7, 56,   4,  -9,10, 29.3,⑧⑦⑦, 6, 4,Ｊエイシンミサイル, 50,岩田康, 0.5, 60,   1,  -4, 6, 18.5,⑦⑪⑩, 6, 9,Ｊメイケイレジェンド, 54,武豊  , 1.3, 69, -12,  17, 6, 20.4,⑪⑪⑪, 6,12,Ｉメイショウアイアン, 79,鮫島克, 0.7, 80,  -8,* 24, 5, 14.1, ⑬⑬
 7, 9,Ｈティルヴィング, 52,岩田康, 0.8, 55,*  6, -12, 5,  8.3,④③④, 7, 7,Ｆショウナンアストル, 57,松田大, 0.6, 60,   0,* -2, 7, 20.7,⑬⑬⑪, 7,15,Ｋテイエムハヤブサ, 52,幸英明, 1.6, 66, -12,  12,12,284.3,⑩⑩⑩, 7, 4,Ｄサノイチ, 81,内田博, 0.9, 76,  -2,  15, 3,  8.2, ⑦⑥
 8, 2,Ｌタイセイフラム, 41,菱田裕, 1.2, 54,   4, -10,16,287.7,⑪⑩⑩, 8, 9,Ｄディスピュｰト, 58,国分恭, 0.7, 60,   2,  -6,16,320.9,⑨⑨⑫, 8,14,Ｃキャノンストｰム, 72,川田将, 1.6, 61,  -8,   4, 3, 14.3,⑥⑥⑤, 8,13,Ｂセイラ, 82,藤岡康, 1.0, 77,  -9,* 23, 6, 15.0, ⑭⑭
 9, 4,Ｆシャインダイアン, 56,佐藤友, 1.6, 49,*  6, -20,11, 30.2,③④③, 9,12,Ｐライペンミノル, 33,松若風, 0.7, 55,*  7, -20,10, 76.0,①①①, 9, 2,Ｉスパｰキングジョイ, 55,藤岡康, 1.7, 60,  -8,   3, 9,133.5,④④④, 9, 6,Ｊカリスマサンスカイ, 78,松田大, 1.2, 75,  -7,  18,10, 50.8, ⑫⑫
10,16,Ｎカスタネット, 36,岡田祥, 2.7, 44,   6, -27,13,136.9,⑥⑤⑥,10,10,Ｋコｰクスクリュｰ, 49,藤岡康, 0.8, 56,   3, -12,13, 98.0,⑥⑦⑦,10, 3,Ｇグロｰリｰミスト, 57,小牧太, 1.8, 66, -13,  14,10,181.3,⑮⑬⑬,10, 3,Ｍセトノミッシｰ, 73,国分優, 1.3, 74,  -3,  13,14,427.0, ⑨⑨
11,10,Ｄシャルメｰヌ, 59,和田竜, 2.8, 42,   5, -28, 8, 23.8,⑤⑥⑤,11,13,Ｅアルビオン, 58,佐藤友, 1.0, 54,*  6, -21, 8, 23.8,③③②,11, 4,Ｈコスモヴェッキオ, 55,高倉稜, 2.6, 52, -10,  -4,11,234.7,⑨⑧⑨,11, 2,Ｈサクセスフェイト, 79,アッゼ, 1.3, 73,  -2,  12, 7, 25.9, ⑥⑧
12, 5,Ｏタガノボワテュｰル, 20,古川吉, 3.3, 41,  -5, -12,12, 87.9,⑯⑯⑯,12, 2,Ｇフォンス, 57,内田博, 1.0, 56,   0,  -7, 3,  6.6,⑩⑭⑭,12, 6,Ｎノｰザンエンブレム, 33,荻野琢, 3.1, 50, -16,   0,15,600.6,⑭⑮⑭,12,14,Ｋネヴァｰハｰツ, 77,幸英明, 1.5, 72,  -6,  14,12, 62.5, ⑪⑪
13, 8,Ｐアリモニｰ,  4,国分優, 4.2, 35,  -3, -26,15,276.6,⑭⑮⑮,13, 5,Ｈジュｰンソフィア, 53,和田竜, 1.3, 52,   3, -18,11, 79.7,⑧⑧⑧,13,12,Ｍヴレ, 50,和田竜, 3.1, 47, -12,  -7, 8,103.4,⑬⑫⑫,13, 9,Ｎシャイニｰガｰル, 71,太宰啓, 1.7, 70,  -2,   8,11, 58.8, ⑧⑦
14, 3,Ｊタイセイアモｰレ, 46,デムｰ, 4.5, 31,   0, -33, 2,  4.7,⑮⑫⑫,14,15,Ｌコウザンアプロｰチ, 45,幸英明, 1.4, 52,  -1, -11,12, 97.4,⑭⑮⑮,14, 1,Ｌリン, 51,佐藤友, 3.4, 46, -16,  -4,13,361.0,⑫⑭⑮,14, 1,Ｆミッキｰシｰガル, 80,川田将, 1.8, 69,   0,   4, 4,  9.6, ③④
15,15,Ｋチチェルキア, 43,ルメｰ, 6.2, 26,   1, -49, 7, 19.1,⑩⑪⑬,15, 1,Ｏクｰイカヌウ, 35,酒井学, 1.9, 48,  -4,  -9,15,303.1,⑮⑯⑯,15, 7, ガンバレショコラ,---,藤田弘, 3.7, 36,  -9, -22,14,389.7,⑤⑤⑧,,,,,,,,,,,,
16,12,Ｍオｰシャンムｰサ, 37,柴田未, 7.0, 22,   0, -54,14,267.7,⑦⑬⑭,16,14,Ｍトウケイイダテン, 43,中井裕, 2.8, 41,   4, -45,14,153.8,②②⑤,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-10 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+4 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:稍重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:67 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:稍重(指数:4),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-16 ﾚｰｽｱｶﾞﾘ指数:+8 馬場:稍重(指数:-3),,,,,,,,,,,
"単勝:410円 複勝:07=190円 13=730円 14=410円 枠連:2,530円",,,,,,,,,,,,"単勝:390円 複勝:16=170円 08=340円 11=740円 枠連:1,320円",,,,,,,,,,,,単勝:120円 複勝:11=110円 05=190円 13=120円 枠連:720円,,,,,,,,,,,,単勝:240円 複勝:08=120円 10=120円 05=430円 枠連:320円,,,,,,,,,,,
"馬連:7,550円 ワイド:07-13=2,490円 07-14=1,530円 13-14=5,550円",,,,,,,,,,,,"馬連:3,250円 ワイド:08-16=930円 11-16=2,010円 08-11=5,860円",,,,,,,,,,,,馬連:960円 ワイド:05-11=320円 11-13=170円 05-13=800円,,,,,,,,,,,,"馬連:350円 ワイド:08-10=180円 05-08=1,230円 05-10=1,200円",,,,,,,,,,,
"馬単:10,950円 3連複:30,660円 3連単:127,320円",,,,,,,,,,,,"馬単:4,500円 3連複:33,160円 3連単:133,900円",,,,,,,,,,,,"馬単:990円 3連複:1,240円 3連単:3,730円",,,,,,,,,,,,"馬単:590円 3連複:3,080円 3連単:8,830円",,,,,,,,,,,
■ 2R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝1400m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝1400m 3歳上ｵｰﾌﾟﾝ(国) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,阪神ｶｯﾌﾟ ＧⅡ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｅセカンドエフォｰト, 48,ルメｰ,, 63,   2,* -1, 4,  7.3, ⑧④, 1, 1, カフジビｰナス,---,勝浦正,, 50, -25,*  5, 8, 21.8, ⑩⑧, 1, 7,Ｉタムロミラクル, 71,デムｰ,, 74,   6,  10, 1,  3.5,⑩⑥⑤, 1,13,Ｂロサギガンティア, 92,デムｰ,, 91,   7,  16, 3,  8.2, ⑥⑥
 2,11,Ｏカキナダ, 30,内田博, 0.1, 59,  -6,*  9,15,227.7, ⑯⑮, 2, 4, エイシンヒアゴｰズ,---,武豊  , 0.0, 48, -22,   1, 1,  2.6, ⑥⑥, 2, 3,Ｆウインユニファイド, 75,和田竜, 0.1, 75,   5,  11, 6, 12.0,⑨⑨⑧, 2,15,Ｍダンスディレクタｰ, 81,浜中俊, 0.0, 94,   5,* 20, 5, 12.9, ⑫⑪
 3, 4,Ｂワンダｰリｰデル, 65,松若風, 0.5, 61,*  8, -12, 2,  3.6, ③③, 3,12, デザｰトナイト,---,ボウマ, 0.0, 45,*-18,  -6, 7, 14.5, ①①, 3, 4,Ｈインテグラｰド, 73,アッゼ, 0.2, 74,   5,   9, 9, 34.4,⑥⑧⑥, 3, 1,Ａビッグアｰサｰ, 93,藤岡康, 0.2, 89,   5,  14, 1,  2.7, ④④
 4, 7,Ｃスノｰドルフィン, 61,和田竜, 0.7, 56,   0,  -5, 3,  4.7, ⑨⑧, 4,17, オンマイステｰジ,---,デムｰ, 0.1, 46,*-21,  -2, 2,  4.9, ④③, 4,14,Ｂロイヤルパンプ, 76,松若風, 0.2, 75,*  9,   3, 3,  6.6,①①①, 4, 6,Ｃサンライズメジャｰ, 89,池添謙, 0.5, 85,   7,   9, 8, 17.1, ⑤⑤
 5, 9,Ｇグランアルバス, 47,小牧太, 0.9, 54,  -3,* -2, 9, 42.1, ⑮⑬, 5,15, ユｰキホｰプ,---,和田竜, 0.1, 45,*-20,  -5,12, 92.7, ②②, 5, 1,Ｄデモニオ, 76,岩田康, 0.4, 74,   3,* 13, 2,  3.8,⑮⑭⑭, 5, 5,Ｄウリウリ, 87,岩田康, 0.5, 88,   2,* 17, 2,  4.7, ⑬⑭
 6, 1,Ｎミキノカンタｰタ, 32,太宰啓, 1.2, 55,*  9, -20,12,122.9, ①①, 6, 2, オｰルインワン,---,池添謙, 0.3, 46, -29,*  4, 3,  6.1, ⑬⑪, 6, 9,Ｊメイショウハクラク, 70,藤岡康, 0.6, 71,   6,   4,10, 37.2,④⑤④, 6, 3,Ｑアフォｰド, 75,和田竜, 0.5, 88,   4,  13,16,334.7, ⑨⑧
 7, 8,Ｈタガノキングパワｰ, 46,古川吉, 1.5, 49,  -3,  -8,13,161.1, ⑭⑫, 7,13, エイシンシシオウ,---,ルメｰ, 0.3, 43, -24,  -2, 4, 10.3, ⑦⑦, 7, 6,Ｌスリｰマキシマム, 67,加藤祥, 0.7, 71,   4,   6,16,318.8,⑧⑩⑨, 7,12,Ｊアルマワイオリ, 83,勝浦正, 0.5, 88,   2,  16,11, 41.0, ⑮⑬
