15年10月18日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月18日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1600m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ2100m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,昇仙峡特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｇフジマサアクトレス, 43,田中勝,, 71, -10,*  7, 4,  9.9, ⑦⑥, 1, 9, アｰバンキッド,---,戸崎圭,, 46, -37,* 12, 1,  2.6, ⑤⑤, 1,13,Ａホスト, 77,戸崎圭,, 73,* -6,* 17, 1,  1.7, ②②, 1,13,Ｆリアライズブラザｰ, 79,田辺裕,, 83,* 19,  -6, 4,  8.4,⑨⑧③
 2, 8,Ｄダイワダッチェス, 51,北村宏, 0.2, 67,  -9,*  2, 1,  1.2, ⑥⑤, 2,12, ホウオウマリリン,---,田辺裕, 0.2, 46, -36,* 11, 3,  5.2, ⑧⑧, 2,11,Ｄドレッシｰスタイル, 71,酒井学, 0.4, 71,  -7,  16, 5, 18.8, ⑤⑤, 2,15,Ｇカンデラ, 78,大野拓, 0.0, 83,  18,* -4, 9, 16.3,⑤⑤⑧
 3, 2,Ｃカトルラポｰル, 52,田辺裕, 0.6, 61,  -9,  -4, 2,  7.7, ③③, 3,11, サンマリエッタ,---,松岡正, 0.5, 36,*-32,  -6, 9, 71.4, ①①, 3,14,Ｈパトロクロス, 66,田辺裕, 0.5, 70, -11,* 19, 3, 10.4, ⑬⑫, 3,12,Ｏジャッカスバｰク, 73,戸崎圭, 0.0, 83,  17,* -2, 7, 13.9,⑧⑨⑩
 4, 6,Ａスリラｰインマニラ, 54,石川裕, 0.6, 59,* -5,  -9, 3,  9.8, ①①, 4, 4, タマモアッパレ,---,藤岡康, 0.8, 38, -38,   3, 6, 17.5, ⑦⑦, 4,10,Ｉワイエムテイラｰ, 65,丸山元, 0.7, 67,* -7,  12,14,188.9, ④④, 4, 2,Ｅロックキャンディ, 79,丸山元, 0.2, 82,  17,* -4, 5, 12.4,⑬⑪⑨
 5, 7,Ｆユッセ, 46,井上敏, 0.6, 62, -10,  -1, 7, 43.6, ⑤⑦, 5, 5, ミラクルメｰカｰ,---,田中勝, 1.0, 31, -36,  -6, 4,  8.1, ④③, 5, 6,Ｆマコトカンパネッロ, 66,藤岡康, 0.8, 67, -11,  16, 9, 40.5, ⑫⑪, 5,10,Ｌセイカアヴァンサ, 76,石川裕, 1.1, 78,  15,  -7,10, 20.7,⑦⑩⑬
 6, 4,Ｂシャンボｰル, 53,江田照, 0.7, 59,* -7,  -6, 5, 17.1, ④④, 6, 2, ジュンキンカメ,---,北村宏, 1.1, 34, -40,   2, 2,  3.3, ⑪⑨, 6,12,Ｐスマｰトストリｰム, 46,北村宏, 1.0, 65,* -5,   7, 6, 19.1, ①①, 6, 7,Ｐタンジブル, 72,北村宏, 1.3, 76,  18, -16, 6, 13.1,⑪④⑦
 7,12,Ｈブロワ, 41,蛯名正, 1.2, 53,* -6, -14, 6, 26.1, ②②, 7, 6, サツキハイセンス,---,木幡初, 1.7, 20, -34, -17,11,123.2, ③④, 7, 9,Ｍデルマアラレチャン, 59,野中悠, 1.3, 62,  -9,   9,16,336.3, ⑨⑧, 7, 1,Ｈティｰポイズン, 78,藤岡康, 1.8, 73,* 19, -22, 3,  7.4,③③②
 8,10,Ｉドリｰミｰモトヒメ, 34,武士沢, 1.6, 52, -12, -10,10,288.3, ⑩⑨, 8, 7, バサラ,---,石川裕, 1.8, 22, -40,  -9, 5, 11.6, ⑨⑩, 8, 4,Ｃエルシェロアスｰル, 72,田中勝, 1.3, 62,  -9,   9, 4, 14.7, ⑦⑦, 8,14,Ｋニシノゲンキマル, 76,酒井学, 1.9, 72,  17, -18,13, 61.7,⑫⑫⑪
 9,11,Ｅジェネレｰション, 50,野中悠, 2.0, 45, -12, -15, 8, 94.0, ⑪⑩, 9, 8, コスモプルｰト,---,柴田大, 1.8, 25, -41,  -7, 8, 31.4, ⑫⑫, 9,15,Ｅグランアラミス, 68,井上敏, 1.4, 62, -16,  16, 7, 22.0, ⑯⑯, 9,11,Ｂプリンスダム, 81,石橋脩, 2.0, 72,* 19, -22, 1,  3.9,⑥⑦⑥
10, 1,Ｌテイエムオリオン, 18,丸山元, 2.1, 45, -14, -14,11,290.3, ⑧⑪,10,10, イｰサンスプリント,---,丸山元, 2.2, 17, -40, -15,12,177.9, ⑩⑪,10, 7,Ｋウサギノカケアシ, 62,江田照, 1.5, 60, -10,   9,10, 55.2, ⑧⑨,10, 5,Ｍメイショウサリマン, 75,難波剛, 2.3, 70,  15, -16,15,109.2,⑭⑭⑭
11, 3,Ｊベルホルト, 28,柴田大, 2.7, 37, -16, -21,12,296.7, ⑫⑫,11, 1, サニｰリスペクト,---,蛯名正, 2.5,  8,*-32, -34, 7, 20.7, ②②,11,16,Ｏウップスアデイジイ, 54,川島信, 1.5, 61, -13,  12,12, 99.7, ⑮⑭,11, 6,Ｄロジテｰスト, 79,松岡正, 2.5, 69,  16, -19, 2,  4.5,⑯⑮⑫
12, 9,Ｋネコパワｰ, 26,嘉藤貴, 4.0, 20, -11, -45, 9,126.4, ⑨⑧,12, 3, ケイツｰビｰグ,---,武士沢, 3.2,  4, -39, -32,10,100.3, ⑥⑥,12, 3,Ｂリッパｰザウィン, 75,蛯名正, 1.8, 58, -11,   7, 2,  4.0, ⑩⑩,12, 8,Ｉアイアイエンデバｰ, 78,田中勝, 2.5, 69,  15, -17,14, 76.3,⑮⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,13, 5,Ｌナンヨｰルｰク, 61,嘉藤貴, 2.0, 57, -13,   8,15,212.7, ⑪⑬,13, 4,Ａトミケンシャルゴｰ, 81,蛯名正, 3.6, 64,* 19, -37, 8, 14.5,④⑥⑤
,,,,,,,,,,,,,,,,,,,,,,,,14, 2,Ｊエイシンスペｰシア, 64,大野拓, 2.3, 54,  -9,   1,13,125.2, ⑥⑥,14,16,Ｎマルマロス, 74,武士沢, 3.9, 62,  15, -31,16,141.1,⑩⑬⑮
,,,,,,,,,,,,,,,,,,,,,,,,15, 8,Ｇデュナトス, 66,熊沢重, 2.8, 49,* -7,  -8, 8, 29.8, ③③,15, 9,Ｃモルダバイト, 80,江田照, 5.1, 57,* 19, -51,11, 25.9,①②①
,,,,,,,,,,,,,,,,,,,,,,,,16, 1,Ｎサンタレジｰナ, 58,松岡正, 3.4, 44, -14,  -4,11, 85.1, ⑭⑮,16, 3,Ｊハｰストイｰグル, 77,柴田大, 7.3, 51,* 19, -69,12, 29.8,②①④
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:54 ﾚｰｽﾍﾟｰｽ指数:-20 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:良(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-17 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:重(指数:-6),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-23 馬場:重(指数:-6),,,,,,,,,,,
単勝:990円 複勝:05=150円 08=100円 02=130円 枠連:260円,,,,,,,,,,,,"単勝:260円 複勝:09=130円 12=170円 11=1,040円 枠連:540円",,,,,,,,,,,,単勝:170円 複勝:13=110円 11=330円 14=220円 枠連:580円,,,,,,,,,,,,"単勝:840円 複勝:13=300円 15=420円 12=430円 枠連:5,450円",,,,,,,,,,,
馬連:490円 ワイド:05-08=190円 02-05=470円 02-08=160円,,,,,,,,,,,,"馬連:690円 ワイド:09-12=310円 09-11=2,640円 11-12=3,410円",,,,,,,,,,,,"馬連:1,300円 ワイド:11-13=530円 13-14=440円 11-14=1,900円",,,,,,,,,,,,"馬連:8,850円 ワイド:13-15=2,500円 12-13=1,640円 12-15=3,600円",,,,,,,,,,,
"馬単:1,730円 3連複:700円 3連単:5,950円",,,,,,,,,,,,"馬単:1,020円 3連複:13,120円 3連単:35,840円",,,,,,,,,,,,"馬単:1,790円 3連複:3,130円 3連単:11,190円",,,,,,,,,,,,"馬単:16,830円 3連複:29,550円 3連単:196,330円",,,,,,,,,,,
■ 2R  芝1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 5R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 8R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  芝2000m 3歳上ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱｲﾙﾗﾝﾄﾞﾄﾛﾌｨｰ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
