15年 9月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 9月27日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝2970m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2000m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾑｰﾝﾗｲﾄﾊﾝﾃﾞｷｬｯﾌﾟ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｂサウンドスカイ, 45,戸崎圭,, 59,   2,*  0, 2,  3.4, ⑤⑤, 1, 1, ヒルノマドリｰド,,西谷誠,,,,, 1,  2.6,②②①, 1,14,Ａネオヴィクトリア, 72,川田将,, 78,   7,   5, 1,  4.1, ⑨⑨, 1, 2,Ｍウインリバティ, 75,松山弘,, 86,*  3,  12, 6,  9.8,①①①
 2, 9,Ｉメイショウノボサン, 30,太宰啓, 0.3, 59,*  5,  -6, 5, 16.2, ②②, 2, 3, エイシンフランキｰ,,森一馬,198.7,,,, 5,  8.4,⑤⑤④, 2, 4,Ｍシャンデリアハウス, 63,戸崎圭, 0.0, 78,   6,*  7, 5,  9.4, ⑩⑪, 2, 7,Ｎショウナンバｰキン, 72,松若風, 0.2, 83,*  1,  13,14, 93.9,②③③
 3, 3,Ｍヒロブレイブ, 18,田中健, 0.9, 51,  -3,* -2, 8, 52.5, ⑧⑧, 3, 2, ニシノマテンロウ,,小坂忠,198.8,,,, 6,  9.2,③③③, 3,18,Ｅメイショウラバンド, 69,武幸四, 0.1, 78,   8,   2,11, 35.1, ⑦⑦, 3,10,Ａレッドオリヴィア, 86,浜中俊, 0.3, 82,*  2,  11, 1,  3.8,③②②
 4, 6,Ａグランプリアクセル, 52,ルメｰ, 1.3, 50,   3, -12, 1,  1.9, ③③, 4,11, ゼロス,,北沢伸,200.0,,,, 2,  4.5,④④⑤, 4,12,Ｆテイエムダンシング, 69,義英真, 0.1, 76,   4,*  7,12, 58.9, ⑪⑫, 4,11,Ｃタガノエトワｰル, 79,川田将, 0.4, 83,   0,  12, 2,  5.9,④④④
 5,13,Ｆシゲルキハダマグロ, 39,中谷雄, 1.3, 50,   3, -12, 6, 18.3, ④④, 5,10, ダノンウィスラｰ,,熊沢重,200.1,,,, 3,  5.3,①①②, 5, 6,Ｃジョｰウォルタｰ, 70,浜中俊, 0.3, 72,   1,* 10, 3,  7.6, ⑰⑰, 5, 8,Ｂカナロア, 83,福永祐, 0.4, 83,   0,  13, 3,  6.7,⑥⑥⑥
 6,11,Ｊマジックダイオウ, 23,和田竜, 2.3, 40,  -6,  -9,13,200.1, ⑬⑪, 6, 6, クリノキングムｰン,,平沢健,200.4,,,, 8, 47.8,⑧⑦⑥, 6, 3,Ｄトシストロング, 70,国分優, 0.3, 71,  -2,* 12, 7, 11.3, ⑱⑱, 6, 3,Ｈエｰティｰタラント, 78,中井裕, 0.5, 87,  -3,* 19,10, 22.0,⑪⑩⑩
 7, 1,Ｄコパノスウィｰプ, 42,義英真, 2.4, 42,*  5, -25, 4,  8.3, ①①, 7, 7, ウソハッピャク,,五十嵐,202.0,,,, 9, 52.4,⑦⑧⑦, 7,13,Ｂオメガタックスマン, 71,ルメｰ, 0.6, 71,   7,  -3, 2,  4.7, ⑧⑧, 7, 4,Ｇプリンセスジャック, 78,北村友, 0.6, 80,   0,  10,11, 33.6,⑤⑤⑤
 8,12,Ｅフォｰルドイン, 42,幸英明, 2.4, 41,   0, -18, 7, 40.7, ⑥⑦, 8, 8, ウエスタンムサシ,,田村太,204.1,,,,12,164.7,⑨⑨⑧, 8, 5,Ｏホッコｰタフネス, 62,加藤祥, 1.0, 65,   2,   0,18,274.6, ⑭⑯, 8, 1,Ｆモビｰル, 79,戸崎圭, 0.7, 81,  -1,  13, 9, 21.5,⑦⑦⑦
