15年 7月 5日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 7月 5日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2750m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,さくらんぼ特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａカナラズカナラズ, 67,津村明,, 59,*  3,   0, 2,  3.6,①①①, 1, 5, マイネルゼｰラフ,,山本康,,,,, 5,  8.8,①①①, 1, 6,Ｇコスモアルドラ, 53,松岡正,, 66,* -2,   1, 5, 15.2,③②②, 1, 3,Ｂダイトウキョウ, 76,ルメｰ,, 74,  -9,* 17, 2,  3.5, ⑫⑫
 2, 9,Ｃエクストラペトル, 63,ルメｰ, 0.3, 60,   1,*  1, 3,  3.8,⑤④④, 2, 8, ウメジマダイオｰ,,草野太,180.8,,,, 3,  5.9,⑧③③, 2, 1,Ｃスタｰチェイサｰ, 60,石川裕, 0.0, 62,  -4,*  3, 3,  7.4,②③③, 2,10,Ｄゴｰルドペガサス, 71,戸崎圭, 0.0, 74,   2,   6, 1,  3.5, ⑤⑤
 3,10,Ｆクインズアベンチャ, 58,嘉藤貴, 0.3, 59,*  2,  -1, 6, 16.3,②②②, 3,11, マスソングウインド,,蓑島靖,181.0,,,,10, 40.9,⑦⑦⑤, 3,10,Ｋクｰトネイ, 45,石橋脩, 0.2, 62,* -1,  -6,10,121.3,①①①, 3, 5,Ａデンコウヒノマル, 77,福永祐, 0.1, 72,*  7,  -1, 4,  8.4, ②②
 4,14,Ｈモアニレフア, 57,柴田大, 0.3, 60,   0,*  4, 8, 37.1,⑧⑧⑦, 4, 7, ニシノファブレッド,,原田和,181.3,,,, 6, 12.9,⑨⑧⑦, 4, 4,Ｂコンチャフラメンカ, 62,福永祐, 0.3, 62,  -6,*  4, 2,  4.3,⑤⑦⑧, 4, 9,Ｅファンデルワｰルス, 71,田辺裕, 0.2, 72,   1,   5, 6, 20.3, ⑦⑦
 5, 2,Ｅイロジカケ, 59,柴田善, 0.6, 56,   0,*  1, 5, 13.5,⑦⑦⑥, 5,13, テイエムリキオｰ,,高野和,181.5,,,, 9, 28.1,⑤⑤④, 5,16,Ｄコスモピンパｰネル, 60,柴田大, 0.7, 58,  -3,  -6, 4, 13.2,⑪⑤⑤, 5, 4,Ｋエトルアンフルｰル, 66,松岡正, 0.3, 71,   3,   1,13, 98.1, ④④
 6, 5,Ｂアモｰレエテルノ, 65,戸崎圭, 0.7, 55,   0,  -3, 1,  3.1,④③③, 6,10, コスモトゥルｰラヴ,,浜野谷,182.5,,,, 1,  3.0,④②②, 6, 3,Ｅフォアニｰム, 57,田辺裕, 0.8, 57,  -6,  -2, 6, 22.9,⑨⑧⑥, 6, 6,Ｍラブロｰレル, 65,池添謙, 0.3, 71,*  6,  -2, 9, 41.2, ③③
 7,15,Ｄプロセルピナ, 60,江田照, 1.2, 51,   1,  -7, 7, 35.5,⑨⑤⑤, 7, 6, ジェイケイホｰム,,五十嵐,182.8,,,,11, 53.7,②④⑥, 7,15,Ｆポップスキャット, 55,吉田豊, 0.9, 60, -10,*  5, 8, 34.6,⑮⑬⑫, 7, 1,Ｌカシノワルツ, 66,二本柳, 0.6, 67,  -3,   4,10, 64.8, ⑪⑩
 8, 3,Ｇキャンドルアｰト, 58,蛯名正, 1.7, 50,  -2,  -6, 4,  6.6,⑫⑪⑩, 8, 1, トキノアイチヨ,,江田勇,182.9,,,, 7, 13.8,⑩⑥⑧, 8, 9,Ａロｰトリンゲン, 66,ルメｰ, 1.2, 51,  -5, -12, 1,  1.7,⑥⑥⑦, 8,13,Ｃアルマエルナト, 74,横山典, 0.6, 66,   3,  -3, 3,  3.6, ⑥⑥
 9,13,Ｉビレッジアスリｰト, 51,大野拓, 2.0, 47,   1, -13,12,111.1,⑥⑥⑧, 9, 3, タカラキャメロン,,小野寺,186.1,,,,13,168.0,⑫⑨⑨, 9, 7,Ｊナカヤマロｰマン, 46,蛯名正, 1.6, 48,  -3, -19, 7, 23.0,④④④, 9, 2,Ｆモｰニングコｰル, 70,石橋脩, 0.7, 66,*  9,  -9, 5, 11.2, ①①
