15年 4月12日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 4月12日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝2750m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■10R  ダ1700m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,花見山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｄヤマイチキセキ, 63,松若風,, 66,*  8,*  3, 5,  8.1,①①①, 1,11, テイエムシシｰポス,,佐久間,,,,, 5, 10.1,②①①, 1, 3,Ｂウインマハロ, 65,柴田大,, 60, -11,   8, 2,  3.0,③⑤③, 1,10,Ｂデンコウリキ, 75,丸山元,, 72,   5,*  5, 2,  3.9,⑫⑤②
 2, 8,Ａブラゾンドゥリス, 70,松田大, 0.2, 65,*  8,*  2, 1,  2.8,②②②, 2, 8, メイショウアラワシ,,植野貴,183.2,,,, 2,  4.9,③③③, 2, 2,Ｆストリｰトオベロン, 46,丸田恭, 0.0, 59, -13,* 10, 5, 13.4,⑤⑥⑥, 2,11,Ｆセルリアンラビット, 71,古川吉, 0.1, 73,   4,*  8,10, 37.1,⑬⑩⑤
 3, 2,Ｂキヨマサ, 70,国分恭, 1.0, 60,   3,*  4, 4,  6.9,⑦⑧⑦, 3, 7, レッドフォルツァ,,五十嵐,183.4,,,, 1,  2.7,④④④, 3,11,Ｃフォルサ, 59,中谷雄, 0.1, 54,* -9,   1, 3,  6.4,①②②, 3, 7,Ｄマッチレスヒｰロｰ, 72,柴田大, 0.4, 71,   6,   1, 3,  4.6,③④③
 4,11,Ｃハイヴォルテｰジ, 69,木幡初, 1.0, 60,   6,   0, 2,  4.6,⑧⑤⑤, 4, 2, ニシノファブレッド,,原田和,183.4,,,, 8, 27.0,⑥⑤⑤, 4, 5,Ａマイネルプロンプト, 67,丹内祐, 0.2, 56, -13,   7, 1,  2.7,⑥⑦⑦, 4, 8,Ｉアイアイエンデバｰ, 70,西田雄, 0.8, 69,   4,   1, 7, 19.9,⑪⑨⑩
 5, 4,Ｉキングライデン, 46,小崎綾, 1.6, 55,   5,  -4, 7, 16.8,⑤⑦⑥, 5, 3, トｰセンセカイオｰ,,小野寺,183.6,,,,11, 40.0,⑩⑥⑦, 5, 8,Ｄアリビアｰル, 56,杉原誠, 0.3, 55, -13,   6, 4,  8.1,⑨⑨⑧, 5, 3,Ｃアグネスユニコｰン, 73,川須栄, 1.1, 66,*  8,  -9, 4,  5.0,⑨①①
 6,12,Ｅマイネルヴォｰダン, 62,柴田大, 2.0, 53,*  7, -12, 3,  6.5,⑥④④, 6, 6, メテオｰロ,,金子光,184.1,,,, 4,  7.3,⑧⑦⑥, 6,16,Ｊカゼノドリｰム, 42,松田大, 0.4, 52,* -9,  -4,15,185.6,⑮①①, 6,12,Ｅディｰエスコマンド, 72,津村明, 1.3, 62,   5,  -5, 5, 15.2,④⑥⑦
 7, 3,Ｋトラキアンコｰド, 43,石橋脩, 2.0, 51,*  7, -12, 6, 11.7,④③③, 7,13, エスペリア,,北沢伸,184.6,,,, 3,  5.6,①②②, 7, 4,Ｅクラレンスハウス, 53,宮崎北, 0.4, 56, -14,*  9, 6, 16.3,⑧⑩⑨, 7, 1,Ｊジェイケイニュｰス, 69,丸田恭, 1.5, 62,   3,  -4, 6, 18.3,⑥⑧⑧
 8, 7,Ｊレイズユアハンズ, 46,川須栄, 2.2, 52,   0,  -2,13,121.6,⑪⑩⑩, 8,14, フィオリア,,林満明,184.9,,,,10, 33.4,⑨⑨⑧, 8, 9,Ｌマルス, 38,小崎綾, 0.6, 52, -16,   7, 7, 22.5,⑬⑭⑭, 8,13,Ｈウインヤｰド, 71,原田和, 1.7, 61,   4,  -7, 8, 34.6,⑤⑦⑨
