15年 9月21日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 9月21日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2880m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,浦安特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｊアリオンダンス, 31,武士沢,, 54,  -2,* -6,11, 61.8,⑮⑪⑥, 1,11, ブライトボｰイ,,草野太,,,,, 3,  5.6,①①①, 1, 7,Ｄセイカアヴァンサ, 71,柴山雄,, 78,*  6,* 11, 4,  7.6,②②②, 1, 1,Ａワディ, 79,川田将,, 77,   8,   9, 1,  2.1, ④④
 2,14,Ｇロッジポｰルパイン, 35,丹内祐, 0.6, 49,*  1, -19, 9, 42.2,③③②, 2, 4, シゲルヒノクニ,,山本康,194.2,,,, 5, 11.1,②②②, 2, 6,Ｅアンヴェイルド, 70,ルメｰ, 0.0, 78,*  6,* 10, 3,  7.2,①①①, 2, 5,Ｃキョウエイハピネス, 76,松岡正, 0.1, 76,* 10,   6, 3,  6.0, ③②
 3, 5,Ｉシゲルナガイワシ, 34,横山和, 1.1, 49,  -2,*-17,15,330.4,⑧⑩⑨, 3, 8, サンマルヴィエント,,高野和,195.9,,,, 6, 14.7,⑦⑤④, 3, 1,Ｃアムｰルスキｰ, 73,北村宏, 0.8, 73,   5,   6, 5,  9.5,③④③, 3,15,Ｋアトランタ, 71,戸崎圭, 0.2, 74,* 11,   4, 4,  8.7, ①③
 4,10,Ｄパイロット, 42,北村宏, 1.3, 45,   0, -22, 4, 12.6,⑩⑤③, 4,13, ショウナンライコウ,,浜野谷,196.0,,,, 4,  6.2,④③③, 4, 2,Ａアカノジュウハチ, 83,田中勝, 1.6, 68,   5,   1, 1,  1.6,⑥⑤⑤, 4,10,Ｎヒカリブランデｰ, 69,北村宏, 0.2, 75,   2,  13, 8, 33.4, ⑨⑥
 5,15,Ｈアツコ, 35,吉田豊, 1.4, 42,   1, -24, 5, 18.6,④④⑤, 5,12, オｰルデフィｰト,,五十嵐,196.1,,,, 1,  3.3,⑥④⑤, 5, 9,Ｇマイネルカペラ, 61,丹内祐, 2.0, 67,*  6,  -5, 7, 56.7,④③④, 5,12,Ｏスズカアｰサｰ, 65,丸田恭, 0.3, 72,  -7,* 20,15,152.9, ⑭⑭
 6, 2,Ｂビレッジエンパイア, 43,柴田大, 2.4, 38,  -1, -29, 2,  5.1,⑤⑥⑦, 6, 2, コｰリンジャヴロｰ,,上野翔,196.2,,,, 7, 17.7,⑪⑪⑧, 6, 5,Ｂオペラハット, 75,戸崎圭, 2.4, 65,   4,  -2, 2,  5.0,⑦⑥⑥, 6,16,Ｇサンマディソン, 73,岩部純, 0.4, 73,   0,  13,10, 37.5, ⑪⑩
 7, 1,Ｆパントコｰト, 38,田辺裕, 3.2, 32,*  3, -43, 6, 21.0,①①①, 7, 9, ニュｰコネクション,,石神深,196.6,,,, 2,  4.1,⑧⑨⑦, 7,10,Ｆクピド, 65,江田照, 2.6, 63,   2,   1, 6, 29.6,⑩⑦⑦, 7, 4,Ｆスマｰトレパｰド, 74,草野太, 0.6, 71,  -3,  13,11, 47.9, ⑬⑬
 8, 6,Ｃヤコブノハシゴ, 43,村田一, 3.3, 34,  -4, -29,14,196.2,⑭⑬⑪, 8,10, ヒラリアス,,金子光,196.8,,,,10, 29.5,⑩⑧⑩, 8, 4,Ｊヴィクトリｰノヴァ, 50,井上敏, 4.4, 55,   1, -11, 8,112.7,⑧⑨⑧, 8, 9,Ｈシュナップス, 73,吉田豊, 0.9, 68,   3,   6, 7, 22.9, ⑦⑦
 9,12,Ｏロｰドディロング, -3,石川裕, 3.4, 35,  -5, -31, 8, 34.1,⑫⑫⑫, 9, 5, ナッハフォルガｰ,,林満明,199.3,,,, 8, 21.2,③⑥⑥, 9, 8,Ｈファイアキング, 57,野中悠, 6.2, 46,   0, -24, 9,119.6,⑨⑩⑨, 9, 7,Ｌシャンパンルｰジュ, 70,柴田善, 1.1, 66,   2,   5,14,103.2, ⑩⑨
10,13,Ｍミヤコノアバランチ, 26,田中勝, 3.6, 31,  -1, -39, 7, 26.2,⑨⑧⑧,10, 7, ザキス,,江田勇,199.7,,,,13,112.4,⑨⑦⑨,10, 3,Ｉイｰストフォンテン, 52,柴田大, 9.2, 38,   2, -53,10,125.1,⑤⑧⑩,10, 6,Ｅオメガハイヌｰン, 74,岩田康, 1.4, 64,  -2,   6, 5, 14.0, ⑫⑫
11, 8,Ｋピクニックガｰデン, 29,丸山元, 3.6, 32,  -2, -38,13,124.6,⑦⑨⑩,11, 6, クリノグランデ,,蓑島靖,200.8,,,,12,109.5,⑤⑩⑪,,,,,,,,,,,,,11,13,Ｂラスパジャサｰダス, 78,内田博, 1.4, 64,   8,  -3, 2,  5.6, ⑤⑤
