15年 6月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 6月27日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 4R  ダ1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-7,,,,,■10R  芝1800m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,八ヶ岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｇマシェリガｰル, 46,横山典,, 52,   0,*-20, 5, 14.0, ③④, 1, 6,Ａジｰアイウォｰカｰ, 63,田中勝,, 66,*  2,*  2, 1,  3.4, ③④, 1, 1,Ｅノｰフェイト, 70,田中勝,, 68,  -8,* 15, 6, 20.4, ⑫⑫, 1, 4,Ｈカレンケカリｰナ, 76,津村明,, 77,  19,* -8, 3,  6.1,⑤⑥⑥
 2,12,Ｂアドマイヤモラｰル, 54,柴田善, 0.3, 50,*  3, -29, 1,  2.7, ②②, 2,12,Ｉヴィルフランシュ, 54,蛯名正, 0.1, 66,*  3,   1, 4,  9.7, ④③, 2,13,Ｋハッピｰサｰクル, 62,柴田大, 0.0, 68,* -3,   9, 8, 31.5, ⑤③, 2,12,Ｅマイネオｰラム, 78,柴田大, 0.2, 76,  22, -15, 1,  3.6,②④④
 3,11,Ｃスタｰオブペルシャ, 54,北村宏, 0.3, 51,   0, -24, 2,  3.2, ⑤⑤, 3, 5,Ｍキｰタイプ, 52,内田博, 0.2, 65,  -1,*  6,10, 36.8, ⑩⑪, 3, 8,Ｈフレックスハｰト, 67,田辺裕, 0.1, 67,  -9,* 16,10, 38.4, ⑭⑬, 3, 2,Ｇフジマサエンペラｰ, 76,蛯名正, 0.3, 76,  17,  -9, 4,  7.5,⑨⑦⑦
 4,10,Ｄマイネルツィｰル, 53,柴田大, 0.8, 46,  -7,*-18, 6, 18.3, ⑪⑪, 4,15,Ｎピュアノアｰル, 48,横山典, 0.3, 61,*  4,  -3, 2,  4.3, ①①, 4,15,Ｇミュｰル, 68,北村宏, 0.1, 69,  -7,  14, 3,  6.0, ⑬⑪, 4, 1,Ｄメドウヒルズ, 78,戸崎圭, 0.3, 75,  19, -12, 2,  5.1,④⑤⑤
 5, 9,Ａハレルヤボｰイ, 58,吉田豊, 0.9, 45,*  2, -35, 4,  7.0, ④③, 5,11,Ｈシュピｰゲル, 54,田辺裕, 0.5, 61,   0,   2, 8, 22.6, ⑪⑩, 5,10,Ｆナンゴクロマンス, 68,大野拓, 0.2, 67,  -5,  11, 7, 25.4, ⑧⑧, 5, 7,Ｂタブレットピｰシｰ, 79,田中勝, 0.5, 75,  16,  -9, 6, 11.6,⑩⑨⑩
 6, 3,Ｅルドロｰジエ, 53,石川裕, 1.0, 40,  -3, -29, 7, 41.4, ⑦⑦, 6, 7,Ｌダイワバｰス, 52,柴田善, 0.9, 59,   0,  -2,11, 38.0, ⑧⑧, 6,14,Ａレッツサッチャｰ, 73,松岡正, 0.2, 65,* -3,   7, 4,  8.7, ②②, 6, 5,Ｋラスヴェンチュラス, 74,内田博, 0.6, 73,  13,* -5,12, 40.1,⑮⑮⑮
 7, 4,Ｈファジｰネｰブル, 44,江田照, 1.1, 41,  -1, -32, 8, 45.9, ⑥⑥, 7, 1,Ｄマゼンタ, 61,北村宏, 1.1, 59,   2,  -6, 3,  6.3, ⑤⑤, 7, 5,Ｉケルシャンス, 65,石川裕, 0.4, 67,  -5,   8, 2,  3.3, ⑦⑦, 7,11,Ｏガチバトル, 64,柴田善, 0.7, 72,  15,  -9,10, 27.8,⑭⑫⑪
 8, 6,Ｆシャウトオブジョイ, 52,戸崎圭, 1.4, 38,*  3, -45, 3,  5.3, ①①, 8, 9,Ｇパルミエ, 59,西田雄, 1.3, 58,  -2,  -2,14, 63.5, ⑬⑬, 8, 6,Ｄモシモシ, 70,柴田善, 0.4, 67, -10,* 16, 9, 35.3, ⑮⑮, 8,15,Ｍロジプリンセス, 71,松岡正, 0.7, 72,  16, -12,13, 41.8,⑧⑪⑨
 9, 8,Ｊフレンドミラクル, 31,武士沢, 1.6, 40,  -7, -31,10,134.9, ⑨⑩, 9,10,Ｃエメラルエナジｰ, 61,石川裕, 1.3, 59,  -1,  -6, 5, 10.8, ⑨⑨, 9,11,Ｃネイティヴコｰド, 70,蛯名正, 0.4, 64,* -3,   4, 1,  2.7, ①①, 9, 3,Ｃダイワアクシス, 79,大野拓, 0.8, 71,  15,  -9, 8, 20.7,⑫⑭⑭
10, 5,Ｉコスモブランカ, 36,松岡正, 2.3, 32,  -6, -43, 9, 78.7, ⑩⑨,10, 2,Ｂカオス, 62,戸崎圭, 1.4, 55,  -5,   0, 6, 11.1, ⑮⑯,10,16,Ｌノンブルドｰル, 61,石橋脩, 1.5, 54,* -4,  -3,16,248.8, ③⑤,10, 8,Ａショウナンマルシェ, 80,オｰル, 1.1, 67,  15, -15, 5,  8.8,⑦⑩⑫
11, 2,Ｌエｰルクリｰガｰ, 28,菅原隆, 2.5, 29,  -4, -47,12,243.5, ⑧⑧,11, 3, バルマスケ,---,大野拓, 1.6, 54,  -2,  -6,12, 45.6, ⑫⑫,11, 9,Ｍガスタｰ, 59,二本柳, 1.6, 56,  -9,   3,13,134.6, ⑯⑭,11,14,Ｎコスモミレネｰル, 70,石橋脩, 1.5, 63,* 23, -37,14, 74.9,③③③
12, 1,Ｋワｰルドボｰイ, 29,木幡初, 5.7,-13, -32, -47,11,239.8, ⑫⑫,12, 4,Ｏフランシスカ, 43,石橋脩, 2.0, 51,   1, -12,13, 56.0, ⑥⑥,12, 4,Ｂスペルオンミｰ, 71,津村明, 1.8, 52,  -8,  -2, 5, 12.4, ⑪⑩,12, 6,Ｉエスオンマイチェス, 76,北村宏, 1.6, 63,  17, -29, 7, 17.1,⑥⑧⑧
,,,,,,,,,,,,13,16,Ｆピサｰロ, 60,津村明, 2.0, 51,  -3,  -6,16,197.1, ⑯⑭,13,12,Ｏディスティンダリア, 36,吉田豊, 2.1, 49,  -6,  -7,11, 75.8, ⑥⑥,13,10,Ｌビｰムライフル, 73,吉田豊, 1.8, 61,  15, -24,15, 96.0,⑬⑬⑬
,,,,,,,,,,,,14,14,Ｅランドオブホｰプ, 61,柴田大, 2.3, 49,   0, -16, 7, 11.8, ⑦⑦,14, 7,Ｐカンタベリｰヒメ, 35,野中悠, 2.3, 48,  -5, -10,15,158.8, ④④,14,13,Ｊヤヤラｰラ, 75,江田照, 1.9, 57,* 26, -49,11, 33.7,①①①
,,,,,,,,,,,,15, 8,Ｊゼロレボルシオン, 54,松岡正, 2.5, 46,*  2, -21, 9, 30.5, ②②,15, 2,Ｊデルマアラレチャン, 64,村田一, 2.7, 45,  -7, -10,14,138.2, ⑨⑨,15, 9,Ｆブリリアントアスク, 78,横山典, 2.6, 52,* 24, -58, 9, 23.7,⑪②②
,,,,,,,,,,,,16,13,Ｋフェスティヴオウカ, 53,江田照, 2.5, 46,  -3, -11,15, 72.2, ⑭⑮,16, 3,Ｎチュウワアピｰル, 51,内田博, 2.9, 43, -11,  -7,12, 80.7, ⑩⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-17 馬場:稍重(指数:0),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+6 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-13 馬場:稍重(指数:0),,,,,,,,,,,
