15年 3月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月 7日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 4R  芝2970m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1600m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,武庫川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａトワエモア, 66,浜中俊,, 65,*  7,*  3, 1,  2.4, ①①, 1, 4, リバｰタイキ,,植野貴,,,,, 4,  7.4,③④③, 1,11,Ｈライオンズバイツ, 71,四位洋,, 75,  -8,* 18, 4,  7.3, ⑨⑥, 1,11,Ａテイエムタイホｰ, 87,松田大,, 89,* 13,   4,11, 23.8, ①①
 2,12,Ｊセングウ, 42,岩崎翼, 1.3, 52,  -2,*  1, 8, 47.6, ⑥⑥, 2, 7, グレイトエンブレム,,平沢健,201.4,,,, 3,  4.3,①①①, 2, 2,Ｃサトノユニコｰン, 76,小牧太, 0.0, 72,* -2,  11, 1,  3.0, ①①, 2, 2,Ｅサトノアラジン, 83,池添謙, 0.3, 85,   5,* 14, 2,  4.1, ⑩⑩
 3, 7,Ｏコウエイラブリｰ, 10,小林徹, 1.4, 51,   2,  -4, 9, 50.0, ④④, 3, 6, カッパドキア,,西谷誠,202.0,,,, 2,  3.5,④③②, 3,10,Ｄジョｰウォルタｰ, 74,浜中俊, 0.4, 70,  -6,  12, 6, 17.4, ⑥④, 3, 1,Ｋウインプリメｰラ, 80,松山弘, 0.3, 87,  10,   6, 7, 14.3, ②③
 4, 4,Ｂディアエナ, 66,岩田康, 1.4, 51,*  6,  -8, 2,  2.6, ②②, 4, 1, シゲルヒダカ,,佐久間,202.4,,,, 5,  8.9,⑦⑥⑤, 4, 1,Ａヴェアデイロス, 77,藤岡佑, 0.6, 67, -10,* 17, 2,  3.7, ⑫⑫, 4, 3,Ｌマンボネフュｰ, 80,デムｰ, 0.4, 85,   8,*  7, 3,  6.8, ⑤⑥
 5, 3,Ｃラｰムリュンヌ, 54,秋山真, 1.6, 48,  -4,   0, 4, 10.5, ⑧⑦, 5,11, ワｰルドマッチ,,林満明,202.5,,,, 6, 17.9,②②④, 5,12,Ｇゴｰルデンアタック, 72,幸英明, 0.6, 69, -14,* 19, 9, 28.0, ⑭⑭, 5, 9,Ｃエイシンペペラッツ, 85,武豊  , 1.0, 77,* 11,  -5, 8, 16.4, ③②
 6, 8,Ｉアグネスエピソｰド, 43,国分優, 1.6, 49,   0,  -4,12,120.4, ⑤⑤, 6, 8, テイエムロカビリｰ,,田村太,206.3,,,,11,159.4,⑧⑧⑧, 6, 4,Ｉアｰトオブキング, 70,城戸義, 0.7, 66,* -5,   7,11, 45.7, ②⑤, 6,13,Ｏラディウス, 74,岩田康, 1.1, 77,   3,   6,12, 59.2, ⑮⑭
 7, 6, レッドランタン,---,バルジ, 1.8, 48,*  5, -11, 3,  7.0, ③③, 7,10, トミケンパシエンテ,,金子光,206.6,,,,12,166.0,⑪⑨⑨, 7, 8,Ｌムｰントラベラｰ, 68,池添謙, 0.8, 66,  -9,  12,10, 41.9, ⑪⑪, 7,10,Ｊピｰクトラム, 81,バルジ, 1.2, 75,   8,  -4,13, 59.4, ⑦⑦
 8,14,Ｆエスペランサルル, 48,古川吉, 2.1, 44, -10,*  2,11, 71.8, ⑬⑭, 8, 2, トゥルｰフレンド,,難波剛,206.7,,,, 8, 48.7,⑤⑤⑥, 8,14,Ｅアバンサル, 73,国分恭, 1.2, 62,  -8,   7, 7, 21.9, ⑧⑧, 8, 8,Ｇミヤジタイガ, 83,和田竜, 1.3, 74,   9,  -7,10, 18.0, ⑥⑤
