15年12月12日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年12月12日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■10R  芝2200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,長良川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｇデビルウイング, 44,横山和,, 58,  -4,*  2,10, 50.0, ③③, 1, 6, レッドフォルツァ,,上野翔,,,,, 4,  7.4,⑧⑥⑥, 1, 8,Ｅキンシロケット, 59,田中健,, 62,*  5,  -9, 3,  9.3, ②②, 1,11,Ｉクインズストｰム, 71,黛弘人,, 79,   3,   9, 7, 14.1,⑧⑥⑤
 2, 5,Ｉオリエンタルロｰズ, 44,田中健, 0.4, 55,  -6,   0, 1,  3.2, ⑦⑥, 2,13, エルインペレイタｰ,,浜野谷,204.3,,,, 6, 13.0,①①①, 2, 6,Ｃミスズスタｰ, 62,丸山元, 0.1, 61,  -1,  -4, 1,  2.6, ⑦④, 2,16,Ｅミュゼダルタニアン, 75,丸山元, 0.0, 76,*  4,   5, 3,  6.3,⑤③③
 3, 1,Ｂアンペラｰル, 59,伴啓太, 0.5, 54,  -5,  -2, 2,  3.6, ⑥⑤, 3, 1, ナッハフォルガｰ,,林満明,204.4,,,,11, 77.9,⑦⑦⑦, 3, 9,Ａサカジロテンオｰ, 65,国分恭, 0.5, 56,  -3,  -8, 2,  3.9, ⑤⑤, 3, 5,Ｄマイネルカレッツァ, 77,石橋脩, 0.5, 71,*  4,  -3, 1,  4.3,②②②
 4, 6,Ｋスピｰドムテキ, 41,黛弘人, 0.7, 52,* -2,  -6, 6, 10.8, ①①, 4, 2, マイネルマｰク,,五十嵐,204.4,,,, 1,  2.5,⑥⑤⑤, 4, 2,Ｄシャンボｰル, 59,西村太, 0.5, 56, -10,   0, 5, 10.5, ⑪⑪, 4, 7,Ｇプラトンイミシャン, 74,勝浦正, 0.5, 77,  -1,* 14,11, 37.7,⑯⑭⑭
 5, 8,Ｆモズワッショイ, 47,中谷雄, 1.0, 50,  -3,  -6, 8, 17.8, ④④, 5, 8, シゲルハリマ,,草野太,204.5,,,, 7, 34.4,②④②, 5,17,Ｌウインプリマ, 39,黛弘人, 0.6, 55, -11,   0,16,155.9, ⑬⑬, 5,13,Ａトウキョウタフガイ, 79,菱田裕, 0.5, 80,  -3,* 22, 4,  6.7,⑱⑱⑱
 6,12,Ｍディアヒラリｰ, 35,加藤祥, 1.0, 49,  -8,  -3, 9, 27.1, ⑨⑧, 6, 9, ドリｰムトレイン,,中村将,204.8,,,, 3,  7.1,③②③, 6,16,Ｉメイショウフレイヤ, 49,松田大, 0.7, 53, -12,  -1, 6, 11.4, ⑫⑫, 6,14,Ｆドンアルフォンス, 75,加藤祥, 0.6, 73,   1,   7,13, 52.7,⑦⑧⑨
 7,10,Ｊダッシュビｰム, 42,丸山元, 1.2, 47, -10,  -3, 7, 13.7, ⑩⑨, 7,14, アルディエス,,西谷誠,204.9,,,, 2,  3.4,④③④, 7,11,Ｑクニサキゴメスタア, 29,岩崎翼, 0.7, 53, -20,*  7,18,270.4, ⑯⑯, 7,15,Ｃサウンドメモリｰ, 78,古川吉, 0.7, 72,   2,   4, 2,  4.7,⑨⑨⑧
 8,13,Ｃアレッチ, 59,勝浦正, 1.3, 45, -16,*  2, 5,  8.5, ⑬⑫, 8, 3, スカイパッション,,難波剛,205.8,,,,10, 47.5,⑤⑧⑩, 8,10,Ｈオｰディンロｰズ, 51,松若風, 0.9, 50,*  8, -23, 7, 16.7, ①①, 8, 6,Ｂステイザコｰス, 78,松若風, 0.7, 73,   1,   8, 5,  7.0,⑫⑪⑪
 9,11,Ｐヤマニンロスタｰ, 18,中村将, 1.3, 46, -15,*  1,14,293.6, ⑭⑭, 9,12, モリトブイコｰル,,高野和,206.3,,,,13,135.1,⑪⑩⑨, 9, 4,Ｊロックオン, 47,石橋脩, 0.9, 51,  -6,  -9, 4, 10.2, ⑧⑨, 9, 4,Ｈインプレショニスト, 72,中谷雄, 0.9, 72,   2,   0,10, 35.9,⑥⑦⑦
10,15,Ｈアムロタイプ, 44,城戸義, 2.0, 40,  -4, -16,11,142.4, ⑤⑦,10, 4, プレスリｰ,,蓑島靖,206.3,,,, 5, 12.4,⑫⑪⑪,10, 3,Ｍカシノミライ, 36,鮫島克, 1.0, 50, -18,   2,17,239.7, ⑮⑮,10,17,Ｑコｰトオブアｰムズ, 62,松田大, 1.0, 73,  -3,* 12,14, 53.7,⑮⑮⑯
11,14,Ａエイシンシトラス, 62,太宰啓, 2.2, 39,  -6, -15, 4,  8.2, ⑧⑪,11, 5, クラウンロベルト,,鈴木慶,206.9,,,,14,207.8,⑩⑨⑧,11,18,Ｂロングハｰド, 63,太宰啓, 1.0, 49,*  5, -22, 8, 23.3, ③③,11, 1,Ｏマイネボニｰタ, 66,伊藤工, 1.2, 66,   4,  -8,12, 49.3,③④④
