15年 3月29日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月29日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-16,,,,,■10R  芝2000m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,常総ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｈツクバインパクト, 56,柴田善,, 64,  -5,*  4, 3,  7.2, ⑥④, 1,14,Ｂメイアルｰア, 64,北村宏,, 72,  -1,* 15, 2,  3.6,⑭⑨④, 1, 6,Ａタマノエスペランサ, 73,吉田豊,, 65,*  1,   3, 2,  3.8, ②②, 1, 8,Ｉファントムライト, 76,内田博,, 81,   6,* 14, 5,  9.5,⑩⑪⑨
 2,16,Ａタイセイストｰム, 67,大野拓, 0.3, 61,  -6,   2, 1,  1.8, ⑦⑥, 2, 3,Ｄスプレンデレ, 61,吉田豊, 0.0, 75,  -1,* 18, 3,  3.8,⑫⑫⑥, 2, 9,Ｂスイｰトガｰデン, 73,田辺裕, 0.2, 64,  -2,   5, 1,  2.6, ⑥⑥, 2, 2,Ｃダイワレジェンド, 84,北村宏, 0.1, 77,   9,   4, 1,  2.5,④⑤④
 3, 1,Ｂストロベリｰズ, 62,石橋脩, 0.4, 60,*  2,  -5, 4, 13.2, ②②, 3, 9,Ｅマイネルフレッチャ, 59,柴田大, 0.5, 68,*  1,   7, 5, 12.0,⑰⑤③, 3, 1,Ｋケルシャンス, 59,横山典, 0.3, 63,  -7,*  9, 6, 13.0, ⑨⑩, 3,12,Ａサクラボｰルド, 86,横山典, 0.1, 79,   5,* 16, 7, 15.2,⑫⑬⑫
 4, 8,Ｍアポロフリュｰゲル, 41,北村宏, 0.4, 61,*  4,  -7, 8, 25.6, ①①, 4,17,Ｃハナイチゲ, 62,丹内祐, 0.8, 63,*  1,   1,10, 71.9,④③①, 4,13,Ｆアイネクライネ, 66,丹内祐, 0.3, 61,  -5,   7, 9, 42.0, ⑦⑦, 4, 6,Ｂカムフィｰ, 85,柴田善, 0.2, 79,   5,* 14, 3,  7.3,⑬⑫⑬
 5, 3,Ｊエイコオアルバ, 52,柴田大, 1.0, 55, -11,   0,11, 37.7, ⑩⑪, 5,16,Ｋエレガントソング, 51,勝浦正, 0.9, 63,  -1,   5,12, 84.0,⑬⑬⑦, 5,14,Ｄスノｰレパｰド, 68,北村宏, 0.5, 62,  -5,   5, 4,  8.8, ⑧⑧, 5, 4,Ｆテスタメント, 79,杉原誠, 0.2, 79,   6,   9, 2,  4.5,⑨⑨⑧
 6,15,Ｇゼンザイ, 58,丸山元, 1.0, 56, -15,*  6, 9, 28.4, ⑬⑬, 6,13,Ｍレオアルテミス, 45,横山和, 1.1, 62,  -4,   8, 9, 63.4,⑯⑯⑫, 6, 8,Ｅナムラヒラリｰ, 66,柴田善, 0.5, 62,  -7,   7, 8, 18.8, ⑩⑨, 6,10,Ｅミヤジタイガ, 80,吉田豊, 0.2, 77,   9,   4, 6, 11.4,⑦⑥⑤
 7,12,Ｆキリョウヨシ, 59,江田照, 1.1, 53,  -2,  -8,12, 39.7, ⑤③, 7,11,Ｏトリプルミッション, 42,横山典, 1.1, 58,*  0,  -2, 7, 16.4,⑩④⑨, 7, 3,Ｎメイショウベルシア, 46,四位洋, 0.5, 64, -11,* 10,11, 66.6, ⑭⑪, 6, 9,Ｄサムソンズプライド, 84,田辺裕, 0.2, 75,* 10,  -1, 4,  8.1,①①①
 7, 4,Ｄエヴリホｰプ, 60,吉田豊, 1.1, 53, -10,  -1, 6, 20.4, ⑫⑩, 8,10,Ｊモンセラｰ, 51,柴山雄, 1.2, 57,*  2,  -6, 8, 49.4,③②⑤, 8, 5,Ｃパッシオｰネラヴィ, 68,石川裕, 0.6, 60,  -2,   1, 5, 12.0, ⑤④, 8,13,Ｋハｰコット, 73,横山和, 0.4, 71,* 10,  -4,13,167.9,③③②
 9, 7,Ｋプラチナムスタング, 50,横山和, 1.2, 54, -10,  -2,10, 37.0, ⑪⑫, 9, 6,Ｇスカｰレットデビル, 58,内田博, 1.4, 56,*  2, -10, 4,  8.0,①①②, 9, 2,Ｉマダムアグライア, 64,勝浦正, 1.1, 56,*  1,  -7,10, 44.4, ①①, 9, 5,Ｊラディウス, 76,勝浦正, 0.4, 76,   6,   9, 8, 20.0,⑪⑩⑩
10, 2,Ｃポントス, 61,大庭和, 1.3, 52,  -8,  -4, 7, 23.6, ⑨⑨,10, 1,Ｒショウナンワグナｰ, 34,津村明, 1.6, 60,  -5,   7,18,314.4,⑱⑱⑱,10,16,Ｇジャズダンサｰ, 65,木幡初, 1.2, 55, -10,   3, 7, 15.0, ⑫⑬,10, 7,Ｌオメガブレイン, 71,田中勝, 0.5, 73,* 10,  -4,12, 98.0,⑤④③
11,10,Ｉワル, 55,木幡初, 1.3, 52, -18,*  5, 5, 13.7, ⑭⑮,11, 7,Ａニシノハッスル, 68,田辺裕, 1.6, 56,  -1,  -6, 1,  3.5,⑥⑩⑭,11,12,Ｏプリンセスカナ, 30,津村明, 1.4, 52, -13,   4,16,261.1, ⑮⑮,11, 1,Ｈマイネルマｰク, 77,柴田大, 0.5, 74,   7,   1, 9, 50.2,⑥⑦⑥
12, 6, スパイダｰムｰン,---,石川裕, 1.9, 47, -22,   4,13, 85.9, ⑮⑭,12,15,Ｆスタｰチェイサｰ, 58,石川裕, 1.6, 55,  -1,  -6, 6, 15.4,⑨⑪⑪,12,11,Ｌデルマシズカチャン, 58,嘉藤貴, 1.4, 54,*  0,  -8,13,110.4, ③⑤,12,11,Ｍブロｰドスタｰ, 68,蛯名正, 1.1, 69,   6,  -3,10, 50.2,⑧⑧⑪
13,14,Ｅアンジュデトワｰル, 60,柴山雄, 2.2, 43,  -6, -14, 2,  7.0, ⑧⑧,13, 8,Ｌトドロキキシボジン, 49,木幡初, 1.7, 55,  -3,  -4,17,297.5,⑧⑮⑮,13, 4,Ｊデスティニｰラブ, 62,丸山元, 1.6, 52,  -2,  -7,15,131.8, ④③,13, 3,Ｇカｰバ, 77,石川裕, 1.6, 61,* 10, -20,11, 66.2,②②⑦
14, 5,Ｎモリトプリマ, 40,勝浦正, 3.0, 38,  -3, -23,14,115.5, ③⑤,14,18,Ｈテイエムソラトブ, 53,丸山元, 1.7, 54,  -1,  -9,15,242.2,⑦⑧⑩,14,10, フィフスセント,---,内田博, 2.1, 47, -11,  -4, 3,  8.8, ⑬⑭,,,,,,,,,,,,
15,13,Ｏフジサンベア,-61,野中悠, 3.6, 32, -22, -11,16,288.0, ⑯⑯,15,12,Ｉサブマリン, 51,石橋脩, 1.8, 54,  -1, -10,11, 78.2,⑤⑦⑧,15,15,Ｈプリティｰキャロル, 65,江田照, 2.3, 45,  -8,  -8,12, 96.9, ⑪⑫,,,,,,,,,,,,
16, 9,Ｌケンブリッジノア, 43,伊藤工, 3.7, 30,  -3, -29,15,185.0, ④⑦,16, 2,Ｐタマヨリモハヤク, 42,野中悠, 2.8, 46,  -4, -15,14,208.0,⑮⑰⑰,16, 7,Ｍベアファｰスト, 51,田中勝, 3.6, 35, -21,  -7,14,127.2, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,17, 4,Ｑアｰリｰズベル, 41,杉原誠, 3.0, 46,  -1, -21,16,248.6,⑪⑭⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,18, 5,Ｎキクノラッキｰ, 43,岩部純, 3.8, 37,  -1, -39,13,121.6,②⑥⑬,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-1),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-9 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:82 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:-1),,,,,,,,,,,
単勝:720円 複勝:11=170円 16=110円 01=220円 枠連:480円,,,,,,,,,,,,単勝:360円 複勝:14=140円 03=180円 09=210円 枠連:690円,,,,,,,,,,,,単勝:380円 複勝:06=140円 09=120円 01=390円 枠連:300円,,,,,,,,,,,,単勝:950円 複勝:08=220円 02=150円 12=300円 枠連:610円,,,,,,,,,,,
