15年12月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年12月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝2000m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 7R  ダ1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  ダ1800m 3歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,摩耶ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａロワゾブルｰ, 71,浜中俊,, 63,*  1,* -1, 1,  1.6, ①①, 1, 7,Ｅロｰドヴァンドｰル, 60,太宰啓,, 65,*  5, -11, 7, 18.3,①①①, 1, 3,Ｋエピックウィン, 66,小牧太,, 73,   3,   5,11, 46.0, ③④, 1, 6,Ｆトップディｰヴォ, 86,川田将,, 87,  12,  11, 2,  4.6,⑨⑨⑥
 2, 7,Ｆヒナワジュウ, 50,水口優, 0.7, 56,* -1,  -5, 8, 45.3, ③②, 2,16,Ｇロｰズウィスパｰ, 57,川田将, 0.0, 66,   3,  -5, 5, 11.2,⑥⑥⑤, 2, 1,Ｂミカエルシチｰ, 76,デムｰ, 0.1, 70,  -5,* 11, 2,  3.7, ⑪⑫, 2, 2,Ｃエノラブエナ, 86,小牧太, 0.2, 85,  13,   7, 1,  2.1,⑦⑦⑤
 3, 4,Ｏキラパワｰ, 32,田中健, 0.8, 57,  -4,  -2, 9, 46.5, ⑥⑥, 3, 4,Ａアドマイヤキズナ, 67,岩田康, 0.0, 67,   2,* -1, 2,  2.8,⑪⑩⑨, 3, 4,Ｃコランダム, 76,浜中俊, 0.2, 70,   0,   6, 3,  7.8, ⑦⑦, 3, 1,Ｅセイスコｰピオン, 86,国分優, 0.2, 86,   9,* 16, 7, 32.1,⑪⑪⑪
 4,10,Ｉナイスワン, 47,小坂忠, 0.8, 56,  -2,  -4,11, 80.8, ④④, 4,14,Ｂアズナヴァル, 65,ボウマ, 0.0, 67,   0,*  1, 4,  9.0,⑬⑫⑩, 4,10,Ｇタイキラトナンジュ, 71,川田将, 0.2, 71,*  5,   2, 5,  9.8, ②②, 4,11,Ｋタマモネイヴィｰ, 81,池添謙, 0.8, 80,* 16,  -4, 4,  9.0,⑥③①
 5, 3,Ｃセイシュプリｰム, 61,国分優, 1.0, 55,* -1,  -6, 3,  6.6, ②③, 5,11,Ｋデルマオギン, 51,武幸四, 0.5, 63,   0,* -4,10,122.5,⑫⑬⑫, 5,11,Ｅアイファｰサラオｰ, 72,ボウマ, 0.3, 69,  -8,* 12, 4,  8.8, ⑯⑭, 5,12,Ｂマヤノオントロジｰ, 86,太宰啓, 0.8, 82,   8,  12, 9, 37.2,⑫⑫⑫
 6,14,Ｂヨシオ, 62,岩田康, 1.2, 53,  -9,*  0, 2,  4.4, ⑨⑩, 6,10,Ｃユキノロｰド, 64,松若風, 0.5, 60,   1, -10, 6, 13.9,⑧⑧⑥, 6,12,Ｈセイジャッカル, 71,国分優, 0.4, 68,   3,   1,10, 38.3, ④③, 6,10,Ｈドラゴンピｰス, 82,岩田康, 0.8, 82,   6,* 15,10, 56.0,⑬⑬⑬
 7,15,Ｈカネトシフェアリｰ, 47,小林徹, 1.3, 52,  -8,  -3, 5, 24.9, ⑧⑧, 7, 1,Ｈルｰジュバロｰズ, 57,デムｰ, 0.9, 56,*  4, -19, 1,  2.7,③④④, 7, 9,Ａエイシンファイヤｰ, 77,岩田康, 0.5, 67,   1,   2, 1,  2.6, ⑤⑤, 7, 9,Ｊロｰドフォワｰド, 82,松若風, 1.1, 81,  13,   1,12, 64.4,④⑥⑨
 8, 1,Ｋトオイショウワノ, 42,和田竜, 1.3, 54,  -2,  -7,13,152.8, ⑤⑤, 8,15,Ｆケンホファヴァルト, 60,武豊  , 1.0, 56,*  4, -20, 3,  8.6,④③③, 8,15,Ｄノボリクリｰン, 76,和田竜, 0.5, 67,  -1,   4, 6, 14.5, ⑨⑧, 8, 7,Ａタガノゴｰルド, 87,ボウマ, 1.3, 77,  14,  -4, 3,  6.2,③⑤③
