15年 1月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月10日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1800m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  ダ2400m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,成田特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａトゥルｰムｰン, 65,木幡初,, 63,*  6,* -1, 1,  1.9, ①①, 1, 5,Ｃデルマネコムスメ, 70,田辺裕,, 72,   5,*  9, 5, 10.3, ⑭⑪, 1, 7,Ｈアｰマｰクラッド, 70,蛯名正,, 76,   6,*  7, 3,  5.2,⑩⑩⑧, 1, 1,Ｂコスモナイスガイ, 83,柴田大,, 83,   8,* 16, 1,  3.2,⑮⑩⑧
 2,12,Ｂトリアンドルス, 58,内田博, 0.2, 61,*  6,* -2, 4,  8.0, ③③, 2,15,Ｂチュウワベイビｰ, 72,原田和, 0.4, 71,  12,  -1, 2,  4.8, ⑦⑥, 2,12,Ｋサクラルコｰル, 68,戸崎圭, 0.6, 70,*  8,  -2, 2,  3.6,③③③, 2,11,Ａホワイトフリｰト, 85,横山典, 0.2, 80,   9,* 11, 4, 10.9,⑤⑤③
 3, 8,Ｆスズダリア, 52,後藤浩, 0.8, 55,*  6,  -7, 3,  7.2, ②②, 3, 1,Ｄヤマニンアタシャン, 68,戸崎圭, 0.5, 72,* 15,  -4, 1,  2.6, ①①, 3,14,Ｃストロングバルドル, 72,伊藤工, 0.9, 71,   4,*  4, 5, 10.6,⑬⑭⑭, 3,10,Ｊインストレｰション, 79,吉田隼, 0.4, 78,* 10,   6, 3,  6.2,①①①
 4, 4,Ｇドリｰムメモリｰ, 52,田辺裕, 1.0, 53,   4,  -7, 5, 12.9, ④④, 4,11,Ａサクラディソｰル, 74,ベリｰ, 0.7, 68,  13,  -4, 3,  5.5, ⑤⑤, 4, 5,Ａヴィルトグラｰフ, 76,北村宏, 1.5, 66,*  8, -10, 1,  2.9,①①①, 4, 4,Ｅオペラハット, 80,後藤浩, 0.6, 79,   8,* 10, 8, 19.1,⑧⑨⑤
 5,10,Ｅユメノマイホｰム, 54,津村明, 1.2, 51,   0,  -5, 2,  5.3, ⑩⑨, 5,16,Ｊフレックスハｰト, 65,北村宏, 0.8, 67,   9,  -2, 6, 14.3, ⑩⑧, 5, 3,Ｐサトノスティング, 55,内田博, 1.5, 67,   5,  -3, 7, 28.3,⑪⑫⑪, 5,16,Ｃヘルツフロイント, 83,北村宏, 0.7, 79,* 10,   3, 2,  3.5,②②②
 6,14,Ｈオンユアマｰク, 49,三浦皇, 1.3, 51,   3,  -9, 7, 23.6, ⑥⑤, 6, 8,Ｍキｰビスケット, 63,吉田豊, 1.0, 62,   7,  -2,11, 67.7, ⑬⑩, 6,10,Ｂアップルハウス, 73,平野優, 1.6, 66,   6,  -5, 9, 41.8,⑨⑪⑩, 6,13,Ｎメイショウシャイン, 76,石橋脩, 0.8, 77,   9,   7,12, 73.3,④⑧⑥
 7, 7,Ｄオランジュバトｰ, 54,石橋脩, 1.6, 46,   1, -10, 8, 30.8, ⑨⑥, 7, 2,Ｈスノｰレパｰド, 65,伴啓太, 1.1, 65,  12,  -7, 9, 49.3, ④④, 7, 8,Ｊトｰセンゴｰジャス, 68,菅原隆, 1.7, 66,   3,   0,11, 52.3,⑯⑯⑯, 7,14,Ｌランブリングマン, 77,田中勝, 1.0, 76,*  9,   2, 6, 16.6,⑦③④
 8, 5,Ｊヒメノエルフ, 43,勝浦正, 1.9, 41,  -8,  -5,11,112.5, ⑭⑬, 8, 9,Ｉトウカイマインド, 65,的場勇, 1.3, 60,   3,   0,12, 91.5, ⑮⑭, 8,15,Ｇシルクフラッシュ, 70,吉田隼, 1.8, 62,   7,  -8,10, 50.0,⑭⑨⑤, 8,12,Ｈヤマカツティラノ, 79,田辺裕, 1.7, 72,   9,  -2,14,104.7,⑭⑥⑨
 9,11,Ｏケラマブルｰ, 27,柴田善, 2.0, 43,   4, -16,12,134.2, ⑦⑧, 9, 4,Ｅファンファｰレ, 67,柴山雄, 1.3, 60,   8,  -6, 7, 28.0, ⑧⑦, 9,16,Ｍジャックポット, 63,柴山雄, 1.8, 61,   7,  -9,13, 90.7,⑧⑥⑦, 9, 6,Ｆスギノハルバｰド, 80,内田博, 1.8, 72,   7,   3, 9, 19.6,⑩⑬⑪
10, 2,Ｃヒルプリンセス, 55,蛯名正, 2.2, 39,  -7,  -8, 6, 15.9, ⑬⑭,10,13,Ｆワイエムテイラｰ, 66,丸田恭, 1.3, 63,* 14, -11, 4,  5.9, ③③,10,13,Ｅディアポジション, 70,勝浦正, 2.1, 61,*  8, -14, 6, 21.7,④④④,10, 9,Ｄアルディエス, 81,戸崎圭, 2.2, 70,   7,   0, 5, 12.6,⑬⑭⑫
11, 9,Ｌエクセレントガｰル, 40,丸山元, 2.3, 41,   3, -18, 9, 54.4, ⑤⑦,11, 6,Ｌバｰニングハｰト, 64,津村明, 1.5, 58,  -1,*  2,10, 60.4, ⑯⑯,11, 1,Ｌオｰルデフィｰト, 65,原田和, 2.2, 61,   4,  -8,16,155.8,⑫⑬⑬,11,15,Ｐコウジョウ, 73,江田照, 2.2, 68,*  9,  -8,15,120.4,⑪④⑦
12,13,Ｋポッドウェｰブ, 42,大野拓, 2.4, 39,  -5, -10,13,139.8, ⑫⑫,12,14,Ｎヒカリヴェロニカ, 57,ブノワ, 2.3, 53,   9, -15,14,228.4, ⑨⑬,12, 9,Ｆマイネルパイレｰツ, 70,丹内祐, 2.4, 59,   7, -15, 8, 37.7,⑦⑤⑥,12, 3,Ｋゲルマンシチｰ, 78,ブノワ, 2.2, 70,   7,  -1,11, 33.8,⑥⑫⑩
13,15,Ｎペイシャパンドｰラ, 30,井上敏, 2.5, 39,   2, -19,16,593.1, ⑧⑩,13, 3,Ｋアイティダイヤ, 65,丹内祐, 2.4, 54,* 14, -20, 8, 42.3, ②②,13, 6,Ｎキネオソレイユ, 59,柴田大, 2.5, 61,   7, -14,12, 73.9,⑤⑧⑨,13, 7,Ｉマックスロノ, 79,大野拓, 2.5, 68,   6,   0,13, 95.0,⑫⑮⑮
14,16,Ｉラプンツェルダンス, 47,石川裕, 2.6, 36,  -2, -16,10, 66.2, ⑪⑪,14, 7,Ｇメニアオバ, 66,杉原誠, 2.5, 48,   8, -15,13, 96.5, ⑪⑫,14,11,Ｏニシノソラカラ, 59,石川裕, 3.1, 55,*  8, -23,14,133.0,②②②,14, 2,Ｇアムｰルスキｰ, 80,柴山雄, 3.5, 61,   9, -15,10, 25.2,③⑦⑭
15, 3,Ｍオｰゴンカガヤキ, 39,柴山雄, 3.6, 30, -21,  -6,14,271.0, ⑮⑮,15,10,Ｏバシニアティヴ, 55,嘉藤貴, 2.7, 50,   8, -17,16,356.6, ⑫⑮,15, 2,Ｄディアイッセイ, 70,武士沢, 3.1, 54,   3, -14,15,137.9,⑮⑮⑮,15, 5,Ｍワｰルドレｰヴ, 76,蛯名正, 6.3, 51,   8, -36, 7, 16.9,⑨⑪⑬
16, 1,Ｐメリケンガｰル, 16,伴啓太, 4.9,  3, -25, -15,15,294.1, ⑯⑯,16,12,Ｐトラヒメ, 42,石川裕, 4.3, 37,  12, -35,15,281.2, ⑥⑨,16, 4,Ｉソｰドラック, 70,丸山元, 4.1, 50,   7, -27, 4,  7.3,⑥⑦⑫,16, 8,Ｏスズカホｰプ, 74,井上敏, 8.1, 44, -12,   7,16,343.3,⑯⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:+8 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:2),,,,,,,,,,,
単勝:190円 複勝:06=110円 12=200円 08=170円 枠連:940円,,,,,,,,,,,,"単勝:1,030円 複勝:05=250円 15=150円 01=130円 枠連:1,560円",,,,,,,,,,,,"単勝:520円 複勝:07=180円 12=170円 14=220円 枠連:1,320円",,,,,,,,,,,,"単勝:320円 複勝:01=140円 11=290円 10=200円 枠連:1,800円",,,,,,,,,,,
馬連:910円 ワイド:06-12=360円 06-08=310円 08-12=940円,,,,,,,,,,,,"馬連:2,150円 ワイド:05-15=660円 01-05=550円 01-15=380円",,,,,,,,,,,,"馬連:1,160円 ワイド:07-12=440円 07-14=770円 12-14=630円",,,,,,,,,,,,"馬連:2,000円 ワイド:01-11=760円 01-10=440円 10-11=1,070円",,,,,,,,,,,
"馬単:1,290円 3連複:2,140円 3連単:8,450円",,,,,,,,,,,,"馬単:5,230円 3連複:2,280円 3連単:20,180円",,,,,,,,,,,,"馬単:2,350円 3連複:3,080円 3連単:13,130円",,,,,,,,,,,,"馬単:3,330円 3連複:3,630円 3連単:17,160円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 5R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 8R  芝3200m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1800m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,中山新春ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,招福ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｈキングデュナミス, 45,田辺裕,, 48,*  6, -18, 6, 12.8,①①①, 1, 5,Ｅプレイヤｰハウス, 54,村田一,, 59,  -2,*  0, 2,  3.2,⑮⑪⑦, 1, 6, ウォンテッド,,高田潤,,,,, 8, 31.5,⑨⑦⑦, 1,14,Ｈストロングサウザｰ, 84,田辺裕,, 83,   7,  18, 3,  5.5,⑥⑧⑦
 2,12,Ａテイケイネクサス, 60,黛弘人, 0.0, 51,   2,*-11, 3,  4.4,⑪⑦⑥, 2,12,Ａメイアルｰア, 62,北村宏, 0.2, 59,  -2,* -2, 1,  3.1,⑧⑧⑪, 2,12, アップトゥデイト,,林満明,215.6,,,, 1,  1.7,⑤④③, 2, 5,Ａマイネルバウンス, 90,丹内祐, 0.0, 83,   7,* 19, 1,  3.6,⑫⑥④
 3,11,Ｐマｰブルヒル, 31,田中勝, 0.1, 48,*  5, -19, 2,  4.0,②②②, 3, 2,Ｃミュゼダルタニアン, 54,柴山雄, 0.2, 56,*  0, -11, 3,  4.7,②②②, 3, 1, テンジンキヨモリ,,石神深,215.7,,,, 3,  8.2,⑥⑤⑤, 3,10,Ｉベルウッドテラス, 84,柴山雄, 0.1, 81,   5,* 21, 5, 12.4,⑬⑭⑭
 4, 6,Ｄイシドｰルス, 49,三浦皇, 0.2, 48,   1,*-10, 5, 11.7,⑩⑧⑧, 4,10,Ｊディアエスタｰド, 46,後藤浩, 0.5, 51,  -2,  -9, 4,  7.3,⑩⑦④, 4,13, ショウナンカミング,,横山義,215.8,,,, 5, 13.8,③③②, 4, 3,Ｍバｰディｰイｰグル, 81,北村宏, 0.2, 83,   7,  16, 2,  4.6,⑧⑦⑧
 5, 3,Ｂロマンホｰプ, 56,柴田善, 0.3, 45,   0,* -7, 7, 23.4,⑭⑬⑩, 5,13,Ｇシｰレッド, 50,ベリｰ, 0.5, 55,  -3,* -3, 6, 16.1,⑭⑭⑨, 5,11, ファイヤｰ,,森一馬,217.6,,,, 2,  5.2,⑬⑫⑩, 5,12,Ｃタナトス, 87,柴田善, 0.3, 78,   8,  14, 6, 12.7,④④⑥
 6,16,Ｃドラゴンブルｰス, 49,戸崎圭, 0.6, 43,   4, -19, 1,  3.0,⑨⑤④, 6, 7,Ｎトランスオｰシャン, 38,柴田大, 0.6, 54,  -2,  -9, 9, 43.5,⑯⑫⑩, 6, 2, ドリｰムハヤテ,,小坂忠,217.8,,,, 6, 24.2,①①①, 6, 9,Ｐテンペル, 77,横山和, 0.5, 83,   6,  16,12, 53.9,⑭⑫⑫
 7, 4,Ｅコスモデント, 46,柴田大, 0.8, 44,   3, -21,11, 84.7,④④⑤, 7, 4,Ｂマウントミッチェル, 60,伊藤工, 0.6, 53,* -1, -12, 5, 14.4,④④⑤, 7, 8, カントリｰスノｰ,,原田和,218.2,,,,11, 82.0,⑧⑥⑥, 7, 4,Ｂオメガスカイツリｰ, 87,江田照, 0.7, 79,   3,* 19, 8, 18.3,⑮⑮⑮
 8,15,Ｌツクバグランディｰ, 42,勝浦正, 0.9, 42,  -1, -13,15,447.6,⑫⑫⑨, 8,15,Ｆキｰフォｰサクセス, 50,内田博, 0.8, 51,* -1, -17, 7, 18.3,③③③, 8, 3, エイブルブラッド,,五十嵐,218.8,,,, 4,  9.0,⑫⑧⑧, 8,13,Ｄアドマイヤジャコモ, 87,蛯名正, 0.7, 78,*  8,   9,10, 18.8,③③③
 9, 8,Ｋクインズエキシｰト, 43,吉田豊, 1.0, 39,   2, -19, 4,  6.7,⑦⑥⑦, 9,14,Ｋクピド, 46,小野寺, 1.1, 48,  -2, -15,15,337.8,⑨⑩⑧, 9, 5, リキアイクロフネ,,金子光,218.9,,,, 7, 25.9,⑪⑪⑨, 9, 6,Ｆセイカフォルテ, 86,石橋脩, 0.9, 77,   5,  14,15,141.4,⑨⑬⑬
