15年 3月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月 1日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  芝2000m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝2600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,呼子特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａココ, 60,小崎綾,, 67,*  3,*  3, 1,  1.7,①①①, 1, 1,Ｂアプリコットベリｰ, 62,松若風,, 64,   6,*-13, 3,  5.7,④④③, 1, 2,Ｊザトゥルｰエアｰ, 65,田中博,, 76,* 10,* -4, 9, 36.8,③④③, 1, 3,Ａラルプデュエズ, 78,小崎綾,, 80,*  3,* 19, 1,  2.4,③③④
 2, 3,Ｇクインズアベンチャ, 52,黛弘人, 1.3, 60,   1,  -5,11, 49.2,③③②, 2,12,Ｄアドマイヤロケット, 57,藤岡康, 0.3, 59,   4,*-16, 1,  2.8,⑧⑧⑥, 2, 3,Ｉエアピザレｰ, 66,藤岡康, 0.3, 73,*  9,* -8, 4,  6.0,⑥⑤⑤, 2, 1,Ｂインプレショニスト, 77,バルジ, 0.6, 74,*  4,  10, 2,  4.5,④④③
 3, 1,Ｈジェルヴェｰズ, 46,川須栄, 1.4, 59,  -1,  -3, 2,  5.0,⑧⑥⑥, 3,14,Ｉメイショウワゴコロ, 45,岩崎翼, 0.6, 55,*  8, -28,14,129.5,⑭②②, 3,12,Ａダノンロンシャン, 77,小崎綾, 0.5, 68,* 11, -16, 1,  3.9,②②①, 3, 9,Ｆワンダフルワｰルド, 68,藤岡康, 0.6, 73,*  3,   8, 4,  6.5,①①①
 4, 4,Ｃエナジャイズ, 58,津村明, 1.5, 57,  -1,  -4, 9, 48.6,⑪⑨⑤, 4, 2,Ｅベルメｰル, 57,勝浦正, 1.2, 49,*  8, -37, 6, 11.0,①①①, 4, 1,Ｄセイクリッドロｰド, 73,勝浦正, 0.9, 66,   7, -12, 8, 14.6,⑧⑦⑥, 4, 2,Ｇマイネルフレスコ, 64,丸山元, 1.0, 71,   2,  10, 7, 26.6,⑦⑦⑤
 5, 5,Ｊシゲルギオンマツリ, 44,丸山元, 1.8, 56,  -2,  -3, 8, 34.7,⑩⑩⑪, 5, 5,Ｋアドラビリティ, 43,丸山元, 1.3, 47,*  6, -36,12,115.1,②③④, 5,13,Ｃウインインスパイア, 73,丸山元, 1.0, 65,* 10, -19, 3,  5.2,④③④, 5, 4,Ｅスリｰヴェロｰチェ, 71,高倉稜, 1.1, 73,   1,  11, 5,  8.8,⑨⑨⑨
 6,14,Ｄエスティサプライズ, 56,嶋田純, 1.9, 57,  -4,*  1, 7, 34.0,⑫⑫⑫, 6, 4,Ａエメラルドビｰム, 63,津村明, 1.5, 46,   1, -29, 2,  5.0,⑬⑨⑧, 6, 8,Ｍレッドムｰヴ, 60,丸田恭, 1.2, 64,   3,* -6,12,107.5,⑭⑬⑧, 6, 8,Ｈミッキｰピオｰネ, 63,川須栄, 1.3, 66,*  3,  -1, 8, 41.4,②②②
 7, 2,Ｅアラビアンハｰト, 56,西田雄, 2.1, 55,   1, -11, 6, 26.2,⑤④④, 7,16,Ｐキクノラッキｰ, 13,西田雄, 1.9, 45,  -8,*-13,15,193.7,⑮⑯⑮, 7, 7,Ｇグランスエルテ, 68,松若風, 1.2, 63,* 11, -26, 7, 13.4,①①②, 7, 6,Ｃマイネルアクロス, 75,丹内祐, 1.4, 67,*  4,   2, 3,  5.1,⑤⑥⑥
 8,10,Ｆマラカイトスタｰ, 53,松田大, 2.2, 53,  -1, -10, 5, 14.1,⑦⑧⑦, 8, 8,Ｏスズカマドンナ, 38,松田大, 1.9, 44,   4, -39, 8, 16.6,⑤⑦⑦, 8, 5,Ｎマイネルゼｰラフ, 59,黛弘人, 1.9, 58,   5, -22,13,124.5,⑩⑨⑦, 8, 7,Ｄチェイスザゴｰルド, 72,松山弘, 2.0, 63,   2,  -4, 6, 12.4,⑧⑧⑧
