15年 5月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 5月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  芝1600m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1200m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,葵ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｌエニシイチダイ, 44,小牧太,, 62,*  2,  -7, 5,  7.8,①①①, 1,10,Ｄロイヤルストリｰト, 57,藤岡佑,, 62,  -3,  -3, 1,  2.2, ④②, 1, 1,Ｈエンジェヌｰ, 67,酒井学,, 70,*  4,   5, 7, 16.3, ②②, 1, 5,Ｉジャストドゥイング, 66,岩崎翼,, 74,   2,*  9, 8, 23.0, ⑥⑥
 2, 3,Ｂカラｰラビアンコ, 63,北村友, 0.0, 61,   0,* -4, 3,  6.7,⑦⑤⑤, 2, 1,Ｃノスタルジｰ, 58,小牧太, 0.3, 57,* -1, -13, 2,  3.8, ①①, 2, 5,Ｂウォｰタｰショパン, 73,菱田裕, 0.2, 68,  -2,*  9, 1,  3.5, ⑧⑧, 2, 4,Ｈフィドゥｰシア, 69,菱田裕, 0.2, 72,   5,   4, 4,  7.6, ③④
 3, 1,Ａクラウドサｰファｰ, 63,加藤祥, 0.0, 62,*  1,* -5, 4,  7.7,④④④, 3,14,Ａアグネスエンジェル, 61,藤田伸, 0.3, 59,  -6,  -2, 4,  9.3, ⑩⑧, 3, 9,Ｄメイショウカフウ, 72,幸英明, 0.3, 67,  -5,* 11, 4,  7.7, ⑫⑫, 3, 2,Ｅマジックシャトル, 71,池添謙, 0.3, 70,*  8,   0,10, 35.1, ②②
 4, 2,Ｄワｰルドレジェンド, 60,幸英明, 0.1, 61,*  1,  -6, 1,  2.9,②②②, 4,11,Ｇリプカ, 52,加藤祥, 0.4, 59,  -4,  -6,12,110.0, ⑥⑦, 4,15,Ｐワイエムテイラｰ, 51,太宰啓, 0.5, 65,*  4,  -1,15,129.9, ①①, 4, 7,Ｇスノｰエンジェル, 69,藤岡佑, 0.3, 71,  -1,* 10, 6, 15.7, ⑩⑩
 5,10,Ｈツジサンダバｰド, 54,菱田裕, 0.5, 60,   0,* -5, 6, 15.2,⑩⑧⑦, 5,18,Ｈパンドラズホｰプ, 52,四位洋, 0.4, 58,  -4,  -8, 5, 13.4, ⑤⑤, 5,12,Ａアドマイヤスパｰズ, 76,北村友, 0.6, 64,   0,   3, 2,  4.2, ⑥⑤, 5, 9,Ｊゴｰルドペガサス, 66,大野拓, 0.4, 70,  -4,* 11,11, 35.7, ⑫⑬
 6,11,Ｅナムラジョフレ, 59,岩崎翼, 0.9, 57,   0,  -9, 7, 19.9,⑥⑦⑧, 6,12,Ｂブリｰズベイ, 59,北村友, 0.4, 58,  -8,  -2, 3,  7.0, ⑨⑩, 6,16,Ｉテイエムシシオｰ, 67,藤田伸, 0.6, 65,*  3,   0,10, 32.0, ③③, 6, 1,Ａブラッククロｰバｰ, 80,太宰啓, 0.6, 67,   4,   0, 2,  4.2, ⑤③
 7, 8,Ｃメイショウブユウ, 63,池添謙, 1.1, 54,   0, -13, 2,  3.0,⑤⑥⑥, 7, 5,Ｅエアルナ, 54,幸英明, 0.5, 62, -12,*  6, 7, 18.1, ⑮⑭, 7, 8,Ｅサクラヴァロｰレ, 71,藤岡佑, 0.7, 61,  -2,   4, 5, 10.2, ⑦⑦, 7, 8,Ｄスマｰトグレイス, 71,小牧太, 0.6, 67,   4,   0, 3,  6.4, ④⑤
 8, 4,Ｊセイマイスタｰ, 49,酒井学, 1.2, 54,*  1, -15,11,151.4,③③③, 8,16,Ｊラトｰヌジョア, 49,岩崎翼, 0.6, 56, -12,*  2,11,103.9, ⑭⑮, 8, 3,Ｎビットアリエス, 62,小牧太, 0.8, 63,  -4,   6,12, 68.9, ⑩⑩, 8,11,Ｂムｰンエクスプレス, 73,松山弘, 0.7, 67,  -1,   5, 1,  3.0, ⑪⑪
