15年 8月30日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 8月30日 札幌,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1000m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 7R  ダ1700m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015ﾜｰﾙﾄﾞｵｰﾙｽﾀｰｼﾞｮｯｷｰｽﾞ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ｂスティルプリンス, 51,三浦皇,, 48,* -7,   1, 2,  4.3, ①①, 1,13,Ｆマラカイトスタｰ, 61,三浦皇,, 64,*  4,  -4, 4,  7.4,②①①, 1, 4,Ｅディｰエスコマンド, 70,三浦皇,, 74,   4,*  9, 5, 19.8,⑧⑥④, 1,12,Ｂブラヴィッシモ, 76,モレイ,, 73,  -7,* 10, 1,  1.9, ⑧⑧
 2,12,Ｆエクラパｰル, 42,井上敏, 0.0, 48,* -8,*  2, 9, 87.2, ③③, 2,10,Ａパンデイア, 68,モレイ, 0.2, 64,   2,  -1, 1,  2.4,⑤③②, 2,13,Ｃカレンマタドｰル, 73,モレイ, 0.1, 73,*  6,*  5, 2,  3.4,②②②, 2, 2,Ｈフェアラフィネ, 67,武豊  , 0.0, 73,  -2,   6, 4,  8.1, ④④
 3, 6,Ａサウンドダンサｰ, 53,武豊  , 0.0, 48,* -7,   2, 1,  2.7, ②②, 3,12,Ｄイロジカケ, 63,柴山雄, 0.4, 61,  -1,*  2, 6, 15.1,⑨⑥④, 3,10,Ｂクロフネフリｰト, 75,武豊  , 0.7, 69,*  5,   1, 1,  2.1,⑥④③, 3, 8,Ｄタカラジェニファ, 73,戸崎圭, 0.1, 71,  -4,   6, 2,  6.4, ⑤⑤
 4, 4,Ｊコパノリスボン, 32,戸崎圭, 0.1, 46, -11,*  3, 4,  7.2, ⑤④, 4, 9,Ｃスナｰクソフィア, 63,加藤祥, 0.4, 63,  -2,*  4, 9, 44.3,⑧⑧⑦, 4,12,Ａピアシングステア, 80,横山和, 0.7, 71,   3,   4, 3,  4.2,⑫⑨⑪, 4,10,Ａエビスグレイト, 79,デムｰ, 0.1, 73, -13,* 15, 7, 13.7, ⑬⑩
 5, 7,Ｄデルマジロキチ, 47,横山和, 0.9, 39, -13,  -3, 5,  9.4, ⑥⑦, 5, 3,Ｅパルテノン, 61,福永祐, 0.6, 62,   0,   0, 3,  7.3,⑦⑤③, 5, 6,Ｌアイスブレイク, 62,横山典, 0.9, 65,*  6,  -2, 4, 13.5,①①①, 5, 6,Ｇダイワインスパイア, 69,ジャル, 0.2, 70,*  0,   1, 8, 46.6, ②②
 6, 1,Ｌラキラキガｰル,  4,嶋田純, 1.0, 37, -21,   2,11,149.6, ⑫⑪, 6,11,Ｈタマモラララ, 53,城戸義, 1.2, 57,   2, -11, 5, 14.8,①②⑤, 6, 1,Ｄコスモラヴモア, 73,丹内祐, 1.0, 67,   3,   2, 6, 25.9,⑦⑧⑧, 6, 1,Ｎレヴァンタｰル, 62,ベイズ, 0.4, 69, -10,   9,10, 77.8, ⑩⑪
 7, 8,Ｉヒデサンエｰス, 36,城戸義, 1.1, 37, -16,  -2,12,207.0, ⑨⑨, 7, 7,Ｉアイケｰビュｰティ, 49,荻野琢, 1.6, 54,  -1,  -8,13,311.1,⑥⑦⑥, 7, 8,Ｊアイファｰマグオｰ, 63,藤田伸, 1.2, 66,   1,   3,12,209.4,⑬⑫⑤, 7, 9,Ｃアドマイヤサブリナ, 74,藤田弘, 0.6, 65,* -1,  -3, 3,  7.7, ③③
 8,10,Ｃヨシオ, 50,藤田伸, 1.2, 34, -16,  -4, 6,  9.9, ⑧⑩, 8, 2,Ｋロｰブディアンジェ, 45,井上敏, 2.5, 48,  -4, -10, 8, 25.2,⑪⑩⑨, 8, 7,Ｆクロカミノオトメ, 70,城戸義, 1.3, 66,   5,  -3,11,126.4,⑤⑦⑥, 8, 7,Ｅボブキャット, 72,岩橋勇, 0.6, 64,  -7,   2, 5, 11.1, ⑦⑦
