15年 1月18日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月18日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  ダ1800m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1900m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1400m 3 歳ｵｰﾌﾟﾝ(牝) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,紅梅ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｄアヴェｰヌモン, 62,バルジ,, 70,   3,*  2, 7, 21.6, ③③, 1,13,Ｌリアファル, 60,北村友,, 72,*  3,*  8, 4, 12.6,②②①, 1, 5,Ｃフォントルロイ, 74,福永祐,, 74,   7,* 10, 2,  6.0,⑧⑨⑦, 1, 6,Ｍコンテッサトゥｰレ, 58,デムｰ,, 78,  -2,* 11, 2,  3.2, ⑧⑦
 2, 2,Ｃバリキ, 63,浜中俊, 0.2, 70,   4,*  1, 2,  4.5, ④④, 2,14,Ｆジュンスパｰヒカル, 68,四位洋, 0.4, 76,   2,   7, 5, 13.9,⑧④③, 2, 4,Ｄキｰアシスト, 72,秋山真, 0.0, 71,   9,   5, 6,  8.6,⑤③③, 2, 7,Ｃラッフォルツァｰト, 74,岩田康, 0.0, 77,  -2,* 11, 3,  6.0, ⑤⑨
 3, 8,Ａメイショウボノム, 68,武幸四, 0.6, 66,*  6,  -5, 1,  2.7, ①①, 3,10,Ｋライドオンウインド, 60,古川吉, 0.6, 69,   2,   5, 6, 16.6,④⑥④, 3, 7,Ｂダンツキャッチ, 77,太宰啓, 0.1, 73,   8,*  7, 7, 12.8,⑨⑦④, 3,12,Ｈウインアキレア, 64,池添謙, 0.4, 73,  -3,   9,14,136.1, ⑫⑫
 4, 6,Ｍディプロイディ, 45,高倉稜, 1.1, 60,  -2,  -3,13,198.8, ⑩⑦, 4, 9,Ｄラブミｰクン, 69,幸英明, 0.6, 70,   0,*  9,12, 67.9,⑫⑫⑫, 4, 2,Ｇレッドアライヴ, 65,藤田伸, 0.4, 70,* 11,   0, 5,  7.9,②②②, 4,14,Ｊラホｰヤビｰチ, 63,森一馬, 0.4, 70,*  3,  -1,13, 92.9, ②②
 5,10,Ｋセイウンデライラ, 49,岩田康, 1.1, 58,  -3,  -2, 6, 17.0, ⑪⑩, 5, 8,Ｉグランカマラｰド, 65,藤岡佑, 0.7, 67,   1,   6, 3,  7.4,⑬⑧⑥, 5, 8,Ａダンスｰルクレｰル, 80,岩田康, 0.8, 67,   8,   0, 1,  2.3,③⑥⑤, 5,11,Ｅノｰブルルｰジュ, 69,高倉稜, 0.4, 70,*  6,  -3, 8, 23.1, ①①
 6, 4,Ｇニホンピロヘｰラｰ, 57,酒井学, 1.3, 59,*  4, -10,11, 55.1, ②②, 6, 3,Ｃショコラブラン, 70,福永祐, 0.9, 67,   1,   4, 2,  3.4,⑥⑦⑤, 6, 1,Ｉジリオン, 60,北村友, 0.9, 65,* 11,  -8, 8, 20.4,①①①, 6, 8,Ａクロｰソｰ, 87,秋山真, 0.4, 72,   3,   3, 4,  9.2, ⑥④
 7,11,Ｈキャロライン, 55,中谷雄, 1.5, 55,  -1,  -7,12,172.8, ⑦⑧, 7, 5,Ｂナムラカモン, 70,太宰啓, 1.1, 67,   0,   4,10, 45.3,⑪⑩⑩, 7, 9,Ｅモズスタｰ, 68,国分優, 2.1, 58,   9, -13, 4,  7.4,⑥④⑥, 7,13,Ｄジルダ, 72,四位洋, 0.5, 71,   2,   1, 6, 17.9, ⑦⑥
 8, 7,Ｌハイイノベｰション, 49,太宰啓, 1.7, 53,  -5,  -4,14,281.2, ⑭⑫, 8, 1,Ａトｰセンマリオン, 73,菅原隆, 1.3, 65,   1,   1, 9, 41.1,⑨⑨⑨, 8, 6,Ｈゴットロブロイ, 60,古川吉, 2.7, 55,   7, -15, 3,  7.3,④⑧⑧, 8, 5,Ｇエリｰティアラ, 67,津村明, 0.6, 70,  -3,   6,11, 64.7, ⑪⑪
