15年 5月17日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 5月17日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝2890m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,はやぶさ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ｄピアレスピンク, 60,松若風,, 60,*  7,  -8, 1,  3.7,①①①, 1,12, トミケンパシエンテ,,金子光,,,,, 3,  5.3,⑤④④, 1, 8,Ｂヤマニンブルジョン, 72,田中健,, 71,   8,*  1, 3,  6.8, ⑦⑥, 1,14,Ｐラブロｰレル, 50,中井裕,, 65,  -4,* -2,11, 35.1,   
 2, 3,Ｆメイショウナゴミ, 55,古川吉, 0.0, 60,*  6,* -5, 2,  5.5,③③③, 2, 4, ディｰプスノｰ,,江田勇,194.0,,,, 5, 12.9,⑦⑦⑦, 2, 9,Ａミキノグランプリ, 76,津村明, 0.1, 72,* 13,  -4, 1,  2.4, ②②, 2,16,Ｏシングンパワｰ, 51,長岡禎, 0.2, 60,  -7,  -4,10, 31.0,   
 3,15,Ａガｰルズルｰル, 66,田中健, 0.4, 58,   5,  -6, 3,  5.7,⑥⑤⑤, 3, 1, ウルトラサウンド,,浜野谷,194.0,,,, 8, 21.6,①①①, 3, 4,Ｃサンレイクウッド, 71,井上敏, 0.3, 70,* 13,  -6, 2,  5.8, ①①, 3,15,Ｃリタｰンストロｰク, 64,川須栄, 0.3, 58,  -9,  -5, 1,  3.6,   
 4,13,Ｇテップシｰ, 54,丸山元, 0.9, 55,   2,* -5, 7, 11.5,⑬⑪⑨, 4,14, アラビアンドラゴン,,平沢健,194.1,,,, 6, 14.8,⑩⑥⑥, 4,15,Ｉレガリテｰト, 66,高倉稜, 0.3, 71,* 11,  -4, 6, 10.3, ③④, 4, 8,Ｌニホンピロヘｰラｰ, 55,藤懸貴, 0.4, 56,*  1, -13, 6, 12.4,   
 5, 1,Ｅシゲルオカメマツリ, 56,松田大, 1.0, 55,   0,* -3, 8, 27.9,⑫⑬⑫, 5, 2, コスモカンタｰビレ,,草野太,194.2,,,, 1,  3.2,⑥③②, 5, 6,Ｍナムラケンシロウ, 63,古川吉, 0.6, 67,  10,  -6,10, 45.3, ⑤③, 5, 7,Ｅメランコリア, 62,丸山元, 0.4, 56,  -5,  -9, 7, 17.5,   
 6, 4,Ｂスノｰグｰス, 61,吉田隼, 1.4, 51,   4, -12, 6,  9.0,⑩⑧⑧, 6,11, テｰオｰレジェンド,,西谷誠,194.8,,,, 2,  3.4,③⑤⑤, 6, 2,Ｅディｰプミタカ, 71,松若風, 0.8, 63,   3,* -1, 4,  7.1, ⑬⑭, 6, 5,Ａアズマクィｰン, 66,高倉稜, 0.5, 55,  -5, -10, 2,  4.4,   
 7, 7,Ｊメイショウミソラ, 50,高倉稜, 1.4, 53,   4, -12, 5,  8.8,⑧⑦⑦, 7, 8, サンマルスピリット,,上野翔,195.0,,,, 9, 30.8,②②③, 7,12,Ｎビｰチドラゴン, 62,伊藤工, 0.9, 61,   6,  -5, 9, 42.3, ⑧⑩, 7,13,Ｂサンクタリリアス, 64,木幡初, 0.5, 55, -15,* -3, 5, 11.7,   
 8, 6,Ｌラブエンジェル, 48,木幡初, 1.5, 50,   4, -14,10, 39.0,⑤⑥⑥, 8, 3, カワキタバルク,,小野寺,196.0,,,,13,138.1,⑨⑨⑨, 8, 1,Ｌオリエンタルエジル, 64,野中悠, 1.0, 60,   5,  -5,14,170.2, ⑨⑧, 8, 4,Ｈトラストレイカ, 61,黛弘人, 0.6, 55, -15,  -4,13, 63.5,   
