15年 9月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 9月26日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:13,,,,,■ 7R  ダ1400m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,夕月特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｂケイティブレイブ, 60,国分優,, 61,*  9,*-14, 2,  2.8,⑧①①, 1,15,Ｃティｰエスバラ, 64,義英真,, 71,  10,  -1, 3,  6.6, ④④, 1,16,Ｂテｰオｰヘリオス, 79,浜中俊,, 85,* 10,* 10, 2,  4.2, ②②, 1,11,Ｎアスカビレン, 71,浜中俊,, 88,   0,* 17, 4, 13.1, ③③
 2, 6,Ｄカフジプリンス, 50,岩田康, 0.9, 56,   6, -16, 4, 12.9,⑪⑥③, 2,10,Ｉメイショウアバラガ, 59,岩田康, 0.2, 68,   9,  -2, 6, 13.1, ⑥⑥, 2, 5,Ａエイシンラナウェｰ, 81,デムｰ, 1.0, 76,   6,*  8, 1,  2.3, ⑦⑥, 2, 2,Ｊレネットグルｰヴ, 74,松山弘, 0.3, 88,  -1,* 16,14, 81.5, ④④
 3,10,Ｅウインランブル, 45,松山弘, 1.4, 55,   4, -16, 7, 21.2,⑩⑨⑤, 3, 3,Ｄティｰエスナイン, 63,幸英明, 0.9, 66,* 14, -12, 7, 15.2, ①①, 3, 1,Ｅパッシングブリｰズ, 75,四位洋, 1.2, 75,   4,*  8, 6, 15.2, ⑭⑩, 3,15,Ｐハピネスダンサｰ, 71,ルメｰ, 0.4, 80,*  3,   5, 2,  8.4, ②②
 4, 1,Ａグランノｰブル, 61,鮫島克, 3.6, 40,   5, -37, 3, 10.2,④④⑥, 4,12,Ｍメイショウワカアユ, 51,武豊  , 0.9, 60,   1,   0,11, 25.6, ⑬⑫, 4, 3,Ｃエｰシンサファイア, 77,岩田康, 1.4, 72,   5,   3, 5, 14.6, ⑩③, 4,14,Ｇレｰヴデトワｰル, 75,川田将, 0.5, 85,  -2,* 16, 6, 22.0, ⑦⑦
 5, 2,Ｊセカンドエフォｰト, 30,福永祐, 3.7, 39,*  7, -42, 1,  2.0,②③②, 5, 9,Ｂグレｰトブレス, 65,川田将, 0.9, 64,* 11, -11, 4,  7.8, ③③, 5,10,Ｌチュウワワンダｰ, 69,川島信, 1.7, 69,   3,   4,14,236.8, ⑬⑭, 5, 1,Ｅオｰキッドレイ, 77,福永祐, 0.6, 82,  -1,  13,10, 34.0, ⑥⑥
 6, 8,Ｉミヤジスウィング, 36,和田竜, 3.9, 39,   1, -32, 9, 55.7,⑥⑦⑩, 6,13,Ｅクランデｰル, 61,北村友, 0.9, 60,   1,   0,13, 37.4, ⑫⑬, 6, 7,Ｇドラグｰン, 73,福永祐, 1.7, 71,   8,  -2, 4, 11.4, ⑤⑤, 6, 6,Ｈレッドオｰラム, 75,小牧太, 0.6, 84,  -2,* 15, 7, 23.9, ⑧⑧
 7, 3,Ｋスリｰハｰツクライ, 28,古川吉, 4.0, 37,   1, -32, 8, 31.5,⑨⑩⑧, 7, 7,Ｊタイセイメテオ, 57,小牧太, 1.0, 61,   5,  -5, 5,  9.3, ⑧⑧, 7,15,Ｍアスタキサンチン, 68,川田将, 2.0, 69,   7,  -3, 8, 22.0, ⑥⑦, 7,10,Ｑメイショウナゴミ, 67,武豊  , 0.8, 75,*  5,  -2,15, 84.3, ①①
 8, 9,Ｇコスモカット, 38,高倉稜, 4.1, 40,   3, -36,11,193.8,⑦⑧⑨, 8,16,Ｇサンライズシｰズン, 60,城戸義, 1.0, 62,   7,  -7, 9, 21.1, ⑦⑦, 8, 2,Ｉコピｰライタｰ, 70,小坂忠, 2.0, 68,   5,  -2,15,273.2, ⑧⑨, 8,13,Ｆゴｰルドテｰラｰ, 76,幸英明, 1.0, 78,   1,   4, 3, 10.3, ⑤⑤
