15年10月31日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月31日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2750m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1150m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝2600m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,磐梯山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ａコｰジェント, 57,丸山元,, 55,*  3,   0, 2,  3.5, ①①, 1,11, ドリｰムハヤテ,,熊沢重,,,,,11, 43.6,①①①, 1, 9,Ａクレアドｰル, 75,鮫島克,, 66,   2,*  6, 1,  2.1, ⑦⑥, 1,11,Ｃテンカイチ, 73,大庭和,, 72,*  9,   2,10, 59.4,④④④
 2, 4,Ｈタマモシルクハット, 40,横山和, 0.1, 55,*  2,*  1, 4, 17.0, ②②, 2, 2, シャドウカラｰズ,,山本康,178.4,,,, 6, 10.8,④②②, 2, 2,Ｅナミノリゴリラ, 66,伴啓太, 0.3, 69,* 10,  -3, 2,  4.7, ①①, 2, 2,Ｈマイネルカレッツァ, 67,石橋脩, 0.1, 69,*  8,  -3, 4,  5.5,②②②
 3,12,Ｅジｰクイｰン, 47,加藤祥, 0.5, 51,*  2,  -4, 3,  4.5, ③③, 3, 3, トｰセンハナミズキ,,小野寺,178.6,,,, 5,  9.1,⑨⑧⑧, 3,11,Ｆキャメロンロｰド, 65,丸田恭, 0.5, 62,   2,   3, 9, 56.0, ⑨⑧, 3, 5,Ｇマスタｰプラマｰ, 67,井上敏, 0.2, 70,   6,*  8, 7, 18.9,⑧⑧⑧
 4,13,Ｃシゲルノコギリザメ, 50,義英真, 0.7, 48,  -8,*  4, 5, 24.7, ⑪⑪, 4,13, アドマイヤタイシ,,北沢伸,178.9,,,, 2,  4.8,⑧⑩⑩, 4, 1,Ｌナウシカ, 53,城戸義, 0.8, 60,  -4,*  6,12,116.8, ⑫⑪, 4, 9,Ｄマイネルヴェルス, 72,丹内祐, 0.2, 68,*  8,  -1, 1,  3.7,③③③
 5, 1,Ｂビップフウマ, 55,古川吉, 1.0, 46,  -1,  -4, 1,  2.2, ⑥④, 5, 7, ワｰルドマッチ,,林満明,179.2,,,, 7, 11.3,②⑥⑤, 5,12,Ｂエンジェルビｰツ, 70,石橋脩, 0.8, 61,   4,  -1, 4,  6.1, ⑧⑦, 5, 6,Ａクインズストｰム, 78,津村明, 0.2, 69,   7,*  5, 3,  4.6,⑦⑦⑦
 6, 8,Ｆウインプリマ, 43,井上敏, 1.0, 45,  -5,  -2, 7, 32.0, ⑦⑧, 6, 1, タニノタキシｰド,,小坂忠,179.6,,,, 4,  8.6,③⑤③, 6, 5,Ｇアイネクライネ, 63,中井裕, 1.0, 58,   0,   0,11, 70.1, ⑩⑩, 6, 4,Ｆアドマイヤロワ, 71,丸山元, 0.4, 68,   6,*  5, 5,  9.8,⑩⑩⑩
 7, 2,Ｇデビルウイング, 42,津村明, 1.1, 44,  -6,  -2, 6, 27.6, ⑧⑦, 7,12, カシノデュｰク,,蓑島靖,179.8,,,,12,117.3,⑦⑨⑨, 7, 8,Ｊウェディングラン, 61,義英真, 1.1, 56,  -2,   1,10, 63.3, ⑪⑫, 7,10,Ｂゴｰジャスガｰル, 75,丸田恭, 0.5, 66,   7,  -1, 2,  4.1,⑥⑥⑤
 8,11,Ｄアテスト, 50,藤懸貴, 1.3, 43,  -8,  -2, 8, 33.2, ⑩⑩, 8, 8, プレミアムウォｰズ,,石神深,180.0,,,, 8, 18.9,⑥④⑥, 8, 4,Ｄヤマニンアタシャン, 67,木幡初, 1.5, 58,   9, -11, 3,  5.7, ④③, 8, 1,Ｋアルマセクレタ, 62,吉田隼, 0.6, 66,   5,   3, 9, 40.5,⑨⑨⑨
 9, 7,Ｌフレアグラス, 33,嶋田純, 1.4, 42,   0,  -9,11, 65.2, ④⑤, 9, 4, マイネルピクトル,,五十嵐,180.0,,,, 1,  2.9,⑤③④, 9, 7,Ｃキｰスカｰフ, 67,津村明, 1.7, 52,   5, -10, 5, 11.0, ⑥⑤, 9, 3,Ｉシグナルアロｰ, 65,嶋田純, 0.6, 66,   4,*  5, 8, 21.2,⑪⑪⑪
10, 3,Ｊタニガワ, 35,二本柳, 1.6, 40,  -9,  -3,15,111.8, ⑨⑨,10,10, ブライトボｰイ,,草野太,180.5,,,, 3,  6.4,⑩⑦⑦,10, 3,Ｉキクノアリア, 61,井上敏, 1.7, 54,   8, -13, 8, 55.3, ③④,10,12,Ｅアワフレイム, 72,横山和, 0.8, 63,   7,  -7, 6, 12.4,⑤⑤⑥
11,16,Ｉヒデサンエｰス, 36,城戸義, 1.6, 41, -10,  -2,10, 50.8, ⑫⑬,11, 5, ドクタｰルキア,,大江原,180.7,,,, 9, 37.9,⑪⑪⑪,11,10,Ｋダイワコンシｰド, 57,川須栄, 1.8, 56,* 10, -16, 6, 23.8, ②②,11, 8,Ｊフォワｰドカｰル, 63,川須栄, 1.1, 60,* 10, -19,11, 60.5,①①①
