15年 8月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 8月23日 小倉,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝1200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  ダ1000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,西部ｽﾎﾟﾆﾁ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｄゼットフｰリ, 43,松山弘,, 50,  -9,*  1, 1,  3.5, ⑦⑦, 1,10,Ａジェントルヴァウ, 62,浜中俊,, 66,  -1,*  4, 1,  2.5, ⑤④, 1, 6,Ｃエピックウィン, 62,和田竜,, 64,* -1,   3, 2,  5.1, ①①, 1,11,Ｄトｰセンビクトリｰ, 74,武豊  ,, 80,   1,* 12, 1,  2.5,④⑤⑤
 2,16,Ｈアリッサム, 35,武豊  , 0.1, 48,  -5,  -4, 4,  5.9, ⑥⑥, 2, 2,Ｊティｰエスナイン, 52,幸英明, 0.3, 64,*  5,  -5, 6, 14.8, ①①, 2,12,Ｉメイショウフライキ, 56,武豊  , 0.5, 59,* -2,  -1, 7, 11.9, ②②, 2, 6,Ｂキリシマホｰマ, 77,松山弘, 0.2, 78,*  3,   6, 4,  7.5,⑥③②
 3, 6,Ｂノｰザンメジャｰ, 44,幸英明, 0.2, 48,* -1,  -9, 2,  4.8, ②②, 3, 5,Ｋメイケイヘリオス, 51,和田竜, 0.5, 60,  -5,*  1,13, 66.1, ⑦⑤, 3, 3,Ｅヴェリタスキング, 60,鮫島良, 0.5, 59,  -7,   2, 5,  7.8, ⑥④, 3, 8,Ａサンセットスカイ, 79,浜中俊, 0.3, 78,   0,* 10, 3,  5.2,⑧⑥⑦
 4, 2,Ａキンシロケット, 44,鮫島克, 0.2, 47,  -4,  -7, 5, 10.4, ③③, 4,15,Ｂエイシンパライソ, 62,藤岡康, 0.5, 60,*  2,  -6, 2,  4.7, ②②, 4, 2,Ｆノｰブルコスマｰ, 60,義英真, 0.6, 58,  -6,   0, 8, 17.4, ③③, 4, 3,Ｃブリュネット, 76,幸英明, 0.4, 77,   0,   7, 2,  4.2,⑤⑦⑧
 5, 1,Ｍブリオ, 29,柴田大, 0.3, 46,*  1, -12, 9, 35.1, ①①, 5,17,Ｄキングカｰティス, 58,藤岡佑, 0.5, 61,  -5,*  1, 3,  7.5, ⑨⑪, 5,13,Ｌクランデｰル, 50,北村友, 0.6, 57,  -5,   0,12, 79.9, ⑤⑥, 5,10,Ｆゴットラウディｰ, 73,北村友, 0.6, 71,*  4,  -2, 6, 20.1,①①①
 6,11,Ｉタイセイマライカ, 34,藤岡康, 0.3, 47, -16,*  6,13,124.4, ⑬⑬, 6,13,Ｍレッドシャロｰム, 49,藤懸貴, 0.7, 58,  -7,*  1,15,158.4, ⑪⑬, 6,10,Ｈナリタサウス, 57,藤懸貴, 0.7, 55, -16,*  5,11, 58.6, ⑪⑨, 6, 4,Ｅペプチドアマゾン, 74,藤岡佑, 0.7, 74,  -3,   9, 5,  7.7,⑨⑩⑥
 7, 5,Ｎショｰストｰム, 27,和田竜, 0.3, 46,  -3,  -8, 6, 12.1, ④④, 7, 9,Ｃテイエムマンキチ, 59,松山弘, 0.7, 59,  -6,   0, 5, 10.0, ⑩⑩, 7, 1,Ｇヴェスペルティリオ, 59,幸英明, 0.8, 55, -17,*  5, 9, 22.8, ⑫⑩, 7, 9,Ｋクレスコモア, 70,和田竜, 0.9, 69,   1,  -3, 9, 46.9,③④③
 8,10,Ｃアッフェルリズム, 43,北村友, 0.5, 43, -11,  -3, 3,  5.8, ⑨⑧, 8,12,Ｇパイアタウン, 53,北村友, 0.9, 55, -11,*  2,12, 53.7, ⑮⑮, 8, 4,Ｄナムラスタｰ, 61,松山弘, 0.9, 55, -14,   3, 3,  5.4, ⑨⑧, 8, 2,Ｇウェｰブゴｰルド, 73,鮫島克, 0.9, 72,  -3,   6, 8, 39.7,⑪⑪⑨
 9, 8,Ｇツイセキシャ, 37,松若風, 0.9, 37, -14,  -6, 7, 21.7, ⑩⑨, 9,18,Ｉホｰリｰエンジェル, 52,鮫島克, 0.9, 55,  -1,  -8,10, 40.0, ⑥⑧, 9, 7,Ｂトシザラブリｰ, 67,藤岡康, 1.1, 52,  -8,  -3, 1,  4.6, ⑦⑦, 9, 1,Ｉヒロノプリンス, 72,国分優, 1.2, 66,   0,  -2, 7, 20.4,⑦⑧⑩
10,13,Ｋアテスト, 31,川須栄, 1.0, 36,  -3, -17,11, 73.1, ⑤⑤,10,14,Ｆエイシンバンバ, 54,太宰啓, 0.9, 54,*  0, -10, 9, 33.2, ③⑥,10, 9,Ｊカラフルマｰメイド, 55,浜中俊, 1.2, 50, -17,   2,10, 39.7, ⑬⑪,10,12,Ｈレッドシェリフ, 72,松若風, 1.4, 60,*  3, -11,10, 50.2,②②④
