15年 1月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月17日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  ダ1400m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1800m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,逢坂山特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 7,Ｈマイネルシアトル, 39,幸英明, 3.2, 33,  -1, -14, 5, 25.3,⑪⑪⑨,12,15, イソノプレシャス,---,岡田祥, 3.4, 42, -20,  -2,12,154.6, ⑫⑫,12, 2,Ｎヒラリアス, 58,岡田祥, 1.7, 59,   2,  -3,11, 68.4, ⑬⑬,12, 8,Ｋメロｰト, 72,北村友, 1.5, 59,   3, -16,13,128.3, ⑦⑧
,,,,,,,,,,,,13, 5, リミットレス,---,菱田裕, 3.8, 38, -23,  -2,15,314.6, ⑬⑭,13, 9,Ｅスパイスシャワｰ, 68,中谷雄, 1.9, 57,   6,  -8, 8, 26.2, ⑨⑩,13, 7,Ｃヤマニンガｰゴイル, 77,藤田伸, 2.6, 49,   4, -35,11, 81.1, ⑤⑤
,,,,,,,,,,,,14, 6, シゲルタウエマツリ,---,藤田伸, 4.4, 33, -22,  -8,11,138.6, ⑭⑬,14,10,Ｍムｰンフライト, 59,丸田恭, 2.0, 55,   6,  -9,12, 87.8, ⑧⑨,,,,,,,,,,,,
,,,,,,,,,,,,15, 2, タマモアタック,---,国分恭, 5.7, 23, -30, -10,10,118.7, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+9 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:2),,,,,,,,,,,
"単勝:1,290円 複勝:09=150円 11=100円 04=110円 枠連:390円",,,,,,,,,,,,"単勝:160円 複勝:08=110円 12=430円 04=160円 枠連:2,660円",,,,,,,,,,,,"単勝:1,100円 複勝:12=280円 03=130円 01=160円 枠連:490円",,,,,,,,,,,,"単勝:1,080円 複勝:12=190円 02=110円 09=200円 枠連:480円",,,,,,,,,,,
馬連:660円 ワイド:09-11=240円 04-09=410円 04-11=130円,,,,,,,,,,,,"馬連:3,030円 ワイド:08-12=910円 04-08=230円 04-12=2,260円",,,,,,,,,,,,"馬連:1,550円 ワイド:03-12=630円 01-12=1,000円 01-03=250円",,,,,,,,,,,,"馬連:840円 ワイド:02-12=340円 09-12=1,150円 02-09=350円",,,,,,,,,,,
"馬単:2,350円 3連複:600円 3連単:5,950円",,,,,,,,,,,,"馬単:3,900円 3連複:4,400円 3連単:19,070円",,,,,,,,,,,,"馬単:3,810円 3連複:2,180円 3連単:16,570円",,,,,,,,,,,,"馬単:2,530円 3連複:1,990円 3連単:14,990円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 5R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 8R  ダ1900m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■11R  ダ1400m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,大和ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ａミキノトロンボｰン, 59,デムｰ,, 65,  -2,* 13, 2,  3.3,⑨⑧⑦, 1, 6,Ｈカレンラストショｰ, 55,小牧太,, 69,*  4,* -3, 6, 19.0,①①①, 1, 5,Ｉスワｰヴカイザｰ, 79,小牧太,, 83,*  8,  16, 6, 10.3,①①①, 1,12,Ｊキクノストｰム, 85,国分恭,, 82,  -1,* 19, 9, 23.2, ⑬⑮
 2, 6,Ｆトップディｰヴォ, 53,四位洋, 0.0, 72,  -3,* 15, 1,  2.6,⑫⑩④, 2,12,Ｃウェスタｰルンド, 62,川田将, 0.2, 68,   0,*  1, 1,  2.3,⑥⑥⑤, 2,10,Ａディアブルｰダｰ, 87,幸英明, 0.0, 83,   6,* 18, 1,  2.2,⑤⑤⑤, 2, 3,Ｃロｰブデソワ, 90,デムｰ, 0.0, 81,*  5,  10, 1,  2.9, ②②
 3,10,Ｂヴェリテ, 56,太宰啓, 0.8, 60,*  0,   4, 7, 23.5,⑥②①, 3, 1,Ｅサダムブルｰハワイ, 57,福永祐, 0.3, 64,*  2,* -3, 2,  4.1,④③④, 3,12,Ｂマルケサス, 86,福永祐, 0.0, 85,   6,* 20, 2,  5.2,⑦⑨⑧, 3,16,Ｆエアウルフ, 87,福永祐, 0.0, 82,   0,  17, 5, 10.4, ⑩⑫
 4,13,Ｋテイエムゴｰケツ, 42,丸田恭, 1.6, 52,* -1,  -2, 8, 31.8,⑪⑤②, 4, 8,Ｂヤマカツボｰイ, 62,池添謙, 0.7, 60,*  3, -12, 5, 17.2,②②②, 4, 7,Ｆプリンスダム, 80,川田将, 0.5, 80,*  7,  12, 4,  9.0,③②②, 4,13,Ａジョヴァンニ, 94,藤岡佑, 0.0, 80,   0,  17, 3,  5.3, ⑪⑪
 5, 2,Ｇアングルゴア, 53,田中健, 2.0, 52,  -2,  -3,13,178.7,⑤⑦⑨, 5,15,Ｆアウトゼアｰ, 55,菱田裕, 1.1, 59,  -4,* -2, 7, 44.1,⑮⑭⑭, 5, 2,Ｄショｰグン, 82,四位洋, 0.7, 85,   5,  15, 5,  9.9,⑩⑪⑪, 5,10,Ｇフリｰトストリｰト, 87,岩田康, 0.1, 80,   3,  13, 6, 19.8, ⑥⑥
 6, 8,Ｉストリｰクライト, 43,岩田康, 2.2, 50,  -3,  -5, 3,  6.5,⑦⑨⑧, 6,10,Ａバイザウェイ, 62,岩田康, 1.2, 57,  -2,  -6, 3,  4.4,⑬⑬⑬, 6, 3,Ｌカリスマサンタイム, 75,岡田祥, 0.7, 81,   6,  14,12,359.7,④⑧⑦, 6,14,Ｍゴｰイングパワｰ, 82,和田竜, 0.1, 81,   1,  15,10, 25.7, ⑧⑨
 7, 4,Ｅエイシンカリバｰン, 53,和田竜, 2.2, 51,* -1,  -8, 4,  8.2,②③⑤, 7,14,Ｌウォｰタｰイｰグル, 47,武豊  , 1.4, 54,*  1, -21, 4,  6.7,③④③, 7, 1,Ｅビｰチブレイブ, 81,デムｰ, 0.8, 78,*  7,  10, 3,  6.6,②④④, 7, 4,Ｂサウンドガガ, 90,武豊  , 0.2, 79,   4,  11, 2,  5.2, ③③
