15年 5月 9日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 5月 9日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝2400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝2400m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,緑風ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ｋテイア, 48,江田照,, 62,   3,*  1,15,255.8, ②③, 1, 4,Ｂジェイケイライアン, 62,柴山雄,, 57,  -5,  -8, 5,  9.9,⑤⑤⑥, 1, 4,Ａタイセイグルｰヴィ, 74,戸崎圭,, 72,  -1,* 10, 2,  2.8,⑥⑥⑥, 1, 4,Ｇマリアライト, 82,蛯名正,, 86,  15,* -3, 2,  4.4,⑪⑪⑩
 2,16,Ａトミケンチャダル, 58,三浦皇, 0.3, 58,   1,  -1, 4,  7.9, ⑦⑥, 2,16,Ｄルレイヴ, 59,田中勝, 0.2, 58, -12,*  4, 1,  2.2,⑱⑭⑮, 2, 5,Ｂトルｰクマクト, 74,蛯名正, 0.0, 73,  -1,*  7, 1,  2.5,⑤⑤⑤, 2, 3,Ｌサムソンズプライド, 78,田辺裕, 0.2, 82,* 17, -13, 6, 12.5,③④③
 3, 7,Ｂパンプルムｰス, 56,吉田豊, 0.6, 55,*  4,  -8, 1,  2.3, ①①, 3, 6,Ｈハｰベストソング, 52,嘉藤貴, 0.3, 52,*  0, -21,10, 71.6,②②②, 3, 9,Ｆウマンマミｰア, 67,柴田大, 0.2, 70,*  3,  -5, 5, 11.2,③②②, 3, 1,Ｂマイネルアイザック, 88,柴田大, 0.3, 82,  16, -11, 8, 17.2,⑦⑥④
 4, 9,Ｉアフェクトダンサｰ, 51,柴田善, 0.8, 53,   2,  -7, 8, 29.0, ⑥④, 4,15,Ｌハラペｰニョ, 46,田辺裕, 0.3, 55, -10,* -1, 8, 32.3,⑫⑮⑫, 4, 8,Ｃマクベスバロｰズ, 70,吉田豊, 0.9, 63,   1, -11, 4,  8.6,④④④, 4,14,Ｈアドマイヤケルソ, 82,横山典, 0.3, 79,* 17, -17, 5, 12.4,⑨②②
 5, 3,Ｃラブミラｰボｰド, 56,武士沢, 0.9, 54,  -3,*  0, 5, 10.2, ⑩⑪, 5, 1,Ｃマリｰズラン, 60,蛯名正, 0.3, 54,  -3, -15, 3,  6.2,④④④, 5, 1,Ｄルｰ, 70,江田照, 0.9, 60,*  3, -17, 3,  7.1,①①①, 5,15,Ｄヤマニンボワラクテ, 87,戸崎圭, 0.3, 81,  14,  -7, 1,  2.9,⑬⑫⑪
 6, 5,Ｊウインレナｰタ, 49,柴田大, 0.9, 55,  -2,  -1, 6, 22.7, ⑪⑫, 6,10,Ｍサウスポｰルツアｰ, 45,松岡正, 0.4, 56,  -8,  -6,11,120.0,⑥⑦⑧, 6, 7,Ｈサクラビクトワｰル, 61,北村宏, 0.9, 62,   1, -13, 6, 14.2,②③③, 6, 5,Ｉモビｰル, 80,三浦皇, 0.4, 81,  15, -10, 4,  9.9,⑩⑩⑨
 7,13,Ｏダイワポデスタ, 29,田中勝, 1.1, 51,   1,  -9,13, 57.9, ⑤⑦, 7, 7,Ｉカレイジルベルト, 50,江田照, 0.4, 51, -10,* -4, 7, 24.5,⑩⑨⑩, 7, 2,Ｇスプリングシャトル, 62,村田一, 1.0, 62,  -3,  -3, 9, 81.0,⑧⑦⑦, 7,13,Ｆマイネルジェイド, 82,松岡正, 0.4, 83,  13,* -6,18,162.4,⑫⑭⑬
 8,14,Ｆヘッドドレス, 53,藤岡佑, 1.4, 48,   0,  -8, 2,  4.8, ⑫⑨, 8,17,Ａスタｰキャスト, 62,ルメｰ, 0.6, 50,  -7, -12, 4,  9.1,⑨⑧⑦, 8, 6,Ｉダｰクサイド, 60,嘉藤貴, 1.4, 59,  -3,  -6, 8, 29.8,⑦⑧⑧, 8,16,Ｃカムフィｰ, 88,柴田善, 0.5, 80,  16, -13, 3,  8.2,⑭⑧⑧
