15年 4月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 4月 4日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1400m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾗｼﾞｵ関西賞仲春特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｆメイショウクオン, 55,城戸義,, 60,*  4,  -2, 5, 15.6,②②②, 1,15,Ｅトウカイトレジャｰ, 58,藤岡佑,, 66,* -3,*  5, 5, 13.1,⑬⑥④, 1,14,Ａダテノハクトラ, 77,松若風,, 68,  -3,  12, 1,  2.4, ⑥④, 1, 9,Ｇダイナミックガイ, 76,福永祐,, 76,   3,  13, 7, 12.6, ⑧⑨
 2, 3,Ａクロｰザｰ, 69,福永祐, 0.0, 61,   3,*  3, 3,  4.6,④④④, 2,18,Ｃクリノイｰソｰ, 58,古川吉, 0.2, 69,  -6,* 10, 8, 21.4,⑫⑪⑨, 2,11,Ｅアバンサル, 69,小牧太, 0.1, 68,  -5,* 13, 4,  6.7, ⑨⑦, 2, 2,Ｈステイウェル, 75,デムｰ, 0.0, 76,*  7,   8, 2,  5.7, ③③
 3, 4,Ｄテイエムトラネコ, 61,小崎綾, 0.2, 59,   2,*  2, 6, 18.3,⑤⑧⑥, 3,12,Ｂレッドサバス, 63,福永祐, 0.4, 64,  -4,*  4, 1,  3.3,⑨⑩⑦, 3, 2,Ｈコズミックショア, 67,松山弘, 0.1, 68,  -4,  12, 6, 12.9, ⑦⑧, 3, 4,Ａナオミノユメ, 82,小崎綾, 0.1, 76,  -1,* 17,12, 35.9, ⑫⑫
 4, 8,Ｃシゲルホウネンサイ, 62,デムｰ, 0.3, 57,   1,*  1, 2,  3.0,⑧⑤⑤, 4, 6, サラトガスピリット,---,和田竜, 0.4, 64,  -5,*  2, 2,  4.1,⑤⑧⑥, 4, 8,Ｂヴェアデイロス, 75,藤岡佑, 0.1, 68,  -6,* 16, 3,  5.7, ⑪⑨, 4,11,Ｍケイリンボス, 72,武豊  , 0.2, 76,  -5,* 21,11, 23.5, ⑰⑯
 5, 1,Ｇワｰルドレジェンド, 54,岩田康, 0.4, 57,   2,  -1, 4,  8.5,③③③, 5,14,Ａドンアルフォンス, 65,小牧太, 0.6, 61,* -3,  -4, 3,  4.3,⑧②②, 5,13,Ｉゴットロブロイ, 66,古川吉, 0.3, 65,* -1,   6, 5, 10.0, ③③, 5,18,Ｂタガノスカイ, 80,浜中俊, 0.2, 73,*  7,   6, 3,  5.8, ④④
 6, 6,Ｂデンコウシュク, 69,池添謙, 1.1, 54,   2,  -4, 1,  2.5,⑩⑦⑦, 6, 4,Ｊグランアトス, 49,国分恭, 1.2, 56,  -6,  -6, 9, 29.9,③⑦⑧, 6,10,Ｄサンシカゴ, 71,松田大, 0.6, 63,*  0,   3, 7, 17.0, ②②, 6, 3,Ｒタガノバラｰド, 66,菱田裕, 0.3, 73,   3,   8, 8, 18.6, ⑤⑤
 7,12,Ｋロｰドエスペランサ, 44,幸英明, 1.1, 52,*  6, -13, 8, 45.9,①①①, 7,11,Ｈペプチドホｰプフル, 53,藤岡康, 1.4, 53,* -3, -15, 6, 19.8,⑮③③, 7, 6,Ｍテイエムゴｰジャス, 60,藤田伸, 0.7, 62,*  0,   1,13,194.4, ①①, 7,17,Ｆカシノピカチュウ, 78,川田将, 0.4, 73,  -5,* 17, 1,  5.6, ⑮⑰
 8, 2,Ｈジョｰハリス, 52,松田大, 1.4, 53,   0,  -3, 9, 67.9,⑦⑩⑩, 8,17,Ｉバトルボンネビル, 53,城戸義, 1.4, 54,  -6,  -9,15,214.4,⑩⑫⑩, 8, 3,Ｆレアヴェントゥｰレ, 69,岩田康, 0.7, 62,  -2,   4, 2,  5.1, ④⑤, 8, 6,Ｎラｰストチカ, 71,藤岡康, 0.5, 71,   2,   8, 6, 11.3, ⑩⑧
