15年 2月28日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 2月28日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■ 4R  ダ1800m 3 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ1800m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,御堂筋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7,Ｆセンタｰピｰス, 55,浜中俊,, 71,*  4,*  4, 2,  3.3, ①①, 1, 5, ベストミックス,---,松田大,, 62,  -5,*  6, 2,  5.1,③④⑤, 1, 5,Ｃタガノベルｰガ, 71,浜中俊,, 69,* -3,* 10, 3,  6.0,⑫②②, 1, 1,Ａヴォルシェｰブ, 84,福永祐,, 83,*  9,*  6, 1,  1.8,③⑤⑥
 2,10,Ａコパノチャｰルズ, 64,デムｰ, 0.7, 63,  -1,   2, 1,  2.2, ⑤④, 2, 9, オｰロラポラリス,---,太宰啓, 0.1, 64,  -6,*  7, 9, 33.5,⑫⑪④, 2, 9,Ｂブロンクスシルバｰ, 72,デムｰ, 0.2, 67,  -4,* 11, 1,  2.5,④④③, 2, 2,Ｄモビｰル, 82,浜中俊, 0.3, 82,* 10,   3, 6, 15.5,④④⑤
 3, 3,Ｂカシノランド, 61,国分優, 0.9, 62,  -2,   1, 5, 12.3, ⑦⑥, 3, 3, タガノフェアリｰ,---,和田竜, 0.3, 61,* -3,   1, 3,  8.6,①①①, 3, 6,Ｄウインクルミラクル, 71,福永祐, 0.5, 65,* -3,   6, 5,  7.6,⑩①①, 3, 7,Ｃアドマイヤバラｰド, 82,和田竜, 0.4, 80,   8,*  4, 8, 20.9,⑨⑧⑨
 4, 6,Ｃバｰサｰカｰ, 60,勝浦正, 1.0, 61,*  1,  -3, 4, 10.9, ③③, 4,11, キクノステラ,---,小牧太, 0.5, 59,* -4,   1,10, 44.4,④③③, 4, 8,Ａサンレイフロｰラ, 74,武豊  , 0.8, 63,  -5,   8, 2,  3.7,⑨⑥④, 4, 4,Ｊジャイアントリｰプ, 76,シュタ, 0.4, 80,   8,   3, 7, 20.0,⑦⑨⑧
 5,11,Ｋカツカモ, 50,岩田康, 1.2, 60, -14,* 11, 7, 26.0, ⑮⑮, 5,13, シランノカ,---,秋山真, 1.7, 51,  -9,  -2, 8, 33.2,⑬⑫⑨, 5, 3,Ｆクイｰンズシアタｰ, 67,勝浦正, 0.8, 63,  -5,   8, 4,  6.8,③⑦⑦, 5,12,Ｆアドマイヤケルソ, 81,岩田康, 0.6, 79,   8,   3, 4, 10.4,⑪⑪⑪
 6, 4,Ｈリミットレス, 54,和田竜, 1.3, 59,  -6,   1,10, 58.4, ⑨⑧, 6,10, リｰサルストライク,---,福永祐, 1.7, 49,* -4, -11, 1,  1.7,②②②, 6, 7,Ｇルアノヴァ, 63,岩田康, 1.2, 64,  -6,   9, 7, 30.9,⑧⑩⑩, 6, 3,Ｌディルガ, 73,小牧太, 0.7, 78,   7,   3,10, 94.4,⑩⑩⑩
 7, 1,Ｏアパシオナｰダ, 46,柴田未, 1.7, 56,  -7,   0,15,317.1, ⑪⑩, 7,14, シャイニｰシチｰ,---,熊沢重, 2.3, 46,  -6, -11,14,166.5,⑧⑦⑧, 7,12,Ｅジュｰンヴィエナ, 67,松田大, 1.2, 62,  -5,   5, 6, 11.1,⑥⑧⑧, 7,11,Ｂタガノレイヨネ, 84,藤田伸, 1.0, 75,* 11, -11, 3,  8.4,①①①
 8,15,Ｇダンツラッシュ, 54,シュタ, 1.7, 55,*  2, -10, 3,  6.5, ②②, 8, 7, ナムラピピ,---,酒井学, 2.5, 46,  -9,  -8,13,158.9,⑯⑮⑩, 8,11,Ｌカシノソラｰレ, 57,幸英明, 1.5, 59,  -5,   2,10,142.3,②⑤⑥, 8, 5,Ｅリベルタス, 82,デムｰ, 1.2, 73,*  9, -10, 2,  4.5,⑤⑦⑦
 9, 8,Ｅシュンイキ, 57,水口優, 1.9, 53,  -9,  -1,11, 74.4, ⑫⑪, 9, 1, ラトｰヌジョア,---,国分優, 2.6, 44,  -5, -15, 6, 26.1,⑨⑤⑥, 9, 4,Ｋポイントキセキ, 58,酒井学, 1.5, 58,  -4,   0, 8,109.7,①③⑤, 9, 8,Ｈフェデラルホｰル, 80,柴山雄, 1.4, 70,*  9, -16, 5, 13.5,⑥③③
10, 2,Ｐニホンピロセリｰン, 32,城戸義, 2.6, 47, -12,  -4,13,207.6, ⑭⑬,10, 8, スプリングアンサｰ,---,藤懸貴, 2.9, 42,  -7, -16,12,149.4,⑦⑧⑪,10,10,Ｊサンマルリジイ, 58,和田竜, 1.6, 60,  -6,   3, 9,139.6,⑤⑨⑨,10,10,Ｇメイショウジンム, 80,勝浦正, 1.6, 70,* 10, -18,12,214.3,⑧⑥④
11,14,Ｌハイイノベｰション, 50,太宰啓, 2.7, 47, -17,   0,14,251.7, ⑯⑯,11, 4, メイショウムラシゲ,---,幸英明, 2.9, 43,  -8, -13,11, 62.2,⑭⑬⑭,11, 2,Ｉサチヒメ, 59,岡田祥, 1.9, 62,  -9,   8,11,227.4,⑪⑫⑫,11, 6,Ｉマイネルマｰク, 79,松岡正, 1.9, 69,* 11, -24, 9, 63.5,②②②
12,13,Ｍカネトシバリアント, 50,藤田伸, 3.1, 43,  -2, -19, 6, 25.5, ⑥⑤,12,16, サｰドグラッド,---,池添謙, 3.1, 40,  -5, -20,16,180.4,⑤⑥⑦,12, 1,Ｈデサフィナｰド, 60,松岡正, 2.1, 55,  -6,   1,12,300.4,⑦⑪⑪,12, 9,Ｋザサンデｰフサイチ, 74,幸英明, 2.7, 62,   7, -23,11,212.7,⑫⑫⑫
13, 5,Ｊシゲルボンオドリ, 50,柴山雄, 3.4, 38,  -5, -19,16,388.0, ⑧⑦,13, 2, スマｰトファニｰ,---,武豊  , 3.9, 35,  -9, -21, 4,  9.6,⑪⑭⑫,,,,,,,,,,,,,,,,,,,,,,,,
14,16,Ｎサンロｰガン, 49,松田大, 3.6, 38,  -9, -16,12,194.2, ⑩⑫,14,12, メイショウメガミ,---,城戸義, 4.0, 36,  -8, -23,15,176.3,⑩⑨⑮,,,,,,,,,,,,,,,,,,,,,,,,
15,12,Ｄデスティｰノトップ, 57,熊沢重, 4.3, 31,  -2, -30, 9, 54.9, ④⑨,15,15, ブレイブミノル,---,藤田伸, 4.2, 35,  -8, -25, 7, 28.3,⑥⑩⑬,,,,,,,,,,,,,,,,,,,,,,,,
16, 9,Ｉサｰティグランド, 52,酒井学, 5.2, 23, -12, -28, 8, 36.6, ⑬⑭,16, 6, コスモエルタニン,---,シュタ, 5.8, 27, -17, -22, 5, 17.0,⑮⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-11 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:82 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:2),,,,,,,,,,,
単勝:330円 複勝:07=130円 10=110円 03=160円 枠連:310円,,,,,,,,,,,,単勝:510円 複勝:05=250円 09=870円 03=290円 枠連:370円,,,,,,,,,,,,単勝:600円 複勝:05=200円 09=140円 06=180円 枠連:570円,,,,,,,,,,,,"単勝:180円 複勝:01=110円 02=260円 07=330円 枠連:1,000円",,,,,,,,,,,
馬連:410円 ワイド:07-10=200円 03-07=480円 03-10=290円,,,,,,,,,,,,"馬連:6,520円 ワイド:05-09=2,330円 03-05=640円 03-09=3,170円",,,,,,,,,,,,馬連:810円 ワイド:05-09=390円 05-06=650円 06-09=340円,,,,,,,,,,,,"馬連:890円 ワイド:01-02=430円 01-07=550円 02-07=1,820円",,,,,,,,,,,
"馬単:780円 3連複:790円 3連単:3,260円",,,,,,,,,,,,"馬単:13,060円 3連複:16,390円 3連単:105,070円",,,,,,,,,,,,"馬単:1,990円 3連複:1,640円 3連単:9,280円",,,,,,,,,,,,"馬単:1,290円 3連複:3,900円 3連単:10,490円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 5R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 8R  ダ1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  芝1600m 3 歳ｵｰﾌﾟﾝ(国) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｱｰﾘﾝﾄﾝｶｯﾌﾟ ＧⅢ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｆジュエルメｰカｰ, 58,福永祐,, 73,* -2,* 14, 2,  5.3,②④③, 1,10,Ｂエアルｰティｰン, 62,武豊  ,, 63,   3,* -9, 1,  2.9, ④⑦, 1, 8,Ａプロスパｰ, 73,小牧太,, 77,*  6,*  6, 3,  5.4, ②②, 1, 8,Ｊヤングマンパワｰ, 66,松岡正,, 75,  -1,   3, 9, 34.8, ⑥⑤
 2, 5,Ｂメイショウナガマサ, 65,浜中俊, 0.1, 73,* -1,* 11, 1,  1.5,①①①, 2,11,Ａミッキｰカｰニバル, 63,岩田康, 0.0, 64,   0,* -5, 3,  4.5, ⑩⑩, 2, 2,Ｋプレフェリｰト, 66,勝浦正, 0.3, 73,*  6,   3,11, 74.3, ①①, 2, 4,Ａアルマワイオリ, 75,勝浦正, 0.0, 79,  -8,* 15, 5,  7.4, ⑫⑫
 3, 4,Ｈチャップリン, 55,秋山真, 1.3, 63,  -3,   4, 6, 14.6,⑤⑤⑤, 3, 5,Ｃアイリｰグレイ, 60,柴山雄, 0.0, 64,   2,* -7, 7, 24.2, ⑧⑧, 3, 6,Ｅチョウエンペラｰ, 71,熊沢重, 0.8, 70,   4,   1, 8, 28.5, ③⑥, 3,11,Ｇマテンロウハピネス, 70,松田大, 0.0, 73,*  2,  -3, 7,  8.0, ①①
 4, 9,Ｃカペナ, 63,小牧太, 1.3, 67,  -7,* 14, 7, 27.3,⑬⑬⑬, 4, 1,Ｊゴｰルドグロｰリｰ, 43,デムｰ, 0.4, 59,   0, -11, 2,  4.1, ⑨⑨, 4,11,Ｏナガラブルボン, 63,四位洋, 0.8, 72,   1,*  4, 5, 13.2, ⑧⑤, 4, 1,Ｂナヴィオン, 74,岩田康, 0.0, 75,  -4,   7, 1,  4.8, ⑧⑧
 5, 6,Ｄクラウンフレイム, 62,太宰啓, 1.6, 64,  -3,   2, 3, 10.4,⑧⑦⑦, 5, 4, ロイヤルストリｰト,---,福永祐, 0.4, 60,   3, -14, 4,  6.8, ⑦⑥, 5,15,Ｃステｰキ, 72,デムｰ, 0.9, 68,   4,   0, 1,  2.1, ④③, 5, 7,Ｉネオスタｰダム, 67,シュタ, 0.1, 72,  -1,   0, 8, 18.1, ③③
 6,11,Ｉメイショウヤギリ, 53,国分優, 1.9, 59,* -2,  -3, 9, 98.6,④③②, 6,13,Ｇプリモレガｰロ, 51,浜中俊, 0.5, 57,*  4, -21, 5, 10.8, ②②, 6, 9,Ｂトリックデック, 72,岩田康, 1.1, 67,   1,   1, 2,  4.8, ⑥⑦, 6, 6,Ｃヤマカツエｰス, 73,池添謙, 0.2, 73,  -7,*  8,10, 41.0, ⑪⑪
 7, 3,Ｅエタｰナルウインド, 60,幸英明, 2.1, 59,  -3,  -1, 8, 46.4,⑦⑧⑧, 7, 6,Ｄエクラドレｰヴ, 60,和田竜, 0.8, 58,   0, -12, 8, 26.3, ⑪⑫, 7,10,Ｉルスナイプリンセス, 66,松田大, 1.1, 67,  -2,*  4, 9, 53.2, ⑨⑪, 7, 3,Ｋケツァルテナンゴ, 61,浜中俊, 0.4, 71,  -5,   4,11, 76.2, ⑩⑩
 8,13,Ａエイシンアルマイト, 66,酒井学, 2.6, 55,  -3,  -6, 4, 11.5,⑥⑥⑥, 8, 9,Ｍユヴェｰレン, 39,シュタ, 1.1, 52,*  4, -28, 6, 15.6, ⑤③, 8, 3,Ｈサンライズシルバｰ, 67,武豊  , 1.4, 63,  -2,   1, 7, 24.3, ⑪⑫, 8,12,Ｄナリタスタｰワン, 72,福永祐, 0.8, 61,  -1, -10, 2,  5.0, ④④
 9, 2,Ｊツジスｰパｰハヤテ, 53,柴山雄, 2.8, 52,  -5,  -4,10,130.8,⑨⑩⑨, 9,16,Ｅスｰサンヘイロｰ, 60,秋山真, 1.3, 49,*  6, -33, 9, 37.0, ①①, 9,14,Ｊロｰエンイェｰガｰ, 66,和田竜, 1.5, 63,   0,  -2, 6, 23.1, ⑦⑧, 9,10,Ｆネオルミエｰル, 70,柴山雄, 1.0, 61,  -2,  -9, 3,  5.6, ⑦⑦
10, 8,Ｇアポロビショップ, 57,岩田康, 3.1, 53,  -5,  -5, 5, 13.2,⑩⑨⑩,10, 7,Ｆリプカ, 52,藤田伸, 1.4, 56,  -3, -11,11,142.6, ⑭⑭,10,12,Ｄクインズパｰル, 71,藤懸貴, 1.6, 62,  -2,  -1, 4,  7.7, ⑬⑨,10, 2,Ｈナイトフォックス, 67,武豊  , 1.1, 61,  -5,  -7, 6,  7.7, ⑨⑨
11,12,Ｋビュトンドｰル, 47,城戸義, 3.2, 53,  -7,  -4,11,154.0,⑫⑫⑪,11, 8, マツリダカｰニバル,---,幸英明, 1.5, 49,   3, -32,10, 54.4, ③⑤,11, 1,Ｆアポロオオジャ, 70,松岡正, 1.8, 61,  -4,   1,10, 71.4, ⑩⑬,11, 9,Ｅエイムハイ, 71,デムｰ, 1.2, 56,*  0, -18, 4,  6.5, ②②
12,14,Ｌカタストロフィ, 40,岡田祥, 3.4, 54,  -5,  -7,12,251.2,⑪⑪⑫,12, 3,Ｌサンデｰジｰク, 40,松岡正, 2.2, 44,  -3, -29,14,376.6, ⑬⑬,12, 7,Ｌトラストフェアリｰ, 65,幸英明, 2.0, 60,  -1,  -4,12, 79.8, ⑫⑩,12, 5,Ｌジャジャウマナラシ, 54,藤田伸, 1.3, 58,  -2, -13,12,252.5, ⑤⑥
13,10,Ｍカゼニモマケズ, 38,勝浦正, 3.7, 47,*  0, -19,14,312.5,③②④,13, 2,Ｈテイエムトナカイ, 50,岡田祥, 2.5, 39,  -1, -36,15,444.6, ⑫⑪,13,16,Ｍクリノプリムラ, 65,岡田祥, 2.0, 61,   2,  -8,13,133.6, ⑤④,,,,,,,,,,,,
14, 7,Ｎマリアペスカ, 30,池添謙, 8.1, 22,  -8, -42,13,286.6,⑭⑭⑭,14,15,Ｉファインドミｰ, 45,勝浦正, 2.6, 39,*  4, -50,13,307.1, ⑥④,14, 5,Ｎファンアットコｰト, 64,水口優, 2.2, 57,  -9,   1,14,367.5, ⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,15,14,Ｎシャイニｰセルヴァ, 37,城戸義, 3.3, 33,  -8, -34,16,507.1, ⑯⑯,15, 4,Ｐクラウンビション, 49,柴山雄, 3.0, 48,  -6,  -9,15,402.2, ⑭⑭,,,,,,,,,,,,
,,,,,,,,,,,,16,12,Ｋラウレアワヒネ, 42,池添謙, 3.9, 28,  -5, -48,12,276.5, ⑮⑮,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:良(指数:2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:2),,,,,,,,,,,
単勝:530円 複勝:01=140円 05=110円 04=200円 枠連:350円,,,,,,,,,,,,単勝:290円 複勝:10=130円 11=150円 05=360円 枠連:560円,,,,,,,,,,,,"単勝:540円 複勝:08=230円 02=1,200円 06=380円 枠連:6,890円",,,,,,,,,,,,"単勝:3,480円 複勝:08=690円 04=270円 11=340円 枠連:4,580円",,,,,,,,,,,
馬連:410円 ワイド:01-05=190円 01-04=720円 04-05=300円,,,,,,,,,,,,"馬連:720円 ワイド:10-11=310円 05-10=870円 05-11=1,030円",,,,,,,,,,,,"馬連:14,510円 ワイド:02-08=3,810円 06-08=1,330円 02-06=7,650円",,,,,,,,,,,,"馬連:10,610円 ワイド:04-08=3,010円 08-11=4,570円 04-11=1,610円",,,,,,,,,,,
"馬単:1,250円 3連複:1,030円 3連単:7,860円",,,,,,,,,,,,"馬単:1,320円 3連複:3,560円 3連単:12,470円",,,,,,,,,,,,"馬単:19,330円 3連複:61,130円 3連単:259,380円",,,,,,,,,,,,"馬単:27,340円 3連複:36,580円 3連単:325,370円",,,,,,,,,,,
■ 3R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 6R  芝2200m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 9R  芝1600m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■12R  ダ1800m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,山陽特別,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
