15年11月15日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月15日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2770m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■10R  芝1200m 2 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,福島2歳ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｅポロス, 43,西村太,, 49,   3,  -7, 6, 19.7,④④③, 1, 5, ウインヤｰド,,高野和,,,,, 8, 41.6,⑦②①, 1,14,Ｉミンナノプリンセス, 65,丸山元,, 76,* 17,  -9, 3,  7.4, ②②, 1, 4,Ｂラズｰルリッキｰ, 64,黛弘人,, 75,* 14,  -9, 9, 25.6, ①②
 2, 7,Ａレディｰゴｰ, 55,鮫島克, 0.0, 47,*  4, -11, 1,  2.3,②②①, 2, 7, マイネルマｰク,,五十嵐,188.1,,,, 2,  3.1,⑤⑤④, 2,12,Ｃオウノミチ, 69,加藤祥, 0.0, 74,  14,  -6, 2,  5.5, ⑤③, 2, 3,Ｄコスモアルコン, 60,柴田大, 0.2, 71,* 11,  -9, 2,  3.4, ③①
 3, 2,Ｉカジノクイｰン, 40,井上敏, 0.0, 47,   2,  -6, 7, 20.1,⑥⑤⑤, 3, 2, アルディエス,,西谷誠,188.4,,,, 4,  7.1,⑩⑦⑤, 3,16,Ｊマサノハナチャン, 65,杉原誠, 0.0, 71,   7,*  2,13, 74.6, ⑬⑫, 3, 7,Ｊアルマククナ, 54,勝浦正, 0.4, 64,  -1,*  2,14, 91.6, ⑮⑮
 4,10,Ｍノｰブルブラック, 24,勝浦正, 0.2, 48,  -1,* -3,10, 57.7,⑪⑩⑧, 4,10, ピタゴラスコンマ,,金子光,189.4,,,, 1,  3.0,⑥③③, 4,15,Ｈゼンノイザナギ, 66,鮫島克, 0.0, 73,  11,  -4, 5,  8.3, ⑧⑥, 4,11,Ｏファド, 49,幸英明, 0.4, 68,  10, -10, 3,  7.6, ⑦⑦
 5, 6,Ｋデフィニｰル, 36,伴啓太, 0.6, 47,  -2,* -4,11, 76.4,⑫⑫⑪, 5, 3, プレスリｰ,,蓑島靖,189.5,,,, 3,  5.0,⑧⑥⑥, 5, 2,Ｄウィズアットレｰス, 68,伴啓太, 0.1, 77,* 19, -12,10, 18.8, ①①, 5, 8,Ａアラモアナワヒネ, 65,石橋脩, 0.4, 66,   7,* -6, 4,  8.8, ⑪⑧
 6, 5,Ｃベルクオｰレ, 44,嘉藤貴, 0.9, 42,   3, -15, 2,  2.6,③③④, 6, 1, アドマイヤイチバン,,浜野谷,189.5,,,, 5, 12.0,④①②, 6, 6,Ａクラウドチェンバｰ, 72,吉田隼, 0.1, 70,   7,*  0, 1,  5.0, ⑫⑩, 6, 1,Ｈクナウ, 57,津村明, 0.6, 61,   4,* -6, 5,  9.8, ⑭⑩
 7, 1,Ｆソットヴォｰチェ, 42,幸英明, 1.1, 43,  -1, -10, 8, 22.0,⑭⑪⑫, 7, 6, アスタｰコリント,,林満明,189.7,,,, 6, 17.8,⑪⑨⑧, 7,11,Ｎシャインプレイン, 60,丸田恭, 0.1, 68,   4,*  2,14, 86.1, ⑮⑮, 7, 2,Ｅエピックマジック, 60,丸田恭, 0.7, 62,   9, -13, 7, 21.9, ⑤③
 8, 9,Ｊプリンセスミエル, 37,丹内祐, 2.2, 34,   1, -23,12, 88.3,⑦⑦⑥, 8,12, アサクサニッポン,,草野太,190.2,,,,11, 69.2,③④⑦, 8,10,Ｇシンラバンショウ, 66,菱田裕, 0.2, 72,  12,  -6, 9, 17.4, ⑦⑧, 8, 9,Ｍファジｰネｰブル, 52,嘉藤貴, 0.9, 59,   3,  -8,16,165.4, ⑬⑬
