15年 4月11日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 4月11日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-11,,,,,■ 4R  芝2750m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  ダ1150m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2000m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ひめさゆり賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ｄバラブシュカ, 57,藤懸貴,, 60,  -5,*  5, 5, 11.6,⑥⑦⑥, 1,10, パスティ,,山本康,,,,, 2,  4.6,①①①, 1,10, アスタｰペニｰ,---,加藤祥,, 56,  -4,* -1, 8, 27.3, ④④, 1, 2,Ｄマルタｰズアポジｰ, 62,吉田隼,, 68,*  4,  -2, 3,  5.2,①①①
 2,12,Ａウエバフラッシュ, 65,黛弘人, 0.0, 58,* -2,  -1, 1,  2.0,②①①, 2, 3, トｰセンハナミズキ,,小野寺,183.4,,,,12, 72.2,④⑤⑤, 2, 9,Ｄカラッカゼ, 55,嶋田純, 0.0, 57,* -1,  -3, 2,  4.2, ③②, 2, 5,Ｆトｰセンカナロア, 60,杉原誠, 0.2, 70,   2,*  1, 1,  3.6,⑤⑤③
 3, 5,Ｇマラカイトスタｰ, 53,中谷雄, 0.2, 57,* -2,  -3, 8, 25.2,③②②, 3, 8, アイティテイオｰ,,浜野谷,183.5,,,, 5,  7.3,⑧②②, 3,15,Ｂトエハタエ, 59,川須栄, 0.0, 58,*  1,  -5, 1,  2.4, ①①, 3, 1,Ａルグランパントル, 67,松若風, 0.4, 68,   1,*  1, 6, 11.0,⑥⑥⑤
 4,10,Ｊヒルプリンセス, 45,宮崎北, 0.5, 54,  -4,  -4,10, 55.4,①③③, 4, 6, キｰアイテム,,原田和,183.7,,,, 7, 11.4,③④④, 4, 3,Ａタイセイメテオ, 70,杉原誠, 0.4, 49,  -8,  -2, 3,  5.8, ⑨⑥, 4, 9,Ｉニシノマジック, 58,黛弘人, 1.0, 62,   0,  -5, 4,  7.2,⑧⑧⑧
 5, 4,Ｃジャストザルｰチェ, 57,松若風, 0.6, 55,  -4,  -2, 2,  4.9,⑤⑤⑤, 5, 9, ブットバセ,,田村太,185.2,,,,13,106.8,⑪⑩⑩, 5, 1,Ｅシベリアンマッシブ, 47,小崎綾, 0.8, 48, -10,  -4, 4,  8.9, ⑩⑧, 5, 3,Ｊファイアフライ, 49,川須栄, 1.4, 57,   0, -12,10,123.4,⑨⑦⑥
 6, 8,Ｂブリｰズヴェｰル, 61,小崎綾, 0.7, 53,  -3,  -4, 3,  7.5,⑨④④, 6,13, アラビアンドラゴン,,平沢健,185.2,,,, 4,  7.0,⑩⑨⑦, 6,12,Ｃタケルワｰルド, 56,木幡初, 0.8, 50,  -6,  -6, 6, 16.5, ⑥⑤, 6, 6,Ｇメイショウリンクス, 59,国分恭, 1.8, 55,  -2, -15, 5,  7.4,⑩⑩⑨
 7, 9,Ｅカノンブルｰ, 55,津村明, 1.0, 52,  -7,*  1, 7, 23.8,⑩⑩⑩, 7,11, ドリｰムパワｰ,,金子光,185.6,,,, 3,  6.2,⑦⑥⑥, 7, 2,Ｋハッピｰキャップ, 37,井上敏, 1.1, 47, -16,* -1,11, 45.8, ⑫⑫, 7, 7,Ｃジャストフォｰユｰ, 63,津村明, 1.9, 51,*  4, -27, 2,  3.6,③②②
 8, 6,Ｍタガノスマイル,-48,加藤祥, 1.1, 52,  -9,*  1,11, 63.1,⑪⑪⑪, 8,14, トｰセンエスプリ,,蓑島靖,186.4,,,,11, 63.5,⑫⑪⑪, 8, 7,Ｈカムヒア, 45,吉田隼, 1.5, 42,  -6, -13, 5, 12.6, ⑧⑩, 8, 4,Ｅサトノフラリッシュ, 62,丹内祐, 2.0, 51,   2, -26, 8, 22.0,②④④
 9,11,Ｆマｰレｰ, 55,川須栄, 1.1, 52,  -4,  -6, 6, 14.0,④⑥⑧, 9,12, タイセイボルト,,草野太,187.4,,,, 6,  9.0,⑨⑧⑨, 9, 5,Ｇプルメリア, 46,宮崎北, 1.6, 42,  -6, -13,10, 45.1, ⑦⑨, 9, 8,Ｂカゼノトビラ, 64,西田雄, 3.9, 38,   2, -54, 7, 16.3,④③⑦
10, 7,Ｋキャンドルスピン, 42,杉原誠, 1.7, 44, -10,   0,13, 96.7,⑫⑫⑫,10, 1, テイエムロカビリｰ,,佐久間,187.5,,,,10, 29.8,⑥⑦⑧,10, 4, トｰチカ,---,伴啓太, 1.6, 40, -24,*  2,12,110.1, ⑭⑭,10,10,Ｈキャンディｰハウス, 59,小崎綾, 5.2, 14,  -2, -62, 9, 28.8,⑦⑨⑩
11, 1,Ｈアルボルデヴィダ, 51,木幡初, 1.7, 48,  -6,  -8,12, 66.0,⑦⑧⑦,11, 7, レッドヴィｰヴォ,,五十嵐,191.7,,,, 8, 19.7,⑬⑫⑫,11,14,Ｌクリエイトアゲン, 37,中井裕, 1.6, 41, -20,  -2,15,225.5, ⑬⑬,,,,,,,,,,,,
12, 3,Ｉフレンドマキシマム, 50,丹内祐, 2.6, 41,  -5, -15,14,146.0,⑧⑨⑨,12, 2, ヒカリヴェロニカ,,高野和,194.4,,,,14,117.3,⑭⑬⑬,12,16,Ｊオｰプニングガラ, 38,松若風, 2.0, 38,* -1, -22, 7, 20.1, ②③,,,,,,,,,,,,
13, 2, エスプリドパリ,---,吉田隼, 3.1, 38, -13,  -8, 4, 11.4,⑬⑬⑬,,,,,,,,,,,,,13,13,Ｆパルパルムツミ, 47,丹内祐, 2.1, 37,  -4, -20, 9, 33.8, ⑤⑦,,,,,,,,,,,,
14,14,Ｌナタｰル, 28,伴啓太, 3.3, 39, -17,  -4,15,250.2,⑮⑮⑮,,,,,,,,,,,,,14, 8,Ｉシャルウィダンス, 43,西田雄, 2.1, 38,  -8, -16,13,125.9, ⑪⑪,,,,,,,,,,,,
15,15, カネトシグランド,---,国分恭, 3.4, 38, -12, -11, 9, 35.4,⑭⑭⑭,,,,,,,,,,,,,15, 6,Ｍエスケイミネルバ, 13,国分恭, 3.2, 26, -32,  -6,16,247.4, ⑮⑮,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,16,11, カネトシエンジョイ,---,野中悠, 7.9,-21, -59, -25,14,148.0, ⑯⑯,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-5),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:-5),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:4),,,,,,,,,,,
"単勝:1,160円 複勝:13=220円 12=110円 05=460円 枠連:910円",,,,,,,,,,,,"単勝:460円 複勝:10=190円 03=1,180円 08=210円 枠連:1,200円",,,,,,,,,,,,"単勝:2,730円 複勝:10=480円 09=170円 15=140円 枠連:7,360円",,,,,,,,,,,,"単勝:520円 複勝:02=180円 05=160円 01=270円 枠連:1,250円",,,,,,,,,,,
"馬連:930円 ワイド:12-13=430円 05-13=3,900円 05-12=730円",,,,,,,,,,,,"馬連:16,170円 ワイド:03-10=4,060円 08-10=570円 03-08=5,900円",,,,,,,,,,,,"馬連:8,600円 ワイド:09-10=2,190円 10-15=1,330円 09-15=260円",,,,,,,,,,,,"馬連:1,250円 ワイド:02-05=510円 01-02=850円 01-05=890円",,,,,,,,,,,
"馬単:2,240円 3連複:6,750円 3連単:46,340円",,,,,,,,,,,,"馬単:30,110円 3連複:31,570円 3連単:183,430円",,,,,,,,,,,,"馬単:21,420円 3連複:6,870円 3連単:59,060円",,,,,,,,,,,,"馬単:2,560円 3連複:3,560円 3連単:18,060円",,,,,,,,,,,
■ 2R  芝2000m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-6,,,,,■ 5R  芝2750m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 8R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■11R  芝1200m 4歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,吾妻小富士賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ｃエジｰサンドレ, 59,井上敏,, 64,* -8,*  8, 4,  7.3,①①①, 1, 1, テイエムオペラドン,,中村将,,,,, 4,  7.8,⑥②②, 1, 3,Ｅスピｰドルｰラｰ, 67,西田雄,, 76,* 10,*  1, 4, 10.3, ①①, 1, 1,Ｃシンボリディスコ, 76,伴啓太,, 79,  10,   3, 5,  8.9, ④④
 2,15,Ｄレオロフティｰ, 53,木幡初, 0.2, 61,*-10,*  7, 7, 20.9,②②②, 2,12, タマモショパン,,熊沢重,181.6,,,, 2,  5.2,③③③, 2, 2,Ｃクリノコマチ, 69,宮崎北, 0.2, 72,*  6,*  3, 2,  4.5, ③④, 2, 4,Ｊウエスタンユｰノｰ, 71,伊藤工, 0.1, 77,   9,   3,12, 31.4, ⑥⑤
 3, 4,Ｈインテグラル, 42,津村明, 0.4, 60,*-10,*  8,10, 42.4,⑤⑥③, 3, 6, ミルクディッパｰ,,平沢健,181.7,,,, 1,  4.2,②⑤⑤, 3, 7,Ａゼウス, 71,松若風, 0.8, 64,*  6,  -5, 1,  2.9, ④③, 3, 3,Ｇモｰニングコｰル, 72,杉原誠, 0.1, 80,* 14,  -2, 9, 19.3, ②②
 4, 2,Ｊサトノダイレンサ, 37,小崎綾, 0.6, 61, -12,* 11, 3,  7.1,⑨⑩⑦, 4, 2, アドマイヤサイモン,,西谷誠,181.7,,,, 6, 10.2,⑦④④, 4, 6,Ｂキョウエイボヌｰル, 70,津村明, 1.1, 58,   2,  -5, 7, 12.5, ⑤⑥, 4, 5,Ｆサクセスフィリア, 73,津村明, 0.3, 72,   1,*  8,10, 20.8, ⑩⑨
 5,14,Ｂクラシックエｰス, 61,吉田隼, 0.6, 58,* -9,   5, 1,  2.7,⑥⑦⑥, 5,10, チョイワルグランパ,,白浜雄,181.9,,,, 3,  5.4,④⑦⑦, 5,13,Ｍセルリアンシュロス, 59,国分恭, 1.1, 57,  -2,  -1, 8, 21.6, ⑪⑫, 5,11,Ｋハッシュ, 70,川須栄, 0.4, 76,* 15,  -8, 3,  7.9, ①①
