15年 9月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 9月19日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:3,,,,,■ 4R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2000m 3歳上1000万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,能勢特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａコパノアラジン, 44,藤岡康,, 54,*  0,* -7, 2,  4.5,①①①, 1, 8,Ｃレッドディザｰブ, 62,ルメｰ,, 64,*  6,  -3, 1,  2.0, ③③, 1, 5,Ｃキングベイビｰ, 72,北村友,, 72,   5,*  6, 3,  6.3, ⑦⑦, 1, 4,Ｂワンダｰアツレッタ, 78,デムｰ,, 77,  14,  -8, 1,  1.8,⑤⑤⑤
 2,12,Ｇアテンフェスタ, 37,川田将, 1.2, 47,  -3, -13, 1,  3.5,④④③, 2, 9,Ｂディプロイディ, 66,川島信, 0.2, 58,  -3,*  5, 2,  6.1, ⑪⑨, 2, 4,Ｆノボリレジェンド, 70,川田将, 0.2, 72,*  9,   0, 1,  3.0, ④③, 2, 5,Ｄディルガ, 75,福永祐, 0.5, 74,  12, -12, 2,  6.5,⑥⑥⑥
 3, 6,Ｄクリノカルカソンヌ, 42,デムｰ, 1.6, 42,  -4, -15, 3,  4.5,⑦⑤④, 3,10,Ａメイショウテンロウ, 68,鮫島克, 0.5, 58,   1,  -3, 5,  8.8, ⑧⑦, 3,12,Ｂハラペｰニョペパｰ, 73,鮫島克, 0.3, 71,* 10,  -4, 6, 12.5, ①①, 3, 7,Ｉコウエイワンマン, 70,和田竜, 0.5, 76,  10,* -5, 9, 36.8,⑩⑪⑪
 4, 9,Ｍドリｰムフォｰ, 22,小牧太, 1.6, 47,  -8,* -5, 9, 26.0,⑬⑫⑫, 4,14,Ｌスズカファイン, 46,松若風, 0.5, 59,   2,  -4,10, 70.5, ⑦⑥, 4, 9,Ｉシンダｰズ, 65,デムｰ, 0.5, 68,   6,   0, 5, 12.3, ⑤⑥, 4, 8,Ｆキョウワリベラル, 72,中井裕, 0.7, 75,  10,  -8,11,175.5,⑪⑩⑩
 5, 2,Ｉジョｰスタｰライト, 34,川須栄, 1.7, 46,  -2, -16,11, 59.8,③③⑤, 5, 4,Ｏロｰドアルティスタ, 39,福永祐, 0.5, 60,*  7,  -9, 6, 11.7, ②②, 5,15,Ｄクレアドｰル, 72,武豊  , 0.7, 66,   2,*  3, 2,  4.3, ⑩⑩, 5, 9,Ｅカレンバッドボｰイ, 75,小牧太, 0.8, 73,  12, -14, 4,  6.7,⑨⑨⑨
 6,10,Ｋダンツワイズ, 29,松若風, 1.9, 45,  -6, -11,13,106.2,⑫⑩⑩, 6, 3,Ｇアスクワンダフル, 55,岩田康, 0.7, 58,*  7, -12, 4,  8.4, ①①, 6,13,Ｊテイエムリヴィエラ, 65,松若風, 1.0, 65,   4,  -1,13, 43.5, ⑨⑨, 6, 2,Ａアメリカンダイナｰ, 79,松田大, 0.9, 71,  15, -22, 6, 20.4,②②④
 7, 7,Ｈアムロタイプ, 35,太宰啓, 2.6, 39,* -1, -26,12, 62.8,②②②, 7, 5,Ｋトゥｰランドット, 47,池添謙, 0.8, 56,  -2,*  0,11, 96.6, ⑩⑪, 7,11,Ｅハッピｰエム, 72,川須栄, 1.0, 66,   4,  -1, 4, 12.1, ⑧⑧, 7,10,Ｇウエスタンレベッカ, 71,義英真, 1.0, 70,  12, -19, 8, 28.9,⑦⑦⑦
 8, 4,Ｅクｰルゲンノスケ, 38,国分優, 2.6, 38,  -8, -15,10, 30.2,⑪⑪⑪, 8,12,Ｆエイシンパサｰト, 57,和田竜, 0.9, 55,  -2,  -2, 3,  7.3, ⑨⑩, 8, 1,Ｈニシノシュロ, 65,国分恭, 1.0, 63,   0,*  3, 9, 28.5, ⑫⑫, 8, 1,Ｃペプチドアマゾン, 75,藤岡康, 1.2, 69,  12, -19, 3,  6.6,⑧⑧⑧
