15年 3月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 4歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,うずしおｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12, 2, サザンソレイユ,---,岡田祥, 1.7, 48, -17,   0,12, 59.7, ⑭⑭,12,16, マルイチウラノス,---,福永祐, 3.5, 42,   3, -32, 3,  5.1,⑥⑥⑦,12, 4,Ｍシュバインハｰベン, 41,岩崎翼, 2.2, 55,  -9,  -1,13,401.6, ⑩⑨,12, 1,Ｍタガノミュｰチャン, 73,武幸四, 0.8, 75,* 16, -13, 8, 21.1, ①①
13, 6, ウインドマックス,---,太宰啓, 1.7, 48, -17,   0,14,117.8, ⑮⑮,13,10, リチャｰド,---,義英真, 5.9, 29, -17, -13,11, 63.1,⑮⑮⑮,13, 6,Ｋポイントキセキ, 60,酒井学, 2.3, 53,  -9,  -2,11,133.5, ⑧⑬,13, 3,Ｋエイシンオルドス, 75,岩崎翼, 1.0, 69,   7,  -4,15, 45.5, ⑩⑫
14, 3,Ｊバトルハイスポット, 45,三津谷, 2.3, 41, -25,*  3,15,264.5, ⑯⑯,14,15, ジュリエッタ,---,古川吉, 6.0, 29,  -6, -34, 8, 21.9,⑪⑫⑬,,,,,,,,,,,,,14, 9,Ａモズハツコイ, 82,池添謙, 1.4, 66,* 14, -17, 7, 10.8, ③④
15,10,Ｌマｰベラスカフェ, 43,義英真, 2.5, 39,  -8, -15,16,408.7, ⑨⑪,15,12, カネトシルメルシェ,---,森一馬, 7.9, 21, -14, -34,13,140.7,⑭⑭⑭,,,,,,,,,,,,,15,12,Ｊレムミラス, 76,小牧太, 2.0, 58,   6, -14,14, 44.9, ⑯⑯
16, 4,Ｇトラストニｰケｰ, 51,福永祐, 2.9, 35,  -4, -23, 4, 10.9, ④⑤,,,,,,,,,,,,,,,,,,,,,,,,,16,14,Ｂエアジェルブロワ, 82,浜中俊, 2.1, 57,  10, -21, 5,  9.0, ⑨⑨
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+0 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+9 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:69 ﾚｰｽﾍﾟｰｽ指数:-13 ﾚｰｽｱｶﾞﾘ指数:+5 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:82 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:5),,,,,,,,,,,
"単勝:3,730円 複勝:15=1,380円 14=330円 01=1,670円 枠連:1,100円",,,,,,,,,,,,"単勝:230円 複勝:04=120円 01=500円 13=410円 枠連:3,300円",,,,,,,,,,,,"単勝:1,980円 複勝:03=450円 08=260円 13=140円 枠連:4,230円",,,,,,,,,,,,単勝:480円 複勝:08=180円 16=180円 06=160円 枠連:900円,,,,,,,,,,,
"馬連:20,500円 ワイド:14-15=5,400円 01-15=38,260円 01-14=9,790円",,,,,,,,,,,,"馬連:2,240円 ワイド:01-04=1,190円 04-13=1,350円 01-13=5,240円",,,,,,,,,,,,"馬連:12,470円 ワイド:03-08=2,620円 03-13=1,060円 08-13=720円",,,,,,,,,,,,"馬連:1,520円 ワイド:08-16=670円 06-08=510円 06-16=650円",,,,,,,,,,,
