15年 3月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月14日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1800m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  芝1400m 4歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,うずしおｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｂグランシュクレ, 62,加藤祥,, 64,   1,*  2, 1,  2.9, ⑤⑤, 1, 1,Ｂダンツキャッチ, 77,和田竜,, 76,* 10,   9, 4,  8.9,①①①, 1, 4,Ｄアルバｰトドック, 69,藤岡康,, 74,   0,*  7, 1,  3.2,⑤⑤⑤, 1, 3,Ｄラインハｰト, 76,福永祐,, 78,   9,*  5, 4,  7.5, ⑦⑦
 2, 3,Ａペプチドアルマ, 62,浜中俊, 0.0, 65,   1,*  3, 2,  3.9, ⑥⑥, 2, 3,Ａイスカンダル, 78,浜中俊, 0.2, 76,   7,* 13, 1,  1.6,③③③, 2, 2,Ｃクリプトグラム, 75,福永祐, 0.1, 72,*  2,   4, 4,  7.4,③③③, 2, 2,Ｊウエスタンムサシ, 71,小牧太, 0.2, 76,  10,   0,11, 42.1, ⑤⑤
 3,14,Ｇメイショウサンゾウ, 55,武幸四, 0.1, 64,*  3,   0, 4, 11.3, ③③, 3, 4,Ｇダイナミックウオｰ, 71,福永祐, 0.3, 73,   7,* 11, 3,  5.9,②②②, 3, 6,Ｂサトノラｰゼン, 76,和田竜, 0.3, 71,*  2,   2, 2,  3.3,④④④, 3, 1,Ｃタガノスカイ, 77,浜中俊, 0.3, 76,  11,  -3, 3,  4.9, ③③
 4, 2, ノｰスウッド,---,幸英明, 0.7, 58,   1,  -4, 5, 13.3, ④④, 4, 5,Ｄクラウンシュバルツ, 74,太宰啓, 1.7, 69,   3,   8, 8, 43.9,⑩⑩⑨, 4, 5,Ａエトランドル, 77,浜中俊, 0.4, 69,   0,   1, 3,  4.6,⑧⑧⑦, 4, 4,Ｉメイショウライナｰ, 72,藤岡康, 0.4, 74,   6,   2, 2,  4.5, ⑨⑨
 5, 7,Ｈタガノロブロイ, 51,小牧太, 1.3, 51,  -7,*  1, 8, 21.8, ⑯⑬, 5, 7,Ｅナムライットウセイ, 73,シュタ, 2.0, 64,   6,   1, 5, 19.2,⑥⑤⑤, 5, 1,Ｅドリｰムチェイサｰ, 66,武豊  , 0.7, 68,   0,  -1, 5,  7.5,⑥⑦⑧, 5, 7,Ｎサチノクイｰン, 65,国分優, 0.5, 75,* 15, -10, 5, 10.2, ①①
 6,15,Ｊシゲルタウエマツリ, 48,酒井学, 1.6, 51,  -1,  -9,15,338.7, ⑨⑦, 6, 6,Ｆニホンピロバロン, 73,秋山真, 2.1, 62,   4,   2, 6, 24.9,⑨⑧⑧, 6, 3,Ｇトｰセンアｰネスト, 63,酒井学, 1.3, 60,*  1, -16, 7, 59.8,①①①, 6,11,Ａホッコｰアムｰル, 78,秋山真, 0.5, 71,   4,*  5, 7, 14.3, ⑫⑫
 7,13,Ｅショウナンラｰジャ, 58,池添謙, 1.6, 54,*  4, -14, 3,  4.2, ②②, 7, 9,Ｉミッキｰボクサｰ, 65,幸英明, 2.1, 63,   8,  -2, 7, 34.0,④④④, 7, 7,Ｆブロウユアマインド, 64,シュタ, 1.6, 59,   0, -15, 6,  7.5,⑦⑥⑥, 7, 8,Ｌラｰストチカ, 68,幸英明, 0.7, 71,   5,   1, 6, 11.2, ⑩⑩
 8,12,Ｃメイショウアライソ, 62,武豊  , 1.7, 48,  -5,  -6, 7, 20.7, ⑬⑩, 8, 8,Ｊニジノハヤテ, 62,小坂忠, 2.6, 59,   4,  -2,10, 78.4,⑦⑦⑦, 8, 8,Ｈテイエムフタエマル, 50,岡田祥, 4.8, 41,*  1, -65, 8,103.7,②②②, 8,13,Ｍラインロバｰト, 66,古川吉, 0.8, 69,   2,   4,14,187.4, ⑬⑭
 9, 9,Ｉナムラジョフレ, 49,藤岡康, 1.8, 50,   0, -10,11, 68.9, ⑧⑨, 9,10,Ｃインテグラｰド, 75,藤田伸, 3.0, 59,   3,  -3, 2,  5.4,⑧⑨⑩,,,,,,,,,,,,, 9,10,Ｋゼンノコリオリ, 71,武幸四, 0.8, 68,   1,*  5,13, 64.3, ⑭⑬
10, 6,Ｆケンブリッジデイズ, 56,三津谷, 2.0, 47,  -4,  -7, 9, 30.4, ⑩⑭,10, 2,Ｈヴァルティカル, 67,古川吉, 3.3, 55,   5,  -8, 9, 67.7,⑤⑥⑥,,,,,,,,,,,,,10,14,Ｇトシザキミ, 74,義英真, 0.9, 69,  10,  -8, 8, 17.8, ⑥⑥
11, 5,Ｎイチバンクジ, 34,小林徹, 2.4, 46,  -1, -14,16,438.6, ⑦⑧,,,,,,,,,,,,,,,,,,,,,,,,,11, 9,Ｆビットスタｰダム, 74,太宰啓, 0.9, 68,   6,  -3,12, 59.3, ⑪⑪
12, 8,Ｄシｰクロム, 59,義英真, 2.5, 42,  -4, -12,12,100.5, ⑪⑫,,,,,,,,,,,,,,,,,,,,,,,,,12, 6,Ｂスピリットレイク, 78,酒井学, 0.9, 70,* 12, -12, 9, 22.0, ②②
13,10,Ｋメイケイヘリオス, 46,藤田伸, 2.6, 44,*  4, -23, 6, 14.1, ①①,,,,,,,,,,,,,,,,,,,,,,,,,13,12,Ｅナムラマサシゲ, 75,シュタ, 1.3, 64,  11, -16, 1,  4.2, ④④
14,11,Ｍロｰプアドｰプ, 35,田中健, 2.6, 42,  -4, -13,13,111.0, ⑫⑪,,,,,,,,,,,,,,,,,,,,,,,,,14, 5,Ｈマイネノンノ, 74,和田竜, 1.4, 64,   9, -13,10, 24.8, ⑧⑧
15, 4,Ｌキタサンサイモン, 40,岩崎翼, 2.9, 40,  -8, -11,14,293.0, ⑮⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16, 1,Ｏティｰエスナイン, 23,太宰啓, 6.4, 19,  -7, -43,10, 59.9, ⑭⑮,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+2 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:71 ﾚｰｽﾍﾟｰｽ指数:-2 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:稍重(指数:5),,,,,,,,,,,,ｸﾗｽ上位平均:77 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:5),,,,,,,,,,,
単勝:290円 複勝:16=160円 03=140円 14=270円 枠連:490円,,,,,,,,,,,,単勝:890円 複勝:01=170円 03=110円 04=140円 枠連:640円,,,,,,,,,,,,単勝:320円 複勝:04=120円 02=160円 06=130円 枠連:0円,,,,,,,,,,,,"単勝:750円 複勝:03=280円 02=690円 01=180円 枠連:6,700円",,,,,,,,,,,
馬連:490円 ワイド:03-16=280円 14-16=970円 03-14=820円,,,,,,,,,,,,馬連:710円 ワイド:01-03=240円 01-04=540円 03-04=200円,,,,,,,,,,,,"馬連:1,450円 ワイド:02-04=430円 04-06=200円 02-06=360円",,,,,,,,,,,,"馬連:15,950円 ワイド:02-03=3,030円 01-03=660円 01-02=2,540円",,,,,,,,,,,
"馬単:930円 3連複:3,060円 3連単:11,110円",,,,,,,,,,,,"馬単:2,380円 3連複:1,150円 3連単:10,800円",,,,,,,,,,,,"馬単:2,190円 3連複:1,060円 3連単:6,500円",,,,,,,,,,,,"馬単:24,610円 3連複:18,130円 3連単:142,800円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
