15年 7月19日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 7月19日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  ダ1400m 3歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ｼﾝｶﾞﾎﾟｰﾙﾀｰﾌｸﾗﾌﾞ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ａレッドカｰペット, 66,パｰト,, 60,*  7,  -6, 1,  1.5, ①①, 1,15,Ｈヘイムダル, 56,川須栄,, 62,* 13,  -6, 4, 10.4,①①①, 1, 8,Ａダイリュウキセキ, 77,秋山真,, 73,  11,*  1, 1,  3.3, ⑤④, 1, 7,Ｇポセイドンバロｰズ, 74,秋山真,, 77,   7,*  9,11, 46.1,⑧⑨⑥
 2, 3,Ｆマディディ, 40,川須栄, 0.4, 55,   4,* -4, 5, 15.6, ③③, 2, 4,Ｃエバｰハｰモニｰ, 61,ルメｰ, 0.0, 64,   8,   4, 3,  5.4,⑤⑥④, 2,15,Ｎグリュｰヴァイン, 62,川須栄, 0.6, 70,* 13,  -7, 9, 45.4, ③②, 2,14,Ｄアトム, 77,パｰト, 0.1, 77,   4,* 12, 2,  3.7,⑪⑩⑪
 3, 9,Ｇウインクレド, 38,和田竜, 0.7, 52,   4,  -8, 3,  7.1, ④④, 3, 5,Ｋアングライフェン, 52,北村友, 0.0, 64,   8,   4, 6, 13.8,⑥④⑤, 3, 2,Ｆグラッブユアコｰト, 69,福永祐, 0.8, 67,  10,  -5, 4,  6.7, ⑥⑥, 3, 3,Ｉハドソンヤｰド, 74,酒井学, 0.1, 74,* 10,   0, 9, 32.6,①①①
 4, 4,Ｂエキドナ, 52,福永祐, 0.7, 49,  -2,* -2, 2,  6.2, ⑤⑦, 4,12,Ａエイシンサブウェイ, 63,和田竜, 0.1, 64,   7,   4, 1,  2.9,④⑤⑥, 4, 9,Ｄクレアドｰル, 73,パｰト, 0.8, 66,   9,  -3, 3,  6.6, ⑧⑦, 4, 6,Ｃキングストｰン, 79,ルメｰ, 0.3, 73,*  8,   2, 1,  3.3,⑤④④
 5,10,Ｄマｰブルフレンテ, 43,松山弘, 0.9, 49,   1,  -8, 4,  7.3, ⑦⑥, 5, 8,Ｇエイシンタルトゥ, 57,松若風, 0.4, 60,   2,*  8,10, 33.5,⑫⑪⑪, 5,14,Ｋレッドフェザｰ, 65,幸英明, 0.8, 67,   8,* -2, 6, 11.1, ⑫⑪, 5, 8,Ｌレｰヴデトワｰル, 71,鮫島克, 0.4, 73,   7,   4, 6, 21.1,⑦⑦⑦
 6, 7,Ｉサトノベリｰニ, 35,川島信, 1.5, 42,  -2, -11, 7, 32.4, ⑧⑧, 6, 7,Ｂピｰスオブジャパン, 63,藤岡佑, 0.4, 60,   3,*  7, 2,  3.5,⑨⑩⑨, 6,16,Ｂハッピｰロングラン, 74,北村友, 0.9, 66,   8,* -2, 7, 14.8, ⑩⑩, 6, 4,Ｊバンザイ, 72,藤岡佑, 0.5, 70,*  8,  -3,12, 66.2,②②②
 7, 2,Ｃツイセキシャ, 49,松若風, 1.9, 36,  -4, -13, 8,115.7, ⑨⑨, 7,10,Ｅツジスｰパｰサクラ, 58,福永祐, 0.5, 57,   5,   1, 8, 23.8,⑦⑦⑧, 7,13,Ｉメイショウルナ, 66,松山弘, 1.1, 64,   7,  -4, 8, 28.7, ⑨⑨, 7, 1,Ｋカレンバッドボｰイ, 71,浜中俊, 0.5, 71,   5,   4, 7, 22.1,⑩⑫⑨
 8, 8,Ｊカシノエイシ,  8,国分優, 2.1, 35,*  6, -30, 9,176.9, ②②, 8,14,Ｉミラクルナイト, 55,太宰啓, 0.6, 56,   9,  -8,14,107.3,③③③, 8, 6,Ｊテイエムゴｰジャス, 66,太宰啓, 1.5, 60,   6,  -7,12, 96.6, ⑬⑫, 8,10,Ｂトｰセンデュｰク, 79,福永祐, 0.6, 71,   6,   3, 3,  3.8,⑫⑧⑩
 9, 6,Ｈブリｰズスズカ, 38,幸英明, 2.1, 35,   0, -22, 6, 24.8, ⑥⑤, 9, 9,Ｆケンブリッジナイン, 58,幸英明, 0.7, 57,* 12, -11, 5, 12.7,②②②, 9, 1,Ｌイイチョ, 65,義英真, 1.6, 61,  12, -14,14,135.8, ④③, 9, 5,Ｆニシノモンクス, 76,高倉稜, 0.6, 71,*  8,  -3,14,106.7,⑥⑥③
10, 5,Ｅヒロノストロング, 42,北村友, 2.1, 35,  -6, -13,10,270.4, ⑩⑩,10,11,Ｄアグネスエンジェル, 58,吉田豊, 0.9, 55,   5,  -4, 7, 22.6,⑪⑧⑦,10, 3,Ｈサンエルピス, 69,鮫島克, 2.0, 55,   4,  -8,15,181.4, ⑮⑮,10,12,Ｍグッドスピリッツ, 70,川須栄, 0.6, 70,*  9,  -3, 8, 22.6,③③⑤
