15年 8月22日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 8月22日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1600m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 7R  芝1000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,苗場特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,11,Ａビｰビｰバｰレル, 53,デムｰ,, 63,*  4,*  4, 1,  2.9, ①①, 1,10,Ｂキｰルコネクション, 65,戸崎圭,, 63,*  4,* -4, 2,  2.8,⑤③③, 1, 5,Ｂシゲルカゼノボン, 60,松岡正,, 61,* -2, -11, 2,  3.4,   , 1, 7,Ｆヤマチョウフェア, 73,石川裕,, 83,  11,   8,12,124.5, ③③
 2, 6,Ｅミネット, 48,北村宏, 0.7, 57,*  3,  -4, 2,  4.1, ②②, 2, 7,Ｄミスタｰビン, 60,和田竜, 0.5, 60,   2,* -5, 5, 13.3,③④④, 2,17,Ｆスティンライクビｰ, 55,デムｰ, 0.0, 56, -13,* -3, 3,  5.2,   , 2, 2,Ｂキタサンサジン, 77,岩田康, 0.2, 79,* 15,   2, 1,  3.1, ①①
 3,12,Ｇアオイサンシャイン, 40,岩田康, 1.2, 49,*  1, -11, 4,  6.8, ⑤④, 3, 2,Ｃアクティブボス, 61,野中悠, 1.0, 57,   0,* -6, 4,  8.0,⑬⑧⑧, 3,13,Ａニシノアンジュ, 74,戸崎圭, 0.4, 52,* -5, -14, 1,  2.2,   , 3,11,Ｄメイショウユメゴゼ, 76,柴田大, 0.7, 75,  10,   3, 2,  4.0, ⑥⑤
 4,10,Ｂファｰタグリｰン, 51,石川裕, 1.2, 49,  -2,  -3, 5,  8.9, ⑧⑨, 4, 3,Ｇダイワバｰス, 56,大野拓, 1.1, 57,   1,  -9, 6, 20.7,⑥⑥⑥, 4,10,Ｉミュゼメルノワｰル, 49,柴田善, 0.5, 49,  -9, -12, 4, 12.0,   , 4,13,Ｉアキノアッパｰ, 73,嘉藤貴, 0.8, 74,   9,   3, 9, 34.5, ⑤⑥
 5,15,Ｄキｰウエスト, 48,戸崎圭, 1.2, 50,  -3,* -2, 3,  5.6, ⑮⑮, 5, 4,Ｊヒルプリンセス, 52,宮崎北, 1.1, 55,*  3, -13,10, 93.7,②②②, 5,18,Ｐラブテンダｰ, 39,柴田大, 0.7, 47,* -7, -17, 9, 40.1,   , 5, 8,Ｃアドマイヤシャドウ, 77,内田博, 0.9, 72,   0,* 11, 4,  7.8, ⑫⑫
 6, 3,Ｑラブリｰアモン, 20,武士沢, 1.3, 53,  -3,  -3,13,240.7, ⑫⑬, 6,13,Ａロｰドメタリック, 66,岩田康, 1.5, 54,   1, -11, 1,  2.5,⑧⑦⑦, 6,16,Ｃケイジｰスワロｰ, 58,伴啓太, 1.0, 41,  -9, -19, 7, 28.3,   , 6, 3,Ｅマｰクスマン, 75,村田一, 1.1, 70,  -1,* 10,10, 61.9, ⑬⑬
 7, 1,Ｆシャイニングアロｰ, 47,木幡初, 1.6, 46,  -4,  -5, 8, 48.4, ⑯⑭, 7,15,Ｅディスコルディア, 59,柴田善, 1.8, 51,*  4, -20, 3,  6.5,①①①, 7, 9,Ｑウォｰタｰリリｰ, 37,嘉藤貴, 1.0, 41, -22, -11,16,331.7,   , 7, 4,Ｇタガノヴェルリｰ, 73,和田竜, 1.1, 72,* 14,  -4, 5,  9.2, ②②
 8, 9,Ｊラインセイラ, 38,松岡正, 1.7, 46,  -1, -12, 6, 11.9, ⑬⑫, 8,12,Ｆサノタイクｰン, 58,伴啓太, 2.2, 51,   2, -20, 9, 69.6,④⑤⑤, 8,15,Ｏシンボリマティス, 40,伊藤工, 1.3, 35, -15, -19,11, 59.3,   , 8, 1,Ａガッサンプレイ, 78,津村明, 1.2, 69,   7,   2, 6, 14.9, ⑦⑦
