15年 5月17日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 5月17日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 7R  芝1400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■10R  ダ1600m 3 歳ｵｰﾌﾟﾝ(混) 別定,,,,,,,出走馬ﾚﾍﾞﾙ:9,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,青竜ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,13,Ａリリｰグランツ, 65,吉田豊,, 60, -10,*  8, 1,  2.5, ⑩⑩, 1, 3,Ｇステラレガｰロ, 49,田中勝,, 63,  -9,*  7, 5,  9.9, ⑮⑬, 1,11,Ａマリオｰロ, 71,戸崎圭,, 74,  -5,* 13, 1,  1.5, ⑬⑬, 1, 4,Ｆノンコノユメ, 79,ルメｰ,, 89,   2,* 27, 5,  7.7, ⑪⑪
 2, 5,Ｄレディゴｰラウンド, 60,柴山雄, 0.1, 58,  -6,   2, 4,  9.9, ④③, 2, 5,Ｄトリノレｰジョ, 59,岩田康, 0.1, 64,*  1,  -6, 3,  5.0, ③④, 2, 1,Ｍファンシｰリシェス, 59,田辺裕, 0.1, 72,  -1,   7, 4, 21.0, ⑧⑧, 2, 3,Ｈアルタイル, 76,蛯名正, 0.1, 88,   4,* 22, 2,  5.1, ③③
 3, 4,Ｃウエバフラッシュ, 61,三浦皇, 0.3, 57,* -6,  -1, 2,  3.8, ②②, 3,14,Ｃコスモカンプ, 63,柴田大, 0.3, 61,*  1, -12, 1,  2.5, ⑤②, 3, 9,Ｂカｰビングパス, 68,柴山雄, 0.3, 69,   3,  -1, 2,  5.2, ⑤⑤, 3, 9,Ａアキトクレッセント, 83,浜中俊, 0.3, 85,*  6,  18, 1,  4.1, ①①
 4, 9,Ｉエスティルンバ, 54,菅原隆, 0.6, 56,  -9,   1,10, 49.0, ⑦⑦, 4, 7,Ｆフクノハイスピｰド, 56,横山典, 0.4, 60,*  3, -14, 6, 20.6, ①①, 4,10,Ｋスペチアｰレ, 59,デムｰ, 0.4, 66,   0,   0, 5, 21.1, ⑦⑦, 4,10,Ｊノボバカラ, 74,武豊  , 0.7, 82,*  5,  15, 4,  5.4, ②②
 5, 6,Ｍハジメノイッポ, 42,丸田恭, 0.7, 53,  -7,  -3,12,141.1, ⑥⑥, 5,11,Ｂクィｰンパレット, 64,石橋脩, 0.4, 60,  -2,  -8, 4,  9.8, ⑦⑦, 5, 7,Ｈアミｰキティア, 64,丸田恭, 0.4, 67,*  4,  -4, 6, 22.1, ④④, 5,12,Ｃトゥルッリ, 81,柴山雄, 1.2, 76,*  5,  12, 6, 12.1, ④④
 6,14,Ｇイロジカケ, 55,嘉藤貴, 0.7, 54,  -9,   0, 8, 37.9, ⑨⑨, 6,15,Ｏボンジュｰルチカラ, 41,和田竜, 0.5, 58,  -1, -10,13,232.3, ④⑤, 6,16,Ｄキングデュナミス, 65,福永祐, 0.6, 67, -10,* 12,12, 53.7, ⑰⑰, 6, 2,Ｄモズライジン, 80,内田博, 1.2, 80,   0,  19, 8, 21.2, ⑫⑫
 7,16,Ｈナゲットレイツ, 54,岩部純, 0.7, 55, -11,*  2, 6, 22.2, ⑪⑪, 7, 6,Ｍレオフラッパｰ, 44,柴田善, 0.7, 54,  -8,* -5, 8, 54.5, ⑫⑪, 7, 6,Ｎプラチナコｰド, 58,浜中俊, 0.6, 64,*  5,  -9,10, 46.9, ②③, 7, 5,Ｂタマノブリュネット, 81,デムｰ, 1.2, 77,   3,  14,10, 27.5, ⑦⑥
 8, 8,Ｂタイセイゴッホ, 62,戸崎圭, 1.3, 48,  -9,  -6, 3,  4.1, ⑧⑧, 8, 4,Ａエクストラペトル, 66,ルメｰ, 0.9, 51,  -6,  -9, 2,  3.1, ⑧⑩, 8,12,Ｊシルヴァｰコｰド, 62,北村宏, 0.6, 66,   0,  -1, 3, 10.1, ⑨⑨, 8, 7,Ｌイｰデンホｰル, 74,吉田豊, 1.4, 76,   2,  14, 3,  5.2, ⑩⑨
