15年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 9月20日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  ダ1200m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝1400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ阪神,,,,,,,,,,,,,,,,,,,,,,,,瀬戸内海特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｂコパノリスボン, 50,岩田康,, 62,* -2,*  4, 1,  2.9, ①①, 1, 2, プレスティｰジオ,---,北村友,, 61,*  1,* -5, 2,  7.2, ①①, 1, 9,Ｅハギノナトゥｰラ, 72,川田将,, 78,*  6,   2, 8, 17.3, ①①, 1, 1,Ｇラッフォルツァｰト, 72,川田将,, 79,   6,   5, 3,  4.9, ⑤④
 2,11,Ｃウインフェルベｰル, 48,川田将, 1.3, 51,* -3,  -6, 2,  3.0, ④③, 2, 1, デピュティスカイ,---,高倉稜, 1.1, 49, -10,* -4, 6, 19.5, ⑧⑦, 2, 3,Ａノミネｰション, 75,ルメｰ, 0.1, 79,  -4,* 11, 7, 16.1, ⑨⑩, 2, 8,Ｄセトノフラッパｰ, 74,古川吉, 0.0, 78,*  9,   3,14, 52.9, ③③
 3,13,Ｄシゲルムロアジ, 46,国分優, 1.4, 49, -11,*  0, 9, 35.4, ⑨⑪, 3, 9, ナナパンチ,---,太宰啓, 1.6, 45,  -9,  -9, 8, 41.8, ⑦⑧, 3,12,Ｊメイショウブイダン, 68,幸英明, 0.1, 79,   3,   5, 1,  4.1, ⑥⑤, 3, 4,Ｃタイセイララバイ, 74,デムｰ, 0.1, 76,*  9,   1, 5,  7.9, ②②
 4, 5,Ｇスナｰクスカイ, 42,鮫島良, 1.5, 50,  -8,  -3, 4, 11.9, ⑩⑥, 4, 7, ダウンフォｰス,---,幸英明, 2.0, 41,  -7, -15, 3,  7.7, ⑥⑥, 4, 8,Ｋエルノルテ, 67,松若風, 0.2, 76,   0,   6, 9, 20.8, ⑤⑦, 4,12,Ｉトウショウピスト, 71,池添謙, 0.1, 77,   4,*  8, 4,  7.1, ⑩⑩
 5, 8,Ｊシゲルクロマグロ, 38,酒井学, 1.7, 47,* -4, -10,14, 89.9, ②②, 5, 8, アロｰフロスト,---,酒井学, 2.2, 41,  -4, -19, 4, 15.3, ④③, 5, 4,Ｉジェントルヴァウ, 69,浜中俊, 0.3, 75,   0,   5, 5, 10.5, ⑦⑥, 5,10,Ｈゴットラウディｰ, 71,松田大, 0.1, 78,   4,*  8, 6, 17.5, ⑨⑨
 6, 2,Ｅヨシオ, 45,福永祐, 1.8, 46,  -7,  -7, 6, 19.3, ⑥⑦, 6, 4, クラップス,---,水口優, 2.2, 42,*  0, -24, 5, 15.6, ②②, 6,13,Ｂタイキラトナンジュ, 73,加藤祥, 0.4, 73,*  5,  -2,11, 23.4, ②②, 6, 7,Ｏテイエムゲッタドン, 67,藤懸貴, 0.2, 77,* 10,  -3, 7, 17.7, ①①
 7,15,Ｐナイスワン, 26,加藤祥, 2.0, 44,  -5, -10, 8, 29.6, ⑤④, 7, 6, カプチｰノコｰスト,---,武豊  , 2.4, 38,  -5, -20, 1,  1.3, ⑤⑤, 7, 2,Ｌイサチルホｰプ, 66,義英真, 0.4, 75,  -7,* 10,13, 38.7, ⑪⑬, 7, 2,Ｂプリンシペアスｰル, 77,柴山雄, 0.2, 77,   4,   7,13, 50.7, ⑧⑧
 8, 3,Ａタガノフォルトゥナ, 51,松山弘, 2.0, 45,  -5, -10, 3,  4.9, ③⑤, 8, 5, シゲルホンダイ,---,加藤祥, 2.5, 37,  -4, -23, 7, 25.5, ③④, 8, 5,Ｆオｰスミチャド, 72,福永祐, 0.5, 72,  -3,   5, 3,  6.3, ⑧⑧, 8, 9,Ｆキタサンエピソｰド, 72,小牧太, 0.3, 76,   2,*  8, 8, 20.3, ⑬⑫
 9,12,Ｈシゲルオキサワラ, 41,鮫島克, 2.0, 44,  -8,  -8,13, 84.4, ⑦⑧, 9, 3, テイエムマイツル,---,義英真, 3.3, 31, -12, -20, 9,152.7, ⑨⑨, 9,10,Ｈアズマクィｰン, 69,岩崎翼, 0.5, 73,  -6,   7,12, 25.4, ⑫⑪, 9,11,Ｅマイアベｰア, 73,ルメｰ, 0.4, 74,   6,   0, 1,  4.4, ⑥⑤
10, 7,Ｋシルバｰゲイル, 34,幸英明, 2.1, 43, -16,* -2,11, 46.2, ⑯⑯,,,,,,,,,,,,,10,14,Ｐテイエムステｰタス, 49,竹之下, 0.5, 73,  -6,   7,16,301.1, ⑬⑫,10, 5,Ｎウイングパラダイス, 68,小林徹, 0.6, 73,  -1,*  8,18,144.8, ⑭⑭
11, 1,Ｆカガフルスロットル, 44,内田博, 2.4, 41, -12,  -7, 5, 15.5, ⑪⑨,,,,,,,,,,,,,11,11,Ｄポップオｰヴァｰ, 73,デムｰ, 0.7, 68,   2,  -3, 2,  4.7, ④④,11,18,Ｊニホンピロディｰル, 69,酒井学, 0.6, 73,   6,  -1,11, 39.3, ⑦⑦
