15年11月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月14日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  ダ1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  芝2200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝2400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,比叡ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 5, 3,Ａトライブキング, 63,アッゼ, 0.6, 60, -11,   9, 2,  4.5,⑥⑤⑤, 5, 7,Ｇマダムウルル, 68,藤岡康, 0.6, 68,   5,*  3, 8, 22.7,⑮⑯⑬, 5, 4,Ｇチｰフアセスメント, 79,武豊  , 0.9, 75,   8,   3, 7, 18.2, ⑦⑧, 5, 9,Ｂアダムズアップル, 74,岩崎翼, 0.3, 72,   7,   1, 3,  7.0, ⑦⑥
 6, 1, オリエンタルポリス,---,酒井学, 1.0, 56, -14,   7, 9, 94.8,⑨⑧⑥, 6,13,Ｍコマノサラサ, 64,幸英明, 0.7, 67,  10,  -8,12, 67.8,⑨⑦⑦, 6, 7,Ｍサトノアビリティ, 71,シュタ, 1.0, 75,   1,* 10,13, 76.3, ⑯⑯, 6,14,Ｆスズカシャｰマン, 70,秋山真, 0.3, 70,   4,*  5, 2,  7.0, ⑪⑫
 7, 4,Ｄゴットロマｰネ, 52,武豊  , 1.5, 47, -12,  -3, 3,  8.8,⑧⑥⑦, 7,12,Ｋデストリアｰ, 64,アッゼ, 0.7, 65,* 16, -20, 4,  9.2,②②②, 7,12,Ｂサウススタｰマン, 80,岩田康, 1.0, 75,   6,   5, 1,  2.6, ⑩⑩, 7, 1,Ｃアドマイヤスパｰズ, 73,北村友, 0.4, 72,* 10,  -4, 6, 10.9, ①①
 8, 7,Ｉキングジャスパｰ,  9,シュタ, 1.6, 50, -15,   2,10, 97.0,⑩⑩⑨, 8, 4,Ｆニシノシュロ, 69,国分恭, 1.4, 61,* 15, -25, 7, 21.6,③③③, 8, 1,Ｈブロｰドソｰド, 78,アッゼ, 1.0, 75,   8,   2,10, 35.9, ⑥⑦, 8, 8,Ｌウインクルミラクル, 64,四位洋, 0.4, 70,   0,*  8, 7, 24.3, ⑭⑬
 9, 9,Ｇマｰガレット, 39,松山弘, 2.1, 44, -13,  -8, 8, 90.9,④⑦⑧, 9, 6,Ｉナリタノヘア, 65,浜中俊, 1.6, 61,  10, -15, 6, 20.7,⑪⑧⑧, 9, 5,Ｅフォンタネットポｰ, 79,幸英明, 1.2, 73,* 11,  -4, 2,  5.6, ①①, 9, 5,Ｉハトマｰクエｰス, 69,小牧太, 0.8, 68,   4,   1, 5,  8.8, ⑫⑩
10, 6,Ｆエスカラｰド, 40,岩田康, 2.9, 34, -13, -17, 6, 27.4,⑦⑨⑩,10,10,Ｎパヴェダイヤモンド, 62,北村友, 1.6, 60,   8, -12, 9, 58.3,⑭⑨⑨,10,16,Ｆロｰドヴォルケｰノ, 79,和田竜, 1.2, 74,   2,   8, 8, 20.9, ⑮⑮,10,12,Ｊジャズコンボ, 64,森一馬, 1.0, 67,   4,  -1,15,140.6, ⑩⑪
,,,,,,,,,,,,11, 2,Ｏメイショウヒマワリ, 56,酒井学, 2.0, 59,   6, -12,13,101.8,⑯⑫⑪,11, 8,Ｄラテンロック, 79,浜中俊, 1.3, 72,   4,   4, 5,  9.0, ⑫⑫,11,16,Ｋアリエスジュｰゴｰ, 64,鮫島良, 1.0, 67,   2,   1,13, 70.9, ⑬⑮
,,,,,,,,,,,,12, 1,Ｄサンレイフロｰラ, 69,岩崎翼, 2.0, 59,  11, -21,11, 66.8,⑥⑥⑥,12, 6,Ｋスランジバｰル, 74,太宰啓, 1.4, 73,   3,   5,14,101.0, ⑭⑭,12,10,Ｄダンスｰルクレｰル, 72,岩田康, 1.2, 65,   6,  -5, 9, 29.3, ⑨⑨
,,,,,,,,,,,,13,11,Ｐメイショウロッソ, 44,鮫島良, 2.1, 61,   5, -10,16,336.5,⑦⑭⑭,13,15,Ｌエルフショット, 73,岩崎翼, 1.8, 69,   6,  -2,15,166.4, ⑪⑪,13,13,Ｅビタミンエｰス, 72,藤岡康, 1.3, 62,   0,   0,12, 56.9, ⑮⑭
,,,,,,,,,,,,14,14,Ｊアグリナデシコ, 65,和田竜, 2.4, 56,   7, -15,15,272.8,⑬⑬⑫,14, 3,Ｏニホンピロサンダｰ, 69,酒井学, 2.4, 64,   6,  -8,12, 75.3, ⑨⑨,14, 2,Ｍブルｰガｰディアン, 63,酒井学, 1.7, 61,   9, -14,14,128.8, ④④
,,,,,,,,,,,,15, 5,Ｈポリアフ, 65,小牧太, 3.7, 49,   5, -25, 5, 19.4,⑤⑪⑮,15,13,Ｐトワエモア, 69,武幸四, 2.4, 65,   9, -11,16,179.2, ⑤④,15,11,Ｐアグリデジタル, 39,柴田未, 4.4, 40,  -4, -18,16,235.3, ⑯⑯
,,,,,,,,,,,,16,15,Ｌワンダｰテルヌｰラ, 64,太宰啓, 4.2, 47,   5, -27,14,232.0,⑧⑮⑯,16,11,Ｊヨウライフク, 74,北村友, 2.4, 63,   8, -11,11, 67.3, ④⑥,16,15,Ｏフロイデシュｰネル, 59,松山弘, 4.9, 36,   8, -40,11, 48.1, ⑥⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:稍重(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:+7 ﾚｰｽｱｶﾞﾘ指数:-16 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-3 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:稍重(指数:-4),,,,,,,,,,,
単勝:140円 複勝:02=110円 05=160円 08=220円 枠連:680円,,,,,,,,,,,,"単勝:6,310円 複勝:09=1,110円 08=110円 16=160円 枠連:2,070円",,,,,,,,,,,,"単勝:2,330円 複勝:10=560円 02=320円 14=240円 枠連:2,910円",,,,,,,,,,,,"単勝:2,900円 複勝:07=660円 06=680円 03=130円 枠連:4,410円",,,,,,,,,,,
馬連:660円 ワイド:02-05=260円 02-08=350円 05-08=950円,,,,,,,,,,,,"馬連:4,610円 ワイド:08-09=1,340円 09-16=3,680円 08-16=270円",,,,,,,,,,,,"馬連:8,900円 ワイド:02-10=2,940円 10-14=1,780円 02-14=1,100円",,,,,,,,,,,,"馬連:37,870円 ワイド:06-07=10,850円 03-07=1,540円 03-06=1,490円",,,,,,,,,,,
"馬単:800円 3連複:2,000円 3連単:4,580円",,,,,,,,,,,,"馬単:15,100円 3連複:6,790円 3連単:97,290円",,,,,,,,,,,,"馬単:22,370円 3連複:17,080円 3連単:162,290円",,,,,,,,,,,,"馬単:72,590円 3連複:34,370円 3連単:370,900円",,,,,,,,,,,
,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,,,※同着があったレｰスの払戻情報はスペｰスの関係上､同着分を省略しています｡,,,,,,,,,,,,,,,,,,,,,,
,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,,,※結果･払戻は必ず主催者発表のものと照合･確認して下さい｡,,,,,,,,,,,,,,,,,,,,,,
