15年10月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月11日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝3170m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  ダ1800m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  芝1800m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,清滝特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 1,Ｂグランジャｰ, 61,浜中俊,, 57,   2,* -5, 2,  2.7,④④③, 1, 8, ヒルノマドリｰド,,西谷誠,,,,, 1,  2.0,①①①, 1, 7,Ａモズスタｰ, 75,義英真,, 81,* 12,*  3, 1,  2.8,①①①, 1, 7,Ｆタイセイアプロｰズ, 72,松山弘,, 80,   5,  11, 1,  3.4, ②②
 2, 3,Ｃドリｰムフォｰ, 49,小牧太, 0.7, 55,   1,* -7, 3, 11.5,⑩⑧⑤, 2, 4, ダンツメガヒット,,小坂忠,212.7,,,, 3,  7.2,⑤③③, 2, 1,Ｄタイマツリ, 72,和田竜, 0.0, 83,   7,* 14, 7, 12.7,⑩⑪⑤, 2, 1,Ａブランドベルグ, 76,松田大, 0.3, 78,   1,* 14, 2,  3.7, ③④
 3, 7,Ｍアｰクマイニング, 27,国分恭, 1.0, 51,*  5, -18, 6, 32.2,①①①, 3, 5, ダンツミュｰタント,,森一馬,212.7,,,, 2,  4.7,④⑤④, 3, 3,Ｊアｰスシンフォニｰ, 68,太宰啓, 2.2, 68,   8,  -8, 8, 15.5,⑪⑨⑩, 3, 8,Ｄラディウス, 73,浜中俊, 0.6, 74,   1,  11, 3,  3.8, ⑤⑤
 4, 6,Ａデュｰズワイルズ, 61,松山弘, 1.3, 50,*  3, -17, 1,  1.7,⑤③④, 4, 1, メイショウセイウン,,植野貴,213.0,,,, 7, 19.1,⑥⑦⑥, 4, 4,Ｅフィｰルドリアン, 71,秋山真, 2.3, 64,   7,  -5, 6, 10.2,⑫⑫⑫, 4, 9,Ｊヒロノプリンス, 67,和田竜, 0.8, 73,   2,   5, 7, 22.7, ④③
 5,13,Ｇテイエムハｰトダン, 43,加藤祥, 1.5, 47,*  4, -21,13,298.2,③②②, 5, 6, ワｰルドマッチ,,林満明,213.2,,,, 6, 10.8,③②②, 5,10,Ｇオイルタウン, 70,水口優, 2.4, 66,   8,  -9, 2,  7.2,⑧⑩⑪, 5, 4,Ｅアドマイヤツヨシ, 72,藤岡康, 0.8, 74,  -2,* 14, 5, 10.8, ⑨⑧
 6,12,Ｊクイｰンオブスカイ, 35,和田竜, 2.3, 43,  -1, -18,10, 55.4,⑧⑨⑧, 6,10, グリッタｰウイング,,平沢健,213.3,,,, 5,  9.3,⑦⑥⑤, 6, 8,Ｌビクトリｰミノル, 61,藤岡康, 2.5, 65,   6,  -5,11, 27.9,⑬⑭⑭, 6, 5,Ｂディｰプウェｰブ, 74,鮫島克, 0.9, 74,  -3,* 16, 6, 16.1, ⑩⑩
 7, 4,Ｋタイセイフラム, 34,幸英明, 3.0, 40,  -3, -18,11, 84.2,⑬⑬⑬, 7, 2, ドクタｰルキア,,浜野谷,214.2,,,, 9, 94.2,⑧⑧⑧, 7, 6,Ｆゲｰムフェイス, 71,幸英明, 2.6, 63,* 11, -18, 9, 18.3,⑨③③, 7, 3,Ｈキンショｰタイム, 68,川須栄, 1.1, 69,  -2,  10,10,158.0, ⑦⑦
 8, 5,Ｅマイネルブランブル, 44,松若風, 3.7, 36,   1, -36, 7, 37.8,⑫⑤⑦, 8, 9, カシノデュｰク,,蓑島靖,214.9,,,, 8, 62.1,⑨⑨⑨, 8,11,Ｍミスタｰベアｰ, 52,高倉稜, 2.8, 64,  10, -18,14,264.5,③④④, 8, 6,Ｇメラグラｰナ, 69,松若風, 1.1, 67,  -2,   8, 4,  5.1, ⑧⑨
