15年10月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年10月 3日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  ダ1400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 7R  芝2400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■10R  芝1200m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,芦屋川特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,10,Ａキョウエイギア, 62,中谷雄,, 66,*  8,* -3, 3,  5.3,⑥④②, 1,10,Ａエイシンパライソ, 63,デムｰ,, 65,*  5,  -6, 1,  3.3, ①①, 1,10,Ａシュヴァルグラン, 85,福永祐,, 88,  -1,* 29, 1,  1.6,⑤⑤⑤, 1, 6,Ｉエリｰティアラ, 72,デムｰ,, 82,* 13,  -2, 9, 17.8, ②③
 2,11,Ｊラニ, 35,武豊  , 0.8, 62,   2,*  2, 1,  3.0,⑮⑫⑦, 2,13,Ｉトレジャｰステイト, 51,佐藤友, 0.2, 64,*  2,  -3, 8, 21.9, ②②, 2,12,Ｏミッキｰポｰチ, 65,デムｰ, 0.3, 83,*  0,  24, 3, 11.1,⑨⑧⑦, 2,15,Ｎトシザキミ, 67,川田将, 0.1, 80,   9,   1,12, 28.8, ⑦⑤
 3, 1,Ｉアメリカンイナズマ, 39,ルメｰ, 1.1, 59,*  9, -13, 2,  4.0,①①①, 3, 7,Ｇインソムニア, 59,松若風, 1.2, 56,  -6,  -1,10, 59.6, ⑧⑪, 3, 5,Ｂチャパラ, 75,太宰啓, 0.6, 86,  -4,* 29, 2,  5.1,⑬⑬⑭, 3, 8,Ｇモズハツコイ, 72,浜中俊, 0.2, 75,   3,*  6, 3,  8.4, ⑩⑧
 4, 2,Ｂタイセイブルグ, 54,松若風, 1.8, 56,*  8, -18, 4,  7.8,②②③, 4, 4,Ｋニシノアウリイ, 44,松田大, 1.3, 56,   1, -11,12, 76.3, ④④, 4, 1,Ｆアドマイヤウイング, 71,川田将, 0.7, 79,*  0,  17,11, 68.0,③③③, 4,10,Ｊダイヤモンドハイ, 71,ルメｰ, 0.3, 76,   7,   1, 4, 12.1, ⑨⑥
 5,14,Ｇタイセイエクレｰル, 42,福永祐, 2.5, 49,   5, -17,10, 32.2,⑦⑥⑤, 5,14,Ｎブレスオブファイア, 40,鮫島克, 1.4, 54,   0, -11,11, 67.4, ⑤⑤, 5, 4,Ｄダブルイｰグル, 72,鮫島克, 0.8, 83,  -4,* 27,14, 89.1,⑩⑩⑬, 5, 5,Ｂサンシカゴ, 75,菱田裕, 0.3, 73,  -1,*  9, 8, 16.8, ⑫⑬
 6, 4,Ｈウインウェルス, 40,国分恭, 2.6, 52,  -1,  -7,16,348.9,⑫⑭⑬, 6, 3,Ｊトリンカファイブ, 47,国分優, 1.6, 52,  -7,  -3, 9, 58.5, ⑬⑨, 6,15,Ｊミコラソン, 69,武豊  , 0.8, 77,*  0,  15, 6, 22.3,④④④, 6, 7,Ａロｰレルベロｰチェ, 76,中井裕, 0.4, 80,* 16, -10, 6, 14.0, ①①
 7,16,Ｏヴェゼｰル, 29,岩崎翼, 2.7, 50,   2, -14, 6, 15.4,⑪⑩⑩, 7, 6,Ｌサンガッロ, 43,幸英明, 1.6, 53,*  2, -14, 4,  7.4, ③③, 7,11,Ｐアンバｰグリスキｰ, 63,ルメｰ, 0.9, 77,*  0,  15, 5, 18.1,⑦⑥⑥, 7, 3,Ｅメイショウゲンブ, 73,小牧太, 0.5, 70,  -5,* 10,10, 28.4, ⑭⑮
 8, 3,Ｌミラクルユニバンス, 33,和田竜, 2.8, 50,   5, -19,14,246.2,⑤⑦⑥, 8, 5,Ｄエルラディユｰ, 62,小牧太, 1.8, 51, -14,*  3, 2,  4.4, ⑭⑭, 8, 2,Ｅウインレｰベン, 71,松山弘, 0.9, 75,*  2,  10, 7, 25.8,①①①, 8, 4,Ｋテイエムゲッタドン, 70,藤懸貴, 0.5, 74,   5,  -1, 7, 16.1, ⑥⑩
