15年 7月19日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 7月19日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 4R  芝2770m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝2600m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1150m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鶴ヶ城特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｈキャラメルサレ, 38,野中悠,, 47,* -4,  -4, 6, 15.8, ①①, 1, 9, トｰセンハナミズキ,,小野寺,,,,, 2,  4.0,⑦①①, 1, 2,Ｂウインスペクトル, 64,内田博,, 61,*-11,*  4, 2,  4.2,⑤③③, 1, 4,Ｇキンシザイル, 75,オｰル,, 72,  -1,* 10, 9, 47.5, ⑥⑥
 2,12,Ｂフレンドソング, 53,北村宏, 0.2, 46,* -4,  -6, 4,  7.7, ③②, 2, 7, アイティテイオｰ,,浜野谷,183.6,,,, 1,  2.0,⑤②②, 2,13,Ａジュンファイトクン, 69,戸崎圭, 0.2, 57,*-10,  -1, 1,  2.7,④②②, 2,12,Ｂエイシンロｰリン, 79,津村明, 0.0, 72,*  9,   2, 6,  9.5, ②②
 3, 9,Ｅソニックタイガｰ, 41,津村明, 0.4, 41, -12,* -2, 9, 48.5, ⑧⑥, 3, 6, プラスワン,,草野太,184.1,,,, 5, 11.5,⑧⑤④, 3,10,Ｆレッドサヴァｰジ, 60,蛯名正, 0.4, 58, -13,   1, 5,  8.7,⑪⑥⑤, 3,11,Ｄスマｰトアヴァロン, 77,蛯名正, 0.0, 72,  -1,* 10, 1,  3.0, ⑦⑦
 4, 3,Ｃスリラｰインマニラ, 47,内田博, 0.4, 42,  -8,  -5, 1,  3.4, ⑥④, 4, 4, コクシブルｰス,,大江原,185.3,,,, 7, 31.9,①③③, 4, 1,Ｇマイネルヘルック, 59,柴田大, 0.5, 63, -14,*  9, 4,  8.6,⑨⑩⑨, 4, 5,Ｌラピダメンテ, 68,北村宏, 0.4, 69,   4,   2, 3,  6.8, ⑤⑤
 5, 5,Ｇテンプルツリｰ, 39,嘉藤貴, 0.5, 41,  -7,  -8, 3,  5.3, ④⑤, 5, 8, ポｰルシッタｰ,,石神深,186.4,,,, 6, 12.5,⑨⑦⑦, 5, 8,Ｃニシノインシュアラ, 63,柴田善, 0.6, 58, -13,   3, 3,  4.9,⑥⑧⑦, 5,14,Ｆヒカリマサムネ, 76,石橋脩, 0.5, 68,*  8,  -2, 8, 20.8, ④④
 6, 4,Ｉマイネルテイル, 37,柴田大, 0.6, 40, -15,* -2, 5, 10.6, ⑩⑩, 6, 3, コスモパトラ,,山本康,187.0,,,, 4,  7.6,⑥⑧⑧, 6,14,Ｌポッドクライ, 49,横山和, 0.8, 48,*-10, -10,14,199.7,②①①, 6,15,Ｊヒカルランナｰ, 72,石神深, 0.6, 66,  -4,   7,10, 48.8, ⑨⑨
 7, 8,Ａタネホカホカ, 56,江田照, 0.7, 37, -11,  -7, 2,  3.6, ⑨⑦, 7, 5, サトノヒｰロｰ,,五十嵐,188.3,,,, 3,  6.9,④⑥⑥, 7,12,Ｅサウスポｰルツアｰ, 61,松岡正, 0.8, 57, -12,  -1, 8, 32.3,①⑦⑥, 7,16,Ｃタッチシタイ, 78,戸崎圭, 0.6, 66,  -4,   7, 2,  5.1, ⑩⑩
 8, 1,Ｍシゲルナガイワシ, 17,横山和, 0.7, 37,  -8,  -9,12,206.5, ⑤⑨, 8, 1, フリメｰル,,原田和,188.5,,,, 9, 64.1,③④⑤, 8, 4,Ｄキジャナ, 62,石橋脩, 1.3, 53, -14,  -3, 6, 14.2,⑩⑪⑩, 8, 8,Ｈシュナップス, 73,内田博, 0.7, 65,  -8,* 10, 7, 13.0, ⑫⑫
