15年12月 6日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年12月 6日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■ 4R  芝1800m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ1200m 2 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■10R  芝1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,市川ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 5,Ｇブロワ, 48,西村太,, 64,*  5,  -8, 7, 25.4, ①①, 1,12,Ｂフロンテアクイｰン, 60,蛯名正,, 66,   8,* -3, 4,  7.6,⑦⑥⑤, 1, 9,Ｄスリラｰインマニラ, 58,石川裕,, 72,   4,*  6, 1,  2.7, ⑦⑦, 1, 3,Ｄダイワリベラル, 81,横山典,, 89,   2,* 21, 3,  6.5,⑦⑥⑦
 2, 4,Ｋエメラルドクイｰン, 41,江田照, 0.3, 57,  -5,*  0,10, 66.6, ⑬⑫, 2,13,Ａグリントオブライト, 65,ベリｰ, 0.2, 65,   2,*  4, 2,  3.5,⑬⑬⑫, 2,11,Ｃビｰビｰサレンダｰ, 59,伊藤工, 0.0, 72,   9,   2, 4, 11.4, ④⑤, 2, 2,Ｉペイシャフェリス, 78,柴山雄, 0.0, 86,*  8,  11, 5,  9.4,①①①
 3,16,Ｃタイトルリｰフ, 54,三浦皇, 0.4, 58,   1,  -7, 2,  3.4, ⑦⑦, 3, 8,Ｅルｰレットクイｰン, 54,井上敏, 0.2, 61,* 12, -15, 3,  5.7,①①①, 3, 7, ユアザスタｰ,---,戸崎圭, 1.1, 57,  -7,*  7, 7, 20.4, ⑭⑭, 3, 7,Ｂマイネルメリエンダ, 84,柴田大, 0.0, 88,*  5,  15, 1,  4.0,②③③
 4,15,Ｂフレッシュギャル, 55,田辺裕, 0.7, 54,  -2,  -7, 3,  5.9, ⑪⑩, 4,16,Ｇジェラシｰ, 52,横山典, 0.3, 62,   5,* -4, 1,  3.1,⑪⑩⑩, 4,10,Ｂシゲルサケガシラ, 65,田辺裕, 1.3, 62,* 11, -11, 3,  6.8, ③②, 4, 4,Ｎマリオｰロ, 74,戸崎圭, 0.2, 86,  -1,* 21, 6, 12.3,⑧⑧⑧
 5,10,Ｆルルインザレイン, 51,蛯名正, 1.0, 53,   0, -11, 4, 13.8, ⑩⑧, 5, 2,Ｋミライヘノサイン, 49,石川裕, 0.7, 56,*  9, -18, 9, 33.5,②②②, 5, 8,Ｈリネンソング, 53,柴田大, 1.3, 59,   3,  -4,12,101.5, ⑧⑩, 5, 8,Ｆチェリｰヒロイン, 80,田中勝, 0.2, 87,   4,  15,13, 54.0,⑤⑤⑤
 6,13,Ａクリプトスコｰド, 61,戸崎圭, 1.0, 53,   1, -13, 1,  2.1, ⑥⑥, 6, 3,Ｉプロイエット, 50,松岡正, 0.9, 57,   5, -12, 5, 11.1,⑥⑧⑦, 6, 6,Ｅアｰバンスタｰ, 58,柴田善, 1.4, 57,   2,  -4, 5, 13.4, ⑩⑨, 6,11,Ｃクラウンレガｰロ, 83,江田照, 0.3, 82,*  6,   9, 7, 14.9,③②②
 7,12,Ｌサトノアイリ, 41,丸田恭, 1.3, 52,   3, -16, 8, 32.2, ③③, 7, 6,Ｃスワンナプｰム, 58,柴田大, 1.0, 55,   7, -19, 6, 14.0,④④④, 7,13,Ｆマカｰオｰン, 56,勝浦正, 1.5, 55,  -1,  -2,10, 29.9, ⑫⑫, 7, 5,Ａオコレマルｰナ, 84,ベリｰ, 0.4, 88,  -5,* 25, 2,  4.2,⑫⑬⑫
 8, 3,Ｄニケトップラン, 54,田中勝, 1.4, 50,   2, -16, 5, 18.6, ⑤⑤, 8,10,Ｆジェネスロｰズ, 52,戸崎圭, 1.1, 55,   4, -10,11, 46.5,⑫⑪⑬, 8, 1,Ａタイセイラルｰナ, 68,蛯名正, 1.7, 57,   7, -11, 2,  3.0, ⑤④, 8,14,Ｅカフェリュウジン, 81,丸山元, 0.5, 81,   2,  12,12, 52.2,⑥⑦⑥
 9,11,Ｏアムｰルブラン, 34,木幡初, 1.7, 44,  -6, -12, 6, 18.8, ⑭⑮, 9,11,Ｄラッキｰペニｰ, 58,柴田善, 1.2, 51,* 10, -27, 7, 22.2,③③③, 9, 2,Ｍデルマオカル, 42,横山和, 1.8, 54,   2,  -8,11, 85.8, ⑨⑧, 9, 1,Ｈカバｰストｰリｰ, 79,三浦皇, 0.5, 85,  -2,  19, 8, 16.0,⑪⑩⑩
10, 9,Ｈベｰジョ, 45,丹内祐, 2.2, 42,   0, -22,11, 83.3, ⑧⑨,10, 5,Ｎバｰクレアヴィガ, 37,吉田豊, 1.5, 51,   5, -20,15,521.6,⑨⑨⑨,10, 3,Ｋハタノインサイト, 46,田中勝, 1.9, 52,   0,  -6, 9, 27.7, ⑪⑪,10,12,Ｇウインフェニックス, 80,蛯名正, 0.5, 81,*  5,   8, 4,  7.4,④④④
11, 1,Ｅデルマオイチ, 52,木幡初, 2.3, 43,   2, -24,13,119.0, ④④,11, 1,Ｊカリスマフォンテン, 50,田辺裕, 1.6, 49,   1, -12, 8, 30.5,⑭⑭⑭,11, 4,Ｇキャラメルサレ, 54,西村太, 2.2, 49,  -3,  -6,14,233.2, ⑬⑬,11,15,Ｋサトノキングリｰ, 77,吉田豊, 0.8, 80,  -1,  12,10, 37.3,⑨⑨⑨
