15年 7月11日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 7月11日 函館,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1200m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  ダ1700m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:11,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,立待岬特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ａメジェルダ, 69,四位洋,, 66,* -2,   1, 1,  1.4, ①①, 1, 6,Ｉサトノコスミック, 55,古川吉,, 63,*  2,  -1, 7, 34.7,③⑤③, 1, 3,Ｈサトノファンタス, 57,四位洋,, 72,   3,*  8, 9, 26.2,⑫⑬⑪, 1,11,Ｃヴァイサｰリッタｰ, 64,黛弘人,, 73,* -3,   9, 1,  2.5, ①①
 2, 6,Ｂブルｰオリエント, 61,岩田康, 0.5, 59,* -3,  -4, 2,  4.4, ②②, 2,11,Ａクロイツェル, 71,丸山元, 0.0, 65,  -2,*  5, 1,  2.8,⑬⑪⑨, 2, 9,Ｍエアシｰラン, 43,松田大, 0.2, 69,   7,  -3,12, 67.6,⑦⑦⑥, 2, 5,Ａダイワプロパｰ, 66,岩田康, 0.1, 72,  -9,* 12, 2,  2.5, ③③
 3, 8,Ｃクロコスミア, 51,勝浦正, 0.7, 59, -13,*  4, 4, 19.7, ⑨⑨, 3, 7,Ｆロｰレルウラノス, 58,柴山雄, 0.0, 61,*  1,  -2, 6, 22.9,⑥④⑤, 3, 5,Ａパｰフェクトビュｰ, 64,柴山雄, 0.2, 66,   8,  -7, 1,  2.5,⑤④③, 3, 9,Ｄエクシｰドリミッツ, 63,三浦皇, 0.3, 69,* -6,   7, 3,  7.4, ②②
 4,10,Ｅボｰダレス, 50,吉田隼, 0.8, 56, -14,*  2, 6, 29.1, ⑧⑥, 4,10,Ｄワｰルドレジェンド, 62,岩田康, 0.2, 61,*  3,  -5, 2,  3.8,②②②, 4, 4,Ｅマイネルプロンプト, 60,丹内祐, 0.2, 65,* 10, -10, 3,  6.3,②②②, 4, 7,Ｈイスルギ, 60,藤田伸, 0.4, 69, -10,  10, 7, 29.8, ④④
 5, 3, マダムクレアシオン,---,藤岡康, 0.9, 54, -10,  -3, 3,  7.2, ⑤④, 5,13,Ｃカラｰラビアンコ, 64,池添謙, 0.9, 57,*  2, -10, 3,  4.6,④③④, 5, 2,Ｄエドノジョンソン, 60,荻野琢, 0.2, 66,* 12, -14, 4,  9.6,①①①, 5, 4,Ｅデンコウウノ, 63,古川吉, 0.8, 64, -15,  10, 5, 12.9, ⑩⑧
 6, 7,Ｆスウィｰティｰ, 47,黛弘人, 1.3, 50,  -7, -10, 7, 80.2, ④⑤, 6, 5,Ｅヤワタオリオン, 58,城戸義, 1.0, 61,   0,  -5,13,302.3,⑫⑧⑦, 6,13,Ｃピンクシャンパン, 61,加藤祥, 0.3, 67,   5,  -1, 8, 23.7,⑩⑨⑧, 6, 3,Ｂビｰビｰブレイン, 64,松田大, 0.9, 63, -18,* 11, 4, 11.5, ⑪⑪
 7, 1,Ｄササメユキ, 51,菱田裕, 1.7, 44,  -7, -16, 5, 27.0, ③③, 7, 3,Ｊケイビイノキセキ, 54,勝浦正, 1.0, 56,   1,  -9, 4,  6.2,⑧⑥⑥, 7,12,Ｊスペリオルラスタｰ, 57,岩田康, 0.4, 65,   5,  -3, 2,  5.0,⑨⑪⑨, 7, 2,Ｇキョウエイボヌｰル, 62,丸田恭, 0.9, 62, -15,   9, 6, 14.2, ⑨⑨
 8, 5,Ｉダイメイガｰル,  7,加藤祥, 2.4, 35, -19, -13, 8,127.9, ⑩⑩, 8, 4,Ｂアイズフォワｰド, 64,井上敏, 1.2, 56,  -4,  -3, 9, 37.1,⑩⑫⑫, 8, 7,Ｆスウィｰトテイルズ, 59,池添謙, 0.6, 62,   7,  -8, 6, 11.6,⑧⑧⑦, 8, 6,Ｆタイザンホクト, 62,長岡禎, 1.1, 59, -14,   5, 9, 47.3, ⑧⑩
