15年 4月18日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 4月18日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1700m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 4R  芝1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■ 7R  ダ1150m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝2600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,燧ヶ岳特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15, コマノサラサ,---,松田大,, 60,* -4,*  8, 6, 17.8,②①①, 1,12,Ａファインドヌｰヴ, 63,木幡初,, 56,* -1,  -7, 1,  2.5,①①①, 1, 4,Ｇヒカルランナｰ, 66,長岡禎,, 65,  -6,*  8,10, 35.0, ⑥⑦, 1,11,Ｌスノｰストｰム, 66,松若風,, 74,   2,* 11, 3,  7.1,⑫⑨⑦
 2, 6,Ａアスタキサンチン, 62,川須栄, 0.2, 61,* -4,*  7, 1,  2.3,④②②, 2,14, ダノングリｰン,---,吉田隼, 0.6, 50,  -6,  -4, 3,  8.2,⑩⑧⑤, 2, 1,Ｃヤマニンブルジョン, 74,鮫島克, 0.0, 66,  -2,   5, 3,  6.3, ③②, 2,16,Ｂペンタトニック, 75,松田大, 0.1, 75,   2,* 10, 2,  4.4,⑭⑧⑥
 3, 5,Ｂプロセルピナ, 60,西田雄, 0.9, 55,  -5,   3, 8, 34.4,⑪⑦③, 3, 5,Ｆミュトスレディ, 45,国分恭, 0.6, 51,* -2, -12, 5, 10.7,②②②, 3,11,Ｌショウナンランパダ, 64,荻野琢, 0.1, 65,  -9,* 11,14, 76.6, ⑫⑨, 3, 2,Ａインプレショニスト, 76,丸山元, 0.1, 73,   3,   9, 1,  3.8,⑥⑥⑨
 4, 9,Ｅモズアリュｰル, 59,丸山元, 1.1, 53,  -6,   4, 3,  6.0,⑦⑧⑧, 4, 3,Ｅクレオｰル, 45,西田雄, 0.8, 51, -10,*  2, 7, 11.2,⑯⑭⑩, 4, 2,Ｂキネオキャノン, 75,松若風, 0.7, 61,*  3,  -4, 1,  2.3, ①①, 4, 7,Ｆワンダフルワｰルド, 72,田中博, 0.3, 69,*  4,   1, 4,  8.3,②②②
 5, 1,Ｃクインズアベンチャ, 60,黛弘人, 1.1, 52,  -6,   1, 2,  4.3,③⑤⑥, 5,10,Ｉリコリアｰノ, 41,長岡禎, 0.9, 52,  -6,  -3,12, 54.8,⑨⑪⑪, 5, 9,Ｍキクノブレイン, 64,津村明, 0.7, 59,  -8,   5, 6, 18.8, ⑪⑩, 5, 1,Ｄマイネルアクロス, 73,丹内祐, 0.4, 71,   3,   6, 8, 13.5,⑤⑦⑧
 6,13,Ｆプリンセチア, 49,杉原誠, 1.3, 45,* -5,  -1, 7, 20.9,⑧④⑤, 6, 4,Ｇティアラトウショウ, 43,松田大, 1.0, 49,  -3, -13, 8, 15.1,⑤⑥④, 6, 8,Ｎハドソンシチｰ, 64,田中博, 0.8, 60,  -6,   3,11, 44.9, ⑦⑪, 6,10,Ｇトルｰクマクト, 72,津村明, 0.4, 72,   1,* 10, 6, 11.9,⑩⑪⑩
 7, 3,Ｄモエルア, 60,吉田隼, 1.4, 48,  -6,  -2, 4,  7.1,⑤⑥⑦, 7, 6, スナｰクソフィア,---,丹内祐, 1.0, 50, -12,*  3, 9, 37.7,⑭⑮⑮, 7,12,Ｐカシノシュウセイ, 45,二本柳, 0.9, 58, -20,* 14,15,100.1, ⑮⑮, 7,12,Ｎステラストリｰム, 61,長岡禎, 0.4, 72,   1,* 10,14, 67.7,⑯⑬⑬
 8, 2,Ｇヴィクトリｰアスカ, 49,木幡初, 2.3, 48, -12,   2,11, 67.5,⑭⑭⑭, 8,15, アマラントカット,---,松若風, 1.1, 46,  -6, -11, 4,  9.6,⑪⑩⑨, 8,13,Ｈオリオンザプラズマ, 66,丸田恭, 1.1, 56,  -6,   0,13, 52.4, ⑧⑧, 8, 3,Ｉルｰ, 69,丸田恭, 0.5, 69,*  4,   2, 5, 10.3,③⑤④
