15年 3月 8日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月 8日 阪神,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1400m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 7R  芝1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  ダ1400m 4歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾎﾟﾗﾘｽｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 2,Ｄマダムウルル, 59,幸英明,, 60,   0,*  2, 2,  5.8,⑪⑪⑧, 1, 8,Ｃアドマイヤリバティ, 60,小牧太,, 68,  -7,* 12, 2,  3.8, ⑨⑧, 1, 2,Ｃエイシンエルヴィン, 79,デムｰ,, 82,  14,* -6, 1,  2.4, ④③, 1, 8,Ｆニシケンモノノフ, 88,中谷雄,, 88,   6,* 19, 3,  6.7, ④③
 2, 8,Ａティンバレス, 67,藤岡康, 0.1, 57,*  4,  -7, 1,  2.6,②①①, 2,14,Ｅトップリバティ, 59,松田大, 0.2, 65,* -4,   6, 8, 21.5, ②②, 2, 9,Ｄトップアｰト, 79,藤岡康, 1.2, 71,  11, -15, 3,  5.1, ⑨⑨, 2, 3,Ｅエアウルフ, 88,デムｰ, 0.4, 85,   2,* 19, 2,  4.6, ⑩⑨
 3,11,Ｂタイキアデリナ, 61,国分恭, 0.1, 59,   1,* -1, 8, 24.3,⑧⑧⑦, 3, 4,Ａヴェリタスキング, 64,和田竜, 0.4, 64,  -7,   8, 4,  8.3, ⑦⑤, 3,11,Ｉケイアイヴァｰゲ, 65,佐藤友, 1.3, 68,* 19, -30,10,115.8, ①①, 3,14,Ｇエｰシンビｰトロン, 87,松山弘, 0.4, 85,*  8,  12,11, 27.8, ②②
 4,15,Ｈエｰティｰロゼッタ, 54,藤田伸, 0.4, 57,*  3,  -8, 3,  6.0,①②②, 4, 7,Ｍダンヴィル, 35,藤岡康, 0.8, 60,* -4,   2, 7, 13.4, ③③, 4, 4,Ａプリンセスアスク, 80,岩崎翼, 1.4, 66,* 17, -29, 2,  4.0, ③②, 4, 1,Ｏシンボリエンパイア, 81,四位洋, 0.5, 87,   0,* 21, 6, 11.8, ⑯⑫
 5,16,Ｍグラマシｰパｰク, 37,シュタ, 0.7, 56,*  4, -10, 7, 14.4,⑥③③, 5,11,Ｌメイショウキリサメ, 46,国分優, 0.9, 61, -14,* 12,14,391.4, ⑮⑮, 5, 1,Ｇサンマルホｰム, 68,松山弘, 1.7, 66,  11, -22, 7, 22.9, ⑩⑧, 5,11,Ｃブライトライン, 91,丸山元, 0.5, 84,   3,  18, 4,  7.6, ⑨⑩
 6,10,Ｃサンマルアリュｰル, 60,バルジ, 0.8, 53,   2, -10, 6,  9.4,④⑥⑥, 6,13,Ｈワンダｰグロワｰル, 55,国分恭, 0.9, 59,* -3,  -1,10, 77.8, ①①, 6,10,Ｊトスカニｰニ, 64,松若風, 2.2, 59,   9, -27,11,165.1, ⑧⑩, 6, 6,Ｈネオザウイナｰ, 87,秋山真, 0.5, 83,   5,  15,16,159.9, ⑥⑥
 7, 4,Ｎマッカナバラ, 37,松山弘, 1.4, 52,  -3,  -5,15,218.7,⑮⑭⑬, 7, 3,Ｆレッドディザｰブ, 59,酒井学, 1.0, 59,  -8,   4, 3,  5.6, ⑧⑨, 7, 5,Ｆガルデルスリｰル, 72,シュタ, 2.2, 58,  13, -34, 4,  7.0, ②⑥, 7,15,Ａトウショウフリｰク, 94,藤岡佑, 0.7, 80,   4,  14, 7, 17.6, ⑦⑦
 8, 6, バイナリｰコｰド,---,デムｰ, 2.0, 46,   0, -15, 4,  8.1,⑬⑨⑩, 8,15,Ｂオンワｰドバｰス, 62,藤田伸, 1.2, 59,  -9,   6, 6, 10.2, ⑫⑫, 8, 3,Ｅディｰプウェｰブ, 72,丸山元, 2.4, 57,   7, -24, 5, 10.9, ⑪⑪, 8, 4,Ｊポアゾンブラック, 87,太宰啓, 0.8, 82,*  9,   8, 1,  4.2, ①①
 9,12,Ｆサントノｰレ, 57,小崎綾, 2.1, 45,*  3, -23, 5,  9.0,⑫④④, 9, 6,Ｄミュゼバトラｰ, 59,デムｰ, 1.4, 55,  -5,  -3, 1,  3.2, ④⑥, 9, 7,Ｂダイナミックウオｰ, 80,池添謙, 2.6, 52,  16, -45, 6, 15.7, ⑥④, 9, 7,Ｐレオンビスティｰ, 72,川須栄, 1.0, 80,   0,  17,10, 26.5, ⑮⑮
10,14,Ｊラグナビｰチ, 46,城戸義, 2.2, 46,  -1, -15, 9, 30.3,⑩⑫⑮,10, 5,Ｉオイルタウン, 54,大下智, 1.5, 56,  -8,   1,11,108.6, ⑬⑪,10, 8,Ｋアプリカｰレ, 47,幸英明, 2.6, 55,  13, -40, 9, 75.5, ⑦⑤,10,10,Ｍオｰスミイｰジｰ, 85,和田竜, 1.0, 81,   1,  16,12, 39.2, ⑭⑯
11, 9,Ｅシｰムリｰ, 58,北村友, 2.3, 44,   0, -18,13,111.4,③⑩⑪,11,12,Ｇクリノリュウイｰソ, 58,太宰啓, 1.5, 57, -11,   5, 9, 77.5, ⑭⑭,11, 6,Ｈテイエムレンジャｰ, 65,和田竜, 4.8, 36,  13, -70, 8, 38.5, ⑤⑦,11,12,Ｂマルカフリｰト, 93,池添謙, 1.2, 78,   3,  13, 5,  7.8, ⑪⑪
12, 1,Ｋティボリゲｰル, 45,鮫島良, 2.4, 44,  -2, -15,12,102.7,⑭⑮⑫,12, 9,Ｊタガノカムイ, 52,丸山元, 1.6, 54, -10,   1, 5,  8.7, ⑪⑩,,,,,,,,,,,,,12, 2,Ｌウォｰタｰルルド, 87,酒井学, 1.6, 75,   6,   4, 8, 19.9, ③⑤
13, 3,Ｇコウザンジョウオｰ, 55,岩崎翼, 3.1, 40,   3, -30,11, 97.5,⑦⑤⑤,13, 2,Ｎクインズメンテ, 35,幸英明, 2.5, 47,  -6, -12,13,213.5, ⑥④,,,,,,,,,,,,,13,13,Ｉスリｰボストン, 87,北村友, 1.7, 73,   4,   5,14, 53.8, ⑧⑧
14, 5,Ｌフェイスオフ, 43,加藤祥, 3.4, 37,  -2, -25,16,297.0,⑨⑬⑭,14, 1,Ｋホットロｰド, 49,川須栄, 3.7, 37,  -6, -22,12,176.9, ⑤⑦,,,,,,,,,,,,,14, 9,Ｄセイカプリコｰン, 89,国分優, 2.0, 71,   1,   6,15, 67.6, ⑬⑭
