15年11月21日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月21日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 4R  ダ1300m 2 歳新馬 馬齢,,,,,,,,,,,,■ 7R  ダ2100m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:10,,,,,■10R  芝2400m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,南武特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,13,Ｄサトノスピリット, 57,北村宏, 1.9, 45,*  0, -13, 3,  5.6, ⑤⑤,12,16, コパハマッテルゼ,---,横山和, 2.8, 34,  -9, -22, 9, 24.0, ⑧⑧,12, 2,Ｋラブオｰディｰン, 65,三浦皇, 9.0, 18,  12, -73,10, 94.9,②⑤⑪,12, 5, レジェンドロック,---,山本聡, 0.9, 77,*  2,   2,11, 66.1,①①①
13, 8,Ｏコスモライフワｰク, 33,丹内祐, 3.2, 37,  -7, -14,12, 77.3, ⑫⑭,13,14, ヴァロンダンス,---,嘉藤貴, 2.8, 33, -10, -22,15,195.4, ⑩⑨,,,,,,,,,,,,,13,10,Ｊサトノメサイア, 76,ムｰア, 1.0, 75,*  2,   2, 1,  3.3,③③③
14,10,Ｍタケショウヘｰレｰ, 39,石橋脩, 3.3, 37,  -8, -13,15,220.8, ⑮⑯,14,15, ジュメイラ,---,武士沢, 3.7, 27, -32,  -5, 5, 11.0, ⑯⑮,,,,,,,,,,,,,14,15,Ｍタイキプレミアム, 71,ベリｰ, 1.1, 81,  -2,  12,15,193.9,⑭⑬⑭
15, 9,Ｎダンデライオンマル, 39,嶋田純, 3.5, 35,  -5, -18,16,367.6, ⑬⑬,15, 4, エイコオレクレｰル,---,吉田隼, 4.3, 22, -33,  -8,10, 31.7, ⑮⑯,,,,,,,,,,,,,15, 9,Ｎオリジナルスマイル, 68,大野拓, 4.4, 44,  -1, -41,12, 94.6,⑨⑨⑨
16,15,Ｆトｰタルビクトリｰ, 55,勝浦正, 3.5, 33,  -4, -22, 8, 16.4, ⑨⑪,16, 6, テイエムユメハナビ,---,柴山雄, 4.4, 20, -32, -11,16,212.9, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:57 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:59 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-3 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+12 ﾚｰｽｱｶﾞﾘ指数:-27 馬場:稍重(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:79 ﾚｰｽﾍﾟｰｽ指数:-6 ﾚｰｽｱｶﾞﾘ指数:+7 馬場:良(指数:1),,,,,,,,,,,
"単勝:380円 複勝:14=160円 02=190円 06=340円 枠連:1,010円",,,,,,,,,,,,"単勝:470円 複勝:01=180円 05=180円 02=1,960円 枠連:900円",,,,,,,,,,,,"単勝:540円 複勝:04=180円 05=170円 06=690円 枠連:1,150円",,,,,,,,,,,,"単勝:1,000円 複勝:02=260円 12=180円 06=530円 枠連:1,060円",,,,,,,,,,,
"馬連:1,480円 ワイド:02-14=600円 06-14=860円 02-06=1,580円",,,,,,,,,,,,"馬連:910円 ワイド:01-05=380円 01-02=6,550円 02-05=8,640円",,,,,,,,,,,,"馬連:1,080円 ワイド:04-05=420円 04-06=2,070円 05-06=1,680円",,,,,,,,,,,,"馬連:1,890円 ワイド:02-12=820円 02-06=2,210円 06-12=1,530円",,,,,,,,,,,
"馬単:2,780円 3連複:6,330円 3連単:26,910円",,,,,,,,,,,,"馬単:1,770円 3連複:38,510円 3連単:133,470円",,,,,,,,,,,,"馬単:2,110円 3連複:7,020円 3連単:28,280円",,,,,,,,,,,,"馬単:5,400円 3連複:12,190円 3連単:72,660円",,,,,,,,,,,
■ 2R  芝1400m 2 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1800m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 8R  芝1800m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■11R  ダ1600m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,錦秋ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,18,Ｊアルジャンテ, 50,戸崎圭,, 63,   8,* -4, 1,  3.4, ⑦⑦, 1, 7, スズハヤトウｰ,---,田中勝,, 50,*-29,   7, 8, 48.2,③①①, 1,11,Ｆバンゴｰル, 73,柴山雄,, 81,   8,* 12, 1,  4.5,⑩⑨⑪, 1, 1,Ｃプロトコル, 84,柴田大,, 86,  11,*  9, 2,  5.4, ⑪⑧
 2,13,Ｄカトルラポｰル, 59,田辺裕, 0.3, 62,* 14, -17, 5,  9.8, ②②, 2, 6, ベストレｰト,---,蛯名正, 0.0, 52,*-31,  10, 3,  6.6,①③②, 2,17,Ｂコティニャック, 75,田辺裕, 0.0, 77,   9,*  7, 8, 12.8,⑧⑦⑧, 2,11,Ｇクロスボウ, 82,吉田豊, 0.2, 82,  10,* 10,10, 60.4, ⑭⑫
 3, 9,Ｋナムラバイオレット, 49,松岡正, 0.3, 60,   9, -11,11, 41.4, ④④, 3, 9, モズジョイ,---,中谷雄, 0.1, 51, -34,* 13, 2,  3.1,⑧⑦⑦, 3, 2,Ｉラブユアマン, 72,柴田善, 0.1, 77,   9,   6, 6, 10.6,⑨⑩⑥, 3, 7,Ｍメガオパｰルカフェ, 78,内田博, 0.4, 82,  14,   1, 6, 13.0, ⑥④
 4, 7,Ｃショコラｰチ, 63,石川裕, 0.5, 56,   5,  -8, 4,  6.3, ⑧⑧, 4, 8, ウインヴォラｰレ,---,松岡正, 0.2, 50, -32,   9, 6, 14.6,②⑤③, 4, 8,Ｅセルバンテス, 74,蛯名正, 0.2, 79,   8,*  9, 4,  8.5,⑪⑪⑨, 4, 2,Ｂクライスマイル, 84,ムｰア, 0.8, 78,  10,   5, 1,  2.5, ⑬⑩
 5, 6,Ｅスワンナプｰム, 58,柴田大, 0.5, 58,   8, -12, 9, 19.3, ⑥⑥, 5, 3, ケイブルグラム,---,ムｰア, 0.2, 49, -32,  10, 1,  2.0,⑤④⑤, 5, 6,Ｈシャインアロｰ, 73,石橋脩, 0.4, 76,   8,   4, 7, 12.1,⑤⑧⑩, 5,10,Ｄノボバカラ, 84,戸崎圭, 0.8, 78,* 15,  -4, 3,  5.9, ③③
 6, 1,Ｉコウセイカルメン, 53,田中勝, 0.6, 58,   4,* -4,12, 44.0, ⑪⑪, 6, 5, ブラスロック,---,戸崎圭, 0.3, 47, -32,   8, 4, 11.9,④②④, 6,15,Ａシングンジョｰカｰ, 78,武士沢, 0.6, 74,* 12,  -6, 2,  4.6,⑦⑤⑤, 6, 9,Ｉアルタイル, 81,松岡正, 0.9, 78,  11,   1, 4,  6.2, ⑨⑨
