15年 3月14日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 3月14日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 4R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  芝1600m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■10R  芝1400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,13,Ｇトｰアチチカカ, 57,バルジ, 1.9, 50,   1, -10,11, 65.3,⑨⑦⑧,12,13,Ｈウインカルミナ, 52,小崎綾, 1.1, 45,* -7, -18,13, 83.6,③②②,12, 4,Ｍマラムデｰル, 64,菱田裕, 1.0, 67, -12,   8,10, 26.3,⑧⑬⑮,12,12,Ｐウマクイクトオモウ, 59,井上敏, 1.2, 60,   3, -12,16,216.3, ⑦⑧
13, 9,Ｏカリスマサンバゴ, 16,高倉稜, 2.9, 46,  -1, -16,14,250.8,⑮⑪⑫,13,10,Ｍフォｰサイト, 36,藤岡佑, 1.3, 47, -15,  -7,16,212.6,⑮⑮⑮,13, 1,Ｉリオグランデ, 67,北村友, 1.1, 63, -10,   3, 8, 20.0,⑦⑪⑪,13,15,Ｋケントヒｰロｰ, 66,西田雄, 1.5, 57,   2, -13, 9, 22.4, ⑩⑩
14, 1,Ｎフィｰルドメｰカｰ, 27,松田大, 3.7, 38,   0, -24, 9, 32.9,⑦⑨⑩,14,12,Ｎチェルカトｰレ, 34,川田将, 1.4, 44,* -6, -21,12, 63.8,①①①,14,11,Ｐテンテマリ, 50,松田大, 1.2, 66, -12,   7,15,157.3,⑮⑯⑯,14,16,Ａトｰセンジャステス, 83,横山典, 1.6, 53,  -6,  -5, 2,  5.7, ⑰⑰
15, 6,Ｍミスタｰハｰレｰ, 39,松若風, 6.5, 25,  -2, -42,15,261.9,⑧⑬⑮,15, 6,Ｊエイシンシャルル, 48,松若風, 2.3, 33, -12, -27,15,199.4,⑧⑧⑨,15, 9,Ｊエリモフロｰラ, 67,バルジ, 1.3, 59,  -9,  -4,14,126.0,⑭⑧⑧,15,14,Ｉトシファイブスタｰ, 66,中井裕, 1.7, 55,  -4,  -7,15,150.2, ⑯⑯
,,,,,,,,,,,,,,,,,,,,,,,,16, 8,Ｏダイワラスタｰ, 57,四位洋, 1.6, 58,  -9,  -3,16,220.9,⑯⑭⑬,16, 3,Ｒピュアライン, 48,勝浦正, 1.8, 53,   0, -14,14,124.3, ⑪⑪
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,18,Ｂエグゼビア, 76,バルジ, 1.9, 53,*  8, -28, 4,  5.8, ②②
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,17,Ｏファイアボｰル, 60,横山和, 2.7, 43, -15,  -7,17,225.5, ⑱⑱
ｸﾗｽ上位平均:61 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:-7 ﾚｰｽｱｶﾞﾘ指数:-1 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:70 ﾚｰｽﾍﾟｰｽ指数:-8 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-0 ﾚｰｽｱｶﾞﾘ指数:-6 馬場:良(指数:3),,,,,,,,,,,
"単勝:920円 複勝:02=240円 07=150円 15=150円 枠連:1,840円",,,,,,,,,,,,単勝:390円 複勝:08=160円 01=210円 04=250円 枠連:950円,,,,,,,,,,,,単勝:760円 複勝:02=240円 12=140円 14=210円 枠連:720円,,,,,,,,,,,,"単勝:370円 複勝:04=150円 05=210円 10=530円 枠連:1,010円",,,,,,,,,,,
"馬連:1,860円 ワイド:02-07=780円 02-15=720円 07-15=350円",,,,,,,,,,,,"馬連:1,420円 ワイド:01-08=510円 04-08=500円 01-04=780円",,,,,,,,,,,,"馬連:1,280円 ワイド:02-12=490円 02-14=1,490円 12-14=570円",,,,,,,,,,,,"馬連:1,210円 ワイド:04-05=470円 04-10=1,540円 05-10=1,880円",,,,,,,,,,,
