15年12月20日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年12月20日 中京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1800m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1400m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1200m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,桑名特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,12,Ｉサウンドスタジオ, 48,勝浦正,, 60,  -2,*  3, 5, 24.9,⑭⑫⑩, 1,14, ワンダフルワｰルド,,難波剛,,,,, 4, 10.9,⑫⑨⑦, 1,16,Ｂコロマンデル, 76,鮫島克,, 74,   8,   3, 1,  1.6, ⑥⑥, 1, 2,Ｄフルｰルシチｰ, 70,藤岡康,, 74,*  9,  -4, 1,  3.5, ①①
 2,10,Ｂカフジキング, 56,松若風, 0.4, 60,  -1,* -3, 1,  1.7,⑧⑩⑦, 2,12, メイショウオヤシオ,,白浜雄,202.7,,,, 5, 14.6,①①①, 2, 9,Ｊアルディバイン, 68,菱田裕, 0.0, 72,   3,* 10,10, 40.4, ⑬⑬, 2, 5,Ａシャンデリアハウス, 73,松田大, 0.0, 73,   1,*  4, 5,  7.7, ⑧⑧
 3, 2,Ａゴテツ, 64,丸山元, 0.6, 56,*  2,  -9, 3,  4.8,④③②, 3,10, シゲルヒノクニ,,草野太,202.8,,,, 3,  6.7,④④④, 3,13,Ｈパリｰアｰク, 70,石橋脩, 0.0, 72,   4,   8, 6, 25.9, ⑪⑪, 3, 8,Ｂサチノリｰダｰス, 73,酒井学, 0.2, 71,   0,   3, 7, 14.7, ⑨⑨
 4, 4,Ｆタガノジｰニアス, 53,菱田裕, 1.0, 54,*  2, -12, 2,  4.5,⑤④③, 4,13, ブロｰドスタｰ,,北沢伸,203.1,,,, 1,  1.9,②②②, 4,11,Ｃアイファｰサンディ, 74,城戸義, 0.1, 72,   5,   6, 5, 13.4, ⑨⑨, 4, 7,Ｍエナジｰタウン, 62,秋山真, 0.3, 70,*  8,  -7,13, 76.2, ②②
 5, 6,Ｈロｰドレグナム, 50,鮫島克, 1.0, 54,*  3, -14, 4, 14.3,③②①, 5, 6, テイエムナデュｰラ,,佐久間,203.3,,,,13,117.0,⑥③③, 5, 1,Ｆドゥｰイット, 70,伴啓太, 0.4, 69,   0,*  9, 7, 30.5, ⑮⑮, 5, 9,Ｅキネオリュウセイ, 69,石橋脩, 0.4, 68,  -3,   2, 2,  6.5, ⑩⑪
 6, 8,Ｅヤマニンエスペロス, 54,藤岡康, 1.1, 52,   1, -12, 6, 25.6,⑥⑤⑤, 6, 8, スズカシャトル,,林満明,203.4,,,, 2,  3.8,⑨⑤⑤, 6, 8,Ｋタイザンホクト, 67,長岡禎, 0.4, 69,   3,   5,12, 73.2, ⑩⑩, 6,15,Ｈスズカブレｰン, 65,長岡禎, 0.5, 66,  -3,   1, 3,  7.0, ⑫⑩
 7,11,Ｎスリｰハｰツクライ, 40,城戸義, 1.1, 54,   0, -10,13,221.5,⑨⑦⑥, 7, 7, コｰリンジャヴロｰ,,上野翔,203.7,,,,10, 62.5,⑭⑬⑬, 7,12,Ｅポップアップハｰト, 71,杉原誠, 0.4, 66,  -4,* 14,11, 72.8, ⑯⑯, 7, 1,Ｎタニオブロｰズ, 61,津村明, 0.5, 64,  -8,*  6,14, 91.8, ⑯⑮
 8,15,Ｏブレイドフォｰス, 36,黛弘人, 1.8, 49,  -3,  -9, 8, 50.4,⑯⑮⑭, 8, 1, プルｰヴダモｰル,,森一馬,204.2,,,, 9, 51.9,③⑧⑩, 8,15,Ａストロングトリトン, 77,義英真, 0.6, 68,   8,  -3, 4,  9.7, ⑤⑤, 8, 3,Ｃオｰトクレｰル, 71,宮崎北, 0.5, 67,   4,  -5, 6, 12.3, ⑤④
