15年 1月24日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月24日 中山,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■ 4R  ダ1800m 3 歳新馬(牝) 馬齢,,,,,,,,,,,,■ 7R  ダ1200m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■10R  ダ1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ中山,,,,,,,,,,,,,,,,,,,,,,,,初霞賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ｆディアドナテロ, 55,ベリｰ,, 62,  -1,   2,10, 35.2, ⑤⑤, 1, 7, ファンシｰリシェス,---,田辺裕,, 54,*-10,*  3, 2,  5.6,②①①, 1, 6,Ｃチュウワベイビｰ, 73,石川裕,, 71,   0,*  7, 4,  7.3, ⑨⑨, 1,10,Ｊコｰリンギデオン, 73,横山和,, 77,  -6,* 16, 7, 15.3, ⑬⑫
 2, 3,Ｄヴァッハウ, 57,北村宏, 0.3, 61, -11,*  8, 6, 21.1, ⑬⑬, 2, 9, ダイヤモンドバブル,---,戸崎圭, 0.4, 50,*-10,*  0, 7, 17.9,⑬④④, 2,15,Ｆキャレモンショコラ, 69,北村宏, 0.1, 71,  -5,* 10, 3,  5.3, ⑭⑬, 2, 8,Ａヴィクタシア, 83,江田照, 0.0, 74,   1,   9, 1,  3.6, ⑥⑤
 3,10,Ｃセイウンオセアン, 59,田辺裕, 0.3, 61,  -1,  -1, 1,  2.2, ④④, 3,13, トゥルｰロマンス,---,柴山雄, 1.0, 44,*-10,  -5, 4,  7.8,⑤③③, 3,11,Ｄスイｰトガｰデン, 73,松岡正, 0.2, 69,*  6,  -1, 1,  3.4, ①①, 3, 4,Ｉフィｰルザラブ, 76,ブノワ, 0.1, 75,  -2,  12, 9, 26.1, ⑨⑨
 4, 7,Ａゴｰルドエッグ, 60,木幡初, 0.3, 62,*  0,  -2, 2,  4.7, ②②, 4,15, タマモラララ,---,三浦皇, 1.4, 45, -12,  -5, 1,  2.3,⑦⑥⑦, 4, 8,Ｌニシノラピｰト, 64,田辺裕, 0.3, 69,   3,   2, 7, 17.9, ⑥⑤, 4,12,Ｇシベリアンスオｰド, 76,ベリｰ, 0.1, 72,   1,   9, 5,  8.5, ⑦⑦
 5,11,Ｊダイニヨシゼン, 48,ブノワ, 0.4, 59, -10,*  6, 3,  6.3, ⑫⑫, 5,10, ラグロワｰル,---,田中勝, 1.4, 46, -12,  -5, 9, 30.9,④⑤⑤, 5, 3,Ｅロマネクイｰン, 70,武士沢, 0.7, 65,   1,   0,13, 71.0, ⑦⑧, 5, 9,Ｃミステリｰトレイン, 80,三浦皇, 0.2, 74,  -2,  10, 3,  6.6, ⑩⑩
 6,12,Ｂジェロニモ, 59,石橋脩, 0.4, 60,  -1,  -2, 5,  8.8, ③③, 6,14, マｰレｰ,---,江田照, 1.4, 43, -13,  -5, 5, 14.9,⑥⑧⑥, 6,12,Ｊマハｰシュリｰ, 66,横山典, 0.9, 62,  -5,   4, 9, 33.4, ⑬⑪, 6,11,Ｈサダムコｰテイ, 76,柴田善, 0.4, 70,  -9,* 15, 4,  6.7, ⑯⑮
 7, 9,Ｋヴィアｰジェン, 48,戸崎圭, 0.7, 56,  -3,  -3, 4,  8.1, ⑥⑥, 7, 1, ピュｰルボｰテ,---,吉田豊, 1.6, 43, -14,* -2,10, 31.7,⑫⑫⑩, 7, 9,Ｂヤマニンアタシャン, 74,戸崎圭, 1.0, 63,*  5,  -6, 2,  5.3, ③②, 7,15,Ｂセイウンチカラ, 82,北村宏, 0.4, 72,*  5,   2, 2,  5.8, ①①
 8,15,Ｎリワｰドセロン, 39,横山和, 1.0, 57,  -3,  -4,13,204.3, ⑧⑦, 8,12, ティアラトウショウ,---,北村宏, 1.9, 42,*-10, -13, 3,  7.7,③②②, 8,13,Ｋナムラビジン, 65,田中勝, 1.2, 62,  -1,  -3,14, 73.3, ⑩⑫, 8, 6,Ｅツインキャンドル, 79,戸崎圭, 0.4, 72,*  3,   4, 6, 11.4, ③④
