15年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月 8日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝1400m 2 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 4R  芝1600m 2 歳新馬(混) 馬齢,,,,,,,,,,,,■ 7R  ダ2100m 3歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  ダ1400m 3歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,ﾒｲｸﾃﾞﾋﾞｭｰ東京,,,,,,,,,,,,,,,,,,,,,,,,銀嶺ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
12,14,Ｇニュｰゴｰカイオｰ, 48,内田博, 1.4, 45,   3, -15, 7, 14.7, ⑫⑫,,,,,,,,,,,,,12, 3,Ｇタイセイボルト, 72,内田博, 4.1, 53,   7, -25, 9, 33.8,⑫⑫⑫,12,12,Ｌグラスエトワｰル, 77,木幡初, 1.2, 72,   9,   2, 8, 26.0, ⑤⑤
13, 8,Ｌプルシアロワイヤル, 41,岩部純, 1.5, 45,*  9, -25,14,239.6, ④②,,,,,,,,,,,,,,,,,,,,,,,,,13, 3,Ｍイｰグルカザン, 77,荻野琢, 1.4, 71,   3,   8,16,210.6, ⑬⑭
14,12,Ｃマツリダインゴット, 51,田中勝, 1.7, 40,  -1, -15, 5, 11.3, ⑭⑭,,,,,,,,,,,,,,,,,,,,,,,,,14, 8,Ｐトｰセンラｰク, 74,江田照, 1.5, 69,   7,   1,15,129.5, ⑦⑧
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,Ｂアンナミルト, 83,デムｰ, 2.3, 63,   9,  -7, 5, 12.2, ⑥⑥
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16, 5,Ｈメイショウロフウ, 80,池添謙, 3.3, 56,* 11, -20,13, 64.4, ①①
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:56 ﾚｰｽﾍﾟｰｽ指数:+5 ﾚｰｽｱｶﾞﾘ指数:-5 馬場:良(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:53 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+13 馬場:良(指数:6),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+3 ﾚｰｽｱｶﾞﾘ指数:-9 馬場:稍重(指数:-4),,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+1 馬場:重(指数:-4),,,,,,,,,,,
"単勝:250円 複勝:06=140円 01=400円 07=300円 枠連:2,560円",,,,,,,,,,,,単勝:640円 複勝:07=170円 02=170円 05=130円 枠連:840円,,,,,,,,,,,,"単勝:390円 複勝:10=150円 02=260円 11=240円 枠連:1,810円",,,,,,,,,,,,"単勝:260円 複勝:01=140円 10=680円 16=190円 枠連:3,240円",,,,,,,,,,,
"馬連:2,510円 ワイド:01-06=810円 06-07=660円 01-07=1,760円",,,,,,,,,,,,"馬連:1,810円 ワイド:02-07=580円 05-07=370円 02-05=320円",,,,,,,,,,,,"馬連:1,370円 ワイド:02-10=530円 10-11=560円 02-11=1,140円",,,,,,,,,,,,"馬連:4,250円 ワイド:01-10=1,450円 01-16=380円 10-16=3,060円",,,,,,,,,,,
"馬単:3,690円 3連複:6,650円 3連単:29,850円",,,,,,,,,,,,"馬単:3,340円 3連複:1,410円 3連単:9,420円",,,,,,,,,,,,"馬単:2,330円 3連複:3,530円 3連単:15,410円",,,,,,,,,,,,"馬単:5,900円 3連複:8,490円 3連単:37,720円",,,,,,,,,,,
■ 2R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1800m 2 歳新馬 馬齢,,,,,,,,,,,,■ 8R  芝1800m 3歳上1000万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■11R  芝2500m 3歳上ｵｰﾌﾟﾝ(国) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
