15年 4月19日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 4月19日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-5,,,,,■ 4R  芝2750m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1200m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-3,,,,,■10R  芝1200m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,雪うさぎ賞,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｂブリンディス, 62,中谷雄,, 60,*  5,*  2, 2,  3.4, ①①, 1, 8, ドクタｰルキア,,浜野谷,,,,, 2,  7.3,③③③, 1, 9,Ｇセトノフラッパｰ, 65,古川吉,, 64,  -1,*  6, 4,  6.2, ⑨⑥, 1, 1,Ｇヴィクタｰプライム, 62,長岡禎,, 73,   2,*  5, 7, 14.5, ⑥⑥
 2, 8,Ｉヌンチェルラ, 48,勝浦正, 0.3, 58,*  5,* -1, 8, 31.7, ②②, 2, 1, ピタゴラスコンマ,,金子光,179.5,,,, 5,  9.2,④④④, 2, 3,Ｌメモリｰレｰン, 60,加藤祥, 0.2, 61,* 11,  -8, 7, 16.9, ①①, 2, 2,Ａエリｰティアラ, 69,宮崎北, 0.4, 70,* 11,  -9, 3,  5.1, ①①
 3,13,Ｈモンサンナシｰラ, 49,吉田隼, 0.4, 56,*  5,  -2, 4,  9.9, ③③, 3, 5, ワｰルドマッチ,,林満明,179.7,,,, 3,  8.1,①①①, 3, 7,Ｂプラチナブロンド, 70,丸田恭, 0.3, 60,   1,   1, 1,  3.7, ⑧⑧, 3,14,Ｃトゥルｰムｰン, 64,木幡初, 0.4, 68,   4,  -3, 5, 10.1, ⑤⑤
 4, 3,Ａラッキｰダン, 66,丹内祐, 1.0, 50,   2,  -4, 1,  2.7, ⑥⑤, 4,13, タッチドヘヴンリｰ,,北沢伸,179.9,,,, 1,  1.8,②②②, 4, 6,Ｏビリｰヴザワン, 55,黛弘人, 0.3, 60,*  6,  -4, 5, 13.5, ②②, 4,13,Ｂスズカブレｰン, 68,村田一, 0.5, 65,  -2,   2, 2,  4.2, ⑩⑪
 5, 9,Ｄトミケンモヴェｰル, 59,丸山元, 1.1, 49,   0,  -2, 5, 10.6, ⑧⑧, 5, 7, グリｰティングワン,,平沢健,180.7,,,, 9, 39.8,⑥⑤⑤, 5, 2,Ａグランツ, 70,津村明, 0.3, 59,   4,  -3, 2,  4.8, ③③, 5,15,Ｆトｰセンペンタゴン, 62,嶋田純, 0.5, 64,  -9,*  9, 6, 13.2, ⑭⑫
 6, 2,Ｆブライアンキング, 57,松田大, 1.3, 48,   2,  -7, 7, 30.4, ⑤④, 6,14, バンスタンウォルツ,,五十嵐,183.0,,,, 7, 23.9,⑬⑧⑦, 6,16,Ｉスナｰクマスカラス, 63,野中悠, 0.4, 58, -13,* 13,14, 75.1, ⑭⑭, 6, 7,Ｋピックアンドポップ, 61,丹内祐, 0.6, 64,   0,  -2, 4,  7.5, ⑦⑦
 7,16,Ｃニシノバランス, 59,松若風, 1.3, 48,   2,  -7, 3,  5.1, ⑦⑥, 7, 4, タケルハヤテ,,山本康,183.8,,,, 8, 39.2,⑦⑦⑧, 7, 1,Ｆムｰンドロップ, 66,木幡初, 0.4, 59,  -2,   2, 6, 15.8, ⑪⑩, 7,11,Ｈショウナンライコウ, 62,勝浦正, 0.6, 62, -10,*  9, 9, 28.9, ⑮⑮
 8,10,Ｅティアップサンダｰ, 57,黛弘人, 1.4, 46,  -1,  -5, 6, 21.3, ⑨⑨, 8, 9, レオウィッシュ,,熊沢重,184.1,,,, 4,  8.1,⑨⑥⑥, 8, 8,Ｃランパスキャット, 68,松若風, 0.4, 58,   3,  -3, 3,  5.6, ⑥⑤, 8, 3,Ｄマコトグナイゼナウ, 63,松若風, 0.8, 66,* 10, -13, 1,  3.9, ②②
