15年 1月31日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 1月31日 京都,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  ダ1900m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■ 7R  ダ1400m 4歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■10R  芝1200m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,乙訓特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 9,Ｐダンシングワンダｰ, 30,福永祐,, 59,*  0,  -2, 4,  8.1, ①①, 1, 6,Ｅキｰアシスト, 75,秋山真,, 77,* 11,*  5, 2,  5.0,⑥⑤③, 1,13,Ｄスマｰトレパｰド, 74,浜中俊,, 74,  -2,* 11, 1,  3.5, ⑪⑩, 1, 2,Ａシンデレラボｰイ, 76,岩田康,, 81,   2,*  8, 1,  3.4, ⑤③
 2,12,Ｊシゲルハナガサ, 51,国分優, 0.0, 59,  -9,*  7,11, 36.7, ⑫⑫, 2, 5,Ｆステｰジジャンプ, 74,松田大, 0.3, 76,* 12,   1, 3,  8.1,②②②, 2,14,Ｅタマモユウトウセイ, 73,池添謙, 0.2, 71,   0,   7, 8, 12.2, ⑦⑦, 2, 1,Ｌタガノスカイ, 68,和田竜, 0.1, 79,*  5,   4, 5,  9.3, ①①
 3, 4,Ｄサカジロビュｰティ, 58,岩田康, 0.5, 55,  -5,   0, 3,  5.3, ⑦⑥, 3, 1,Ａデモニオ, 80,川田将, 0.4, 75,* 12,  -1, 1,  1.8,①①①, 3,11,Ｈゴｰルデンアタック, 72,幸英明, 0.4, 71,  -3,* 10,12, 45.5, ⑬⑬, 3, 6,Ｉカレンステイシｰ, 72,松山弘, 0.3, 77,*  3,   2, 4,  8.5, ②②
 4, 1,Ｎウォｰタｰメアヌイ, 40,武幸四, 0.6, 54,*  0,  -6,12, 38.9, ②②, 4,13,Ｈデンコウウンリュウ, 71,福永祐, 0.5, 76,   9,*  5,10, 44.8,⑪⑩⑥, 4, 8,Ｆアドマイヤスパｰズ, 72,川田将, 0.5, 70,   1,   4, 7, 11.8, ⑤④, 4, 8,Ｇモンマックス, 74,福永祐, 0.3, 77,  -2,*  8, 8, 15.4, ⑨⑦
 5, 5,Ｍハクサンエルモ, 41,藤岡康, 0.6, 53,  -7,   0, 9, 19.7, ⑩⑧, 5,12,Ｃダンツキャッチ, 76,和田竜, 0.8, 74,  10,   0, 4, 11.6,⑧⑥⑤, 5, 5,Ｊタマモベルモット, 70,岩崎翼, 0.8, 68,  -5,*  9,13,119.0, ⑭⑭, 5, 4,Ｊプリンセスムｰン, 71,藤岡康, 0.3, 78,   0,   6, 3,  7.1, ⑥⑤
 6, 2,Ｂニホンピログレｰス, 60,酒井学, 0.6, 53,  -3,  -5, 6, 12.9, ④③, 6, 3,Ｂナムララオウ, 77,小崎綾, 0.9, 72,  10,   0, 9, 28.5,⑨⑨⑨, 6, 7,Ａアバンサル, 75,国分恭, 0.8, 67,  -4,   6, 5, 10.6, ⑫⑫, 6,13,Ｅケイアイウィルゴｰ, 75,秋山真, 0.5, 75,  -4,*  8,11, 40.1, ⑪⑫
 7, 6,Ａジョウショｰエガオ, 60,池添謙, 0.7, 52,  -6,  -2, 5, 12.4, ⑧⑨, 7,11,Ｇイスカンダル, 73,松山弘, 1.3, 71,   9,  -1, 8, 22.9,⑩⑪⑩, 7, 2,Ｃヒドゥンブレイド, 74,福永祐, 0.8, 68,  -2,   4, 3,  7.3, ⑨⑪, 7, 5,Ｋアブマｰシュ, 69,シュタ, 0.6, 73,  -2,   4,13, 92.0, ⑦⑧
 8,10,Ｃマルトクビクトリｰ, 58,義英真, 0.8, 51,  -4,  -5, 1,  3.8, ⑥⑦, 8, 9,Ｌワｰルドマッチ, 65,幸英明, 1.4, 70,   8,  -1,12,156.4,⑫⑫⑪, 8,10,Ｎオベｰション, 57,義英真, 1.4, 62,  -1,  -2,10, 21.1, ⑩⑨, 8, 3,Ｆオトコギマサムネ, 75,浜中俊, 0.8, 71,  -3,   2, 6,  9.5, ⑩⑩
 9, 7,Ｅメイショウヒルガオ, 56,中井裕, 1.0, 50, -11,   0, 8, 13.2, ⑭⑮, 9, 8,Ｄアｰブル, 75,小牧太, 1.5, 69,   9,  -4, 7, 20.5,⑦⑦⑫, 9,12,Ｇチョウエンペラｰ, 72,松山弘, 1.4, 63,   1,  -5,11, 40.2, ④⑤, 9,10,Ｈシャッセロｰル, 72,川須栄, 0.8, 73, -11,* 10,10, 32.8, ⑬⑬
10,13,Ｉサトノマジカル, 52,小崎綾, 1.0, 50, -10,  -1,10, 22.9, ⑬⑬,10, 7,Ｊタイガｰクラウン, 68,太宰啓, 1.7, 68,* 11,  -8, 6, 18.3,⑤④④,10, 9,Ｋクリノプリムラ, 69,城戸義, 1.6, 61,   0,  -5,14,156.5, ⑥⑥,10, 7,Ｄステイウェル, 75,デムｰ, 1.0, 66,   2,  -6, 2,  4.3, ③④
11, 8,Ｈディアデム, 52,幸英明, 1.2, 48,  -8,  -5,13, 56.7, ⑪⑪,11, 4,Ｍワイルドアンセム, 57,高田潤, 2.0, 65,* 11, -12,13,163.9,③③⑧,11, 1,Ｂトレノカチドキ, 74,岩田康, 1.7, 60,   0,  -6, 2,  5.2, ⑧⑧,11, 9,Ｃダイナミックガイ, 76,池添謙, 1.0, 67,  -4,   1, 9, 19.9, ⑫⑨
12, 3,Ｇアベックモア, 53,シュタ, 1.3, 47,  -3, -10, 7, 13.1, ⑤④,12, 2,Ｋオルドリン, 66,デムｰ, 2.5, 62,  10, -14, 5, 13.0,④⑧⑦,12, 4,Ｍカｰマンライン, 64,田中博, 2.1, 56,*  3, -13, 6, 10.7, ②②,12,11,Ｍキクノメテオ, 61,幸英明, 1.5, 60,  -2,  -8,12, 79.5, ⑧⑪
13,16,Ｌグロｰバルスタｰ, 42,国分恭, 1.5, 46, -10,  -4,15,140.5, ⑮⑭,13,10,Ｉアカリロンドン, 68,義英真, 3.3, 57,   7, -15,11, 47.4,⑬⑬⑬,13, 6,Ｌジンセイハオマツリ, 68,デムｰ, 2.3, 54,*  2, -14, 4,  8.2, ③③,13,12,Ｂベルリネッタ, 76,小牧太, 1.7, 57,   1, -13, 7, 14.9, ④⑥
14,15,Ｆルフレ, 54,浜中俊, 1.7, 44,  -3, -15, 2,  5.3, ③⑤,,,,,,,,,,,,,14, 3,Ｉサンライズアルブル, 70,和田竜, 2.6, 53,*  4, -18, 9, 16.4, ①①,,,,,,,,,,,,
15,14,Ｏエスシｰアルテミス, 35,小林徹, 2.0, 41, -13,  -7,16,247.6, ⑯⑯,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,11,Ｋボｰディシア, 45,和田竜, 2.1, 41,  -7, -13,14,107.7, ⑨⑩,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:+2 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:78 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:-0 馬場:良(指数:2),,,,,,,,,,,
"単勝:810円 複勝:09=310円 12=1,000円 04=180円 枠連:5,230円",,,,,,,,,,,,"単勝:500円 複勝:06=130円 05=160円 01=110円 枠連:1,590円",,,,,,,,,,,,"単勝:350円 複勝:13=190円 14=420円 11=1,110円 枠連:2,290円",,,,,,,,,,,,"単勝:340円 複勝:02=140円 01=280円 06=260円 枠連:2,050円",,,,,,,,,,,
"馬連:32,850円 ワイド:09-12=8,330円 04-09=1,000円 04-12=2,600円",,,,,,,,,,,,"馬連:1,940円 ワイド:05-06=440円 01-06=210円 01-05=290円",,,,,,,,,,,,"馬連:1,960円 ワイド:13-14=840円 11-13=3,360円 11-14=6,920円",,,,,,,,,,,,"馬連:2,050円 ワイド:01-02=760円 02-06=620円 01-06=1,470円",,,,,,,,,,,
"馬単:48,420円 3連複:53,040円 3連単:339,710円",,,,,,,,,,,,"馬単:3,740円 3連複:750円 3連単:7,220円",,,,,,,,,,,,"馬単:2,910円 3連複:29,800円 3連単:91,650円",,,,,,,,,,,,"馬単:3,150円 3連複:5,780円 3連単:30,670円",,,,,,,,,,,
■ 2R  ダ1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■ 5R  芝1600m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 8R  芝3170m 4歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■11R  ダ1800m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,牛若丸ｼﾞｬﾝﾌﾟｽﾃｰｸｽ,,,,,,,,,,,,北山ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 6,Ａラクロワ, 62,デムｰ,, 61,   7,  -8, 1,  3.3,⑥⑤③, 1,12,Ｂアズマクィｰン, 58,岩崎翼,, 59,*  6, -18, 5,  8.5, ①①, 1, 2, タマモプラネット,,小坂忠,,,,, 2,  4.7,①①①, 1, 2,Ｅキクノソル, 87,浜中俊,, 86,*  2,  21, 3,  6.4,①①①
 2,12,Ｄダノングッド, 60,小崎綾, 0.1, 58,   7, -10, 7, 10.2,③④⑥, 2, 6,Ａブルロｰネ, 59,小崎綾, 0.0, 59,*  4, -15, 4,  7.6, ②③, 2,11, ファイヤｰ,,森一馬,214.8,,,, 5,  6.4,⑨⑥⑥, 2, 5,Ｉヒラボクプリンス, 84,秋山真, 0.3, 82,*  1,  19, 6, 16.0,③②②
 3, 3,Ｃヒロノカマオレ, 60,福永祐, 0.3, 60,   3,* -3, 4,  8.5,⑫⑫⑨, 3,11,Ｃテイエムクロタカ, 57,シュタ, 0.0, 60,*  3, -12,10, 17.6, ④⑤, 3,10, ウォンテッド,,高田潤,214.8,,,, 3,  4.9,⑥④④, 3, 3,Ｃワンダｰアシャｰド, 88,デムｰ, 0.3, 84,   0,* 22, 1,  2.1,②⑥⑥
 4,10,Ｆヒルノケルン, 55,鮫島良, 0.3, 58,   5,  -9, 2,  4.3,⑩⑦⑤, 3, 7,Ｅナムラオツウ, 54,池添謙, 0.0, 61,   0,* -4, 9, 16.2, ⑨⑦, 4,13, テイエムセイリュウ,,植野貴,214.9,,,,11, 61.7,⑤⑤⑤, 4, 7,Ｄナリタハリケｰン, 88,小牧太, 0.5, 83,   0,  20, 9, 52.4,⑨④④
 5, 8,Ｂマコトグランドゥ, 62,小牧太, 0.4, 57,*  9, -15, 6,  9.5,①①①, 5,10,Ｆサウンドアプロｰズ, 54,福永祐, 0.1, 59,  -7,*  2, 7, 10.6, ⑭⑪, 5, 7, チョイワルグランパ,,白浜雄,215.1,,,, 4,  6.4,④⑦⑦, 5,12,Ｆエクストラゴｰルド, 85,福永祐, 0.6, 81,   0,  18, 4,  7.8,④③③
 6, 2,Ｇトゥラクレス, 54,田中博, 0.6, 56,   4,  -9,10, 82.7,⑪⑨⑧, 6,13,Ｋロイヤルスピリッツ, 49,浜中俊, 0.2, 57,   1, -14, 8, 14.1, ⑥②, 6, 5, オンワｰドデュｰク,,難波剛,215.3,,,, 8, 24.1,⑦⑧⑧, 6, 4,Ｇセイスコｰピオン, 84,国分優, 0.6, 81,  -1,  21, 7, 24.0,⑧⑧⑧
 7, 1,Ｈストリｰクライト, 53,岩田康, 0.7, 55,   7, -16, 5,  9.0,⑤③④, 7, 4,Ｄタイキレガトゥス, 56,藤岡佑, 0.3, 56,   0, -12, 1,  5.0, ⑦④, 7, 6, アルティシムス,,熊沢重,216.0,,,, 1,  4.2,③②②, 7, 8,Ｈサンライズスマｰト, 84,シュタ, 0.7, 81,  -1,  19, 8, 38.5,⑥⑦⑦
 8,13,Ｏタマモアタック, 25,国分恭, 1.4, 51,   0,* -8,13,165.1,⑬⑬⑪, 8, 1,Ｈショウナンハルカス, 53,岩田康, 0.6, 53,  -6,  -8, 2,  5.4, ⑫⑫, 8, 8, タマモショパン,,田村太,216.2,,,,10, 59.9,⑧⑩⑩, 8,11,Ａアドマイヤランディ, 91,岩田康, 0.8, 81,  -3,* 22, 2,  4.6,⑩⑩⑪
 9,15,Ｅヴェリテ, 59,太宰啓, 1.5, 50,*  8, -24, 3,  5.7,④②②, 9, 5,Ｏメイショウワカアユ, 41,武幸四, 1.3, 47,  -1, -24, 3,  6.9, ⑩⑧, 9, 9, マサノブルｰス,,佐久間,216.3,,,, 6,  8.4,⑪⑨⑨, 9, 6,Ｂコルｰジャ, 89,池添謙, 0.9, 80,  -3,* 22, 5,  9.6,⑫⑫⑬
10, 9,Ｌシシャモショウグン, 43,森一馬, 1.8, 49,   7, -22,14,188.0,②⑥⑦,10, 3,Ｐエイシンパサｰト, 39,太宰啓, 1.7, 41, -10, -17,14,134.2, ⑮⑮,10, 4, オｰパルス,,山本康,217.2,,,, 7, 18.6,②③③,10, 1,Ｋライジングサン, 82,松山弘, 1.1, 79,  -1,  17,12,127.4,⑦⑨⑨
11,11,Ｉナムラミカサ, 52,古川吉, 2.6, 44,   4, -24,12,127.0,⑨⑪⑩,11, 9,Ｌドリｰマｰズハイ, 44,川田将, 1.9, 40,  -1, -32,12, 67.7, ⑪⑩,11, 3, エｰシンイグアス,,黒岩悠,217.9,,,, 9, 34.5,⑩⑪⑪,11,10,Ｍキタサンシンガｰ, 79,酒井学, 1.2, 77,   0,  13,10, 83.0,⑤⑤⑤
12, 4,Ｊグリｰンマイル, 47,義英真, 3.9, 35,   3, -35,11,106.1,⑧⑩⑬,12, 2,Ｇホｰプフルデイズ, 53,和田竜, 2.0, 39,  -5, -27,11, 27.0, ⑬⑬,12, 1, エリタｰジュ,,中村将,219.8,,,,12, 69.4,⑫⑫⑫,12, 9,Ｌアサクサショパン, 82,幸英明, 1.3, 77,  -2,  18,11,109.8,⑪⑪⑩
13, 5,Ｋリッチゴｰルド, 44,幸英明, 4.8, 31,   0, -36, 8, 19.4,⑮⑮⑭,13,15,Ｎウォｰタｰエライ, 41,幸英明, 2.1, 38,   2, -40,15,199.5, ⑤⑨,13,12, クリノテンペスタ,,大江原,227.1,,,,13,164.2,⑬⑬⑬,13,13,Ｊコウユｰヒｰロｰ, 83,国分恭, 1.4, 77,  -4,  19,13,128.9,⑬⑬⑫
14,14,Ｍマジックスプｰン, 40,和田竜, 5.0, 33,   4, -44, 9, 57.9,⑦⑧⑫,14,16,Ｉダンツホｰネット, 52,国分恭, 2.4, 34,*  3, -48,13,107.9, ③⑥,,,,,,,,,,,,,,,,,,,,,,,,
15, 7,Ｎナガラキャスタｰ, 35,川島信, 5.1, 33,   1, -38,15,233.9,⑭⑭⑮,15,14,Ｍクィｰンアルビレオ, 44,松山弘, 3.8, 26,  -2, -58,16,208.6, ⑧⑭,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+6 ﾚｰｽｱｶﾞﾘ指数:-12 馬場:重(指数:-3),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+1 ﾚｰｽｱｶﾞﾘ指数:-8 馬場:稍重(指数:2),,,,,,,,,,,,,,,,,,,,,,,,ｸﾗｽ上位平均:84 ﾚｰｽﾍﾟｰｽ指数:-14 ﾚｰｽｱｶﾞﾘ指数:+11 馬場:重(指数:-3),,,,,,,,,,,
"単勝:330円 複勝:06=140円 12=260円 03=240円 枠連:1,600円",,,,,,,,,,,,"単勝:850円 複勝:12=230円 06=230円 07=370円 枠連:1,490円",,,,,,,,,,,,単勝:470円 複勝:02=150円 11=170円 10=170円 枠連:690円,,,,,,,,,,,,"単勝:640円 複勝:02=160円 05=270円 03=110円 枠連:2,420円",,,,,,,,,,,
"馬連:1,640円 ワイド:06-12=590円 03-06=490円 03-12=1,600円",,,,,,,,,,,,"馬連:2,900円 ワイド:06-12=640円 07-12=1,300円 11-12=1,570円",,,,,,,,,,,,"馬連:1,450円 ワイド:02-11=560円 02-10=370円 10-11=490円",,,,,,,,,,,,"馬連:4,650円 ワイド:02-05=1,120円 02-03=230円 03-05=530円",,,,,,,,,,,
"馬単:2,880円 3連複:4,350円 3連単:17,540円",,,,,,,,,,,,"馬単:6,290円 3連複:7,230円 3連単:38,130円",,,,,,,,,,,,"馬単:2,970円 3連複:1,860円 3連単:12,720円",,,,,,,,,,,,"馬単:8,270円 3連複:2,120円 3連単:21,310円",,,,,,,,,,,
■ 3R  ダ1200m 3 歳新馬(混) 馬齢,,,,,,,,,,,,■ 6R  芝2000m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,,■ 9R  芝2400m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■12R  ダ1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,
,ﾒｲｸﾃﾞﾋﾞｭｰ京都,,,,,,,,,,,,,,,,,,,,,,,,梅花賞,,,,,,,,,,,,,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7, パドパピヨン,---,和田竜,, 64,* -2,   1, 3,  4.0, ②②, 1,16,Ｃドリｰムチェイサｰ, 53,デムｰ,, 69,   1,*  2, 3,  5.6,⑪⑩⑤, 1, 3,Ｄスピリッツミノル, 61,酒井学,, 78,* -3,   9, 4,  6.5,①①①, 1, 9,Ａポメグラネイト, 82,浜中俊,, 81,*  9,  11, 4,  6.7, ②②
 2, 3, メイショウフライキ,---,秋山真, 0.2, 61,* -1,  -2, 8, 32.7, ①①, 2, 5,Ｂケｰスバイケｰス, 60,小崎綾, 0.1, 65,*  5,* -9, 2,  3.4,①①①, 2, 1,Ｇライトファンタジア, 51,岩田康, 0.2, 76,  -4,* 11, 2,  4.8,②③③, 2, 1,Ｄアンナミルト, 79,福永祐, 0.2, 80,* 10,   9, 2,  4.6, ①①
 3, 5, メイショウアライソ,---,幸英明, 0.3, 60,  -6,   2, 2,  3.9, ⑤⑤, 3, 7,Ａウイングジャパン, 61,幸英明, 0.8, 59,   3, -14, 4,  7.5,④④③, 3, 7,Ｃカレンスフィｰダ, 61,川田将, 0.4, 74,* -3,   6, 3,  5.8,③②②, 3,12,Ｆマルカファイン, 77,秋山真, 0.5, 76,   2,* 15,10, 32.9, ⑫⑫
 4, 8, クリノリｰソクツモ,---,城戸義, 0.7, 57,  -4,  -4, 5, 12.6, ③④, 4,11,Ｆウソハッピャク, 51,シュタ, 0.8, 59,   3, -14, 5, 11.4,③③②, 4, 4,Ａレントラｰ, 69,幸英明, 0.5, 74,  -4,   8, 1,  1.8,⑤④④, 4, 8,Ｋアドマイヤキュｰト, 76,和田竜, 0.5, 79,   3,* 15, 9, 29.0, ⑪⑪
 5, 6, ジュエルメｰカｰ,---,福永祐, 0.9, 55, -17,*  7, 4,  9.3, ⑨⑨, 5, 1,Ｈマンハッタンキング, 49,岩田康, 1.3, 54,   3, -18, 1,  2.6,⑧⑧⑥, 5, 5,Ｅマツリダアンバタｰ, 61,国分恭, 0.6, 74,  -4,   8, 7, 33.2,④⑤⑤, 5,14,Ｌマｰクスマン, 75,池添謙, 0.6, 76,   0,* 17, 8, 17.4, ⑭⑭
 6, 1, ロｰブディアンジェ,---,デムｰ, 0.9, 55,  -4,  -5, 1,  2.3, ④③, 6, 4,Ｋクリノトイトイ, 44,川須栄, 1.9, 50,   0, -21,14,146.4,⑭⑫⑪, 6, 2,Ｂアドマイヤスタｰ, 64,福永祐, 0.7, 74,  -6,* 11, 5,  9.4,⑦⑦⑦, 6, 3,Ｉビｰトゴｰズオン, 76,小崎綾, 0.6, 75,   8,   7,12, 52.1, ⑤⑤
 7,10, スイフトミノル,---,小崎綾, 1.4, 50, -11,  -3, 9, 68.0, ⑥⑦, 7,10,Ｊコスモデント, 45,柴田未, 2.0, 48,   0, -24,10, 72.8,⑩⑪⑫, 7, 6,Ｆグランアルマダ, 58,シュタ, 0.9, 70,  -6,   5, 6, 24.5,⑥⑥⑥, 7,13,Ｃキタサンウンゲツ, 81,岩田康, 0.8, 74,   7,   6, 3,  5.7, ⑥③
 8, 4, スリｰクンビア,---,太宰啓, 1.6, 51, -19,   5, 7, 26.2, ⑩⑩, 8, 6,Ｉアメリカンマッスル, 48,藤岡佑, 2.1, 46,*  4, -34, 6, 17.3,②②④,,,,,,,,,,,,, 8, 6,Ｂミヤジマッキｰ, 82,デムｰ, 1.0, 73,   5,   7, 1,  4.3, ⑩⑧
 9, 9, ランドマｰクライト,---,義英真, 1.6, 48, -11,  -5, 6, 23.2, ⑦⑥, 9, 8,Ｌイｰストホｰプ, 41,太宰啓, 2.1, 47,   3, -31, 8, 40.6,⑤⑤⑧,,,,,,,,,,,,, 9,16,Ｎメイショウドゥｰマ, 73,藤岡康, 1.1, 72,  -2,* 14,11, 37.1, ⑯⑯
