15年 7月11日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 7月11日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  芝2750m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 4R  芝2750m 3歳上ｵｰﾌﾟﾝ(混) 別定,,,,,,,,,,,,■ 7R  芝1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-4,,,,,■10R  芝2000m 3歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:0,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,松島特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 7, タニノタキシｰド,,小坂忠,,,,, 1,  2.5,①①①, 1, 4, マイネルアダマス,,五十嵐,,,,, 6, 15.3,④④②, 1,14,Ｃサクラベルカント, 61,戸崎圭,, 56, -16,*  2, 3,  4.6, ⑫⑩, 1, 1,Ａダイワリベラル, 88,横山典,, 70,   3,   6, 1,  1.9,③④③
 2, 4, ビッグプレゼンタｰ,,小野寺,181.1,,,, 5, 14.0,⑨⑥⑤, 2, 9, プレミアムウォｰズ,,草野太,179.3,,,, 8, 49.5,③③①, 2, 2,Ｂピュアノアｰル, 63,横山典, 0.0, 55,* -5,  -8, 1,  2.4, ①①, 2, 7,Ｇガチバトル, 70,田中勝, 0.2, 71,   1,*  8, 4, 10.4,⑦⑦④
 3, 5, ウインイルソｰレ,,石神深,181.3,,,, 3,  5.8,⑤③③, 3, 5, トニｰポケット,,熊沢重,179.4,,,, 2,  3.2,⑤⑤⑤, 3, 9,Ａゴｰルドサｰベラス, 72,石川裕, 0.3, 50, -12,  -5, 2,  3.5, ⑦⑦, 3, 6,Ｊブリリアントアスク, 63,蛯名正, 0.2, 71,   1,*  8,10, 85.3,⑨⑧⑦
 4, 9, ウルトラサウンド,,浜野谷,181.6,,,, 2,  3.0,②②②, 4, 2, ラッキｰストリｰク,,蓑島靖,179.7,,,, 1,  2.4,②②③, 4, 7,Ｆルパン, 57,原田和, 0.3, 53, -17,*  0, 7, 49.1, ⑪⑫, 4, 9,Ｆイタリアンネオ, 71,田辺裕, 0.3, 67,   2,   3, 3,  8.2,⑥⑥⑤
 5,11, オベレック,,高野和,182.5,,,, 4,  9.7,④④④, 5, 1, セイウンコレット,,原田和,179.9,,,, 5, 12.2,⑦⑥⑥, 5,10,Ｇミスチフウイッチ, 52,西田雄, 0.4, 50,* -7, -12, 6, 16.9, ③③, 5, 3,Ｄネコタイショウ, 75,オｰル, 0.3, 68,*  5,  -1, 5, 11.0,②②②
 6, 1, インキュベｰタｰ,,金子光,183.2,,,, 9, 62.3,⑦⑧⑦, 6, 6, カシノデュｰク,,石神深,180.0,,,, 7, 18.6,⑥⑦⑦, 6, 8,Ｄスリｰコンサｰト, 59,内田博, 0.7, 46, -11, -12, 5, 15.3, ⑥⑤, 6, 2,Ｅヒロノプリンス, 73,内田博, 0.5, 65,*  5,  -5, 9, 33.1,①①①
 7, 2, シゲルキシュウ,,草野太,183.3,,,,10, 82.7,⑥⑦⑧, 7, 8, パスティ,,山本康,181.3,,,, 4,  7.6,⑧⑧⑧, 7,12,Ｌスニップレイ, 43,嘉藤貴, 0.7, 46, -14,  -9,10,106.6, ⑩⑨, 7, 5,Ｉインパラトｰル, 67,松岡正, 0.6, 68,  -1,   6, 8, 31.1,⑩⑩⑨
 8, 3, ラノララク,,江田勇,183.7,,,, 7, 21.8,③⑤⑥, 8, 7, レッドアｰヴィング,,西谷誠,182.2,,,, 3,  5.7,①①④, 8,11,Ｅナミノリゴリラ, 58,蛯名正, 0.7, 47, -10, -13, 4,  7.2, ④⑥, 8, 8,Ｃマイネグレヴィル, 78,柴田大, 0.9, 62,   3,  -7, 2,  4.0,⑤⑤⑧
