15年 5月24日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 5月24日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1400m 3 歳未勝利(牝) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■ 4R  芝2400m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 7R  芝2000m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,,■10R  芝1400m 4歳上1600万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾌﾘｰｳｪｲｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｂパンプルムｰス, 60,江田照,, 60,  -3,*  1, 2,  3.7, ⑤⑥, 1, 8,Ｆインスタントリｰ, 59,蛯名正,, 66,  -1,*  4, 3,  6.6,⑩⑪⑩, 1, 7,Ｂトレジャｰマップ, 75,内田博,, 76,   4,   8, 1,  3.4,⑨⑧⑥, 1, 6,Ａネオウィズダム, 83,福永祐,, 84,*  8,  10, 1,  3.8, ①①
 2, 5,Ｅディナミック, 57,池添謙, 0.1, 60,* -1,  -2, 8, 16.8, ①①, 2,16,Ａマイネルフレッチャ, 63,柴田大, 0.0, 66,   1,*  0, 1,  2.4,⑯⑨⑦, 2,16,Ｇウインインスパイア, 71,岩田康, 0.1, 74,*  5,   4, 6,  9.3,⑦⑥⑤, 2, 3,Ｊマカハ, 73,浜中俊, 0.1, 84,   4,  15, 6, 12.2, ⑥⑥
 3, 9,Ｆソサエティクイｰン, 57,戸崎圭, 0.1, 60,* -2,  -1, 4,  7.7, ②②, 3, 5,Ｈニシノインシュアラ, 58,柴田善, 0.1, 63,*  2,  -5, 6, 14.8,④③④, 3,18,Ｄストｰリｰセラｰ, 74,福永祐, 0.1, 73,   0,* 11, 7, 14.8,⑭⑪⑩, 3,11,Ｉインプロヴァイズ, 74,戸崎圭, 0.3, 82,   0,* 17, 3,  5.7, ⑩⑨
 4, 3,Ｊモアニレフア, 44,武豊  , 0.6, 58,  -6,*  1,12,100.5, ⑪⑩, 4, 3,Ｂトリプルミッション, 63,横山典, 0.2, 60,*  1,  -8, 2,  4.1,⑭⑥③, 4, 2,Ａバトルジェジェジェ, 75,井上敏, 0.3, 74,  -1,* 12, 9, 25.5,⑪⑫⑫, 4, 9,Ｂエポワス, 82,柴田善, 0.3, 82,   2,  15, 4,  6.1, ⑦⑧
 5, 8,Ｄラブミラｰボｰド, 58,柴山雄, 0.7, 56,  -8,*  3, 7, 13.7, ⑫⑫, 5, 2,Ｅトップインパクト, 60,吉田豊, 0.3, 64,   1,  -3, 5, 12.0,⑦⑩⑧, 5,12,Ｈマンインザムｰン, 71,田辺裕, 0.5, 67,*  6,  -7, 3,  7.0,④③③, 5, 4,Ｍセイクレットレｰヴ, 70,蛯名正, 0.4, 83,  -1,* 18, 7, 14.8, ⑬⑫
 6,14,Ａコンコルダンス, 61,蛯名正, 0.7, 55,  -5,  -3, 1,  3.4, ⑨⑨, 6, 6,Ｄトドロキキシボジン, 60,井上敏, 0.9, 56,  -1,  -7, 8, 22.2,⑨⑬⑫, 6, 6,Ｏブリリアント, 63,武士沢, 0.6, 74,  -1,*  9,12, 41.7,⑱⑱⑮, 6, 5,Ｃストｰミングスタｰ, 81,横山典, 0.4, 80,*  7,   7,10, 27.0, ③③
 7, 1,Ｈレｰヴシャルマン, 54,三浦皇, 0.9, 54,  -5,  -4, 5, 10.2, ⑦⑦, 7, 9,Ｏチｰキｰデヴィル, 43,戸崎圭, 1.0, 58,  -2,  -3,10, 47.9,⑮⑯⑭, 7, 5,Ｆディｰルフロｰ, 72,柴山雄, 0.6, 70,   2,   1, 8, 17.3,⑥⑦⑦, 7,12,Ｆマジックタイム, 79,杉原誠, 0.6, 79,  -2,* 16, 2,  4.4, ⑪⑬
 8, 7,Ｃアフェクトダンサｰ, 58,柴田善, 0.9, 54,  -8,   0, 6, 10.5, ⑭⑭, 8,10,Ｇアドラビリティ, 59,松岡正, 1.3, 53,*  3, -27, 7, 16.5,①①①, 8,15,Ｃヘイロｰフォンテン, 75,三浦皇, 0.7, 70,  -1,   6, 2,  6.0,⑫⑬⑬, 8,10,Ｋキョウエイバサラ, 72,石橋脩, 0.7, 77,*  8,   2,13,111.2, ②②
 9,10,Ｉハッピｰパウダｰ, 47,北村宏, 1.5, 51, -10,  -3, 3,  5.7, ⑮⑮, 9, 1,Ｋクインズエキシｰト, 50,柴山雄, 1.3, 54,  -1, -12,13,127.3,⑪⑭⑬, 9, 8,Ｎノｰヒッタｰ, 64,吉田豊, 0.7, 71,  -2,*  9,10, 29.4,⑬⑭⑭, 9, 2,Ｈボンジュｰルココロ, 76,田中勝, 0.8, 78,  -4,* 16, 9, 22.5, ⑭⑭
10, 2,Ｇリワｰドセロン, 56,井上敏, 1.7, 47,  -3, -13,10, 89.3, ④④,10, 4,Ｃスタｰキャスト, 61,ルメｰ, 1.4, 53,   0, -15, 4,  9.9,⑥⑦⑪,10, 1,Ｋタｰフデライト, 67,横山典, 0.8, 64,   3,  -5, 4,  7.3,③④④,10,13,Ｄマルタカシクレノン, 80,岩田康, 0.8, 75,*  7,   2, 5, 11.0, ⑤⑤
11,13, オｰロラバイオ,---,黛弘人, 1.8, 47,  -5, -12,13,162.3, ⑧⑧,11,13,Ｉエンゲルフライト, 50,岩田康, 1.5, 52,  -3, -11, 9, 42.1,⑫⑫⑮,11,17,Ｍブラックシェンロン, 64,菱田裕, 0.9, 69,  -3,* 10,14,114.4,⑰⑰⑱,11, 1,Ｎコレクタｰアイテム, 70,田辺裕, 0.9, 76,   0,  10,11, 41.6, ⑫⑩
12,12,Ｋバトルトリｰプ, 42,吉田豊, 2.1, 43,* -2, -19, 9, 88.5, ③③,12,12,Ｌヴァペンシエロ, 49,石橋脩, 2.6, 45,   1, -35,16,526.6,⑧⑧⑨,12, 9,Ｉポｰラメソッド, 70,戸崎圭, 0.9, 68,  -4,*  9, 5,  7.8,⑯⑯⑯,12, 7,Ｅエンドレスノット, 79,内田博, 1.1, 73,   3,   3, 8, 16.8, ⑨⑦
13, 6,Ｎリナシｰタ, 32,岩部純, 2.9, 39, -13, -11,16,332.2, ⑯⑯,13,15,Ｊクリノダイシャリン, 50,嘉藤貴, 2.6, 44,   0, -38,11, 56.2,③④⑥,13,13,Ｑヨッテウタッテ, 56,柴田善, 1.0, 67,  -4,   8,15,203.2,⑮⑮⑰,13,14,Ｌエタｰナルムｰン, 72,木幡初, 1.1, 73,   0,   7,14,121.9, ⑧⑪
14, 4,Ｏジｰニアル, 28,田辺裕, 2.9, 37,  -4, -23,11, 90.9, ⑥⑤,14,14,Ｎラプンツェルダンス, 45,武士沢, 2.7, 46,*  2, -43,15,279.1,⑤⑤⑤,14, 4,Ｒパワｰショット, 53,杉原誠, 1.1, 60,*  5, -14,18,394.8,②②②,14, 8,Ｇハングリｰジャック, 78,菱田裕, 1.2, 71,   5,  -2,12, 83.9, ④④
15,11,Ｍヤマニンルバンシュ, 37,柴田大, 3.0, 39,  -8, -17,15,241.1, ⑬⑬,15,11,Ｍロｰレンアイザック, 48,江田照, 3.1, 39,  -4, -31,14,252.8,⑬⑮⑯,15, 3,Ｅウマンマミｰア, 72,江田照, 1.1, 62,   1,  -3,11, 33.9,⑧⑨⑨,,,,,,,,,,,,
16,16,Ｌサルビア, 38,菱田裕, 3.9, 30,  -7, -29,14,208.4, ⑩⑪,16, 7,Ｐニｰマルゴｰルド, 37,田辺裕, 3.4, 41,*  3, -56,12, 57.5,②②②,16,14,Ｐビッグダｰジリン, 58,嘉藤貴, 1.5, 57,*  7, -25,17,323.7,①①①,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,17,10,Ｊプラスワン, 67,黛弘人, 1.6, 58,   2, -14,16,246.7,⑤⑤⑧,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,18,11,Ｌファイネストアワｰ, 66,蛯名正, 1.8, 59,   1, -12,13, 80.3,⑩⑩⑪,,,,,,,,,,,,
ｸﾗｽ上位平均:60 ﾚｰｽﾍﾟｰｽ指数:-5 ﾚｰｽｱｶﾞﾘ指数:-2 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:62 ﾚｰｽﾍﾟｰｽ指数:+0 ﾚｰｽｱｶﾞﾘ指数:-4 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:72 ﾚｰｽﾍﾟｰｽ指数:-1 ﾚｰｽｱｶﾞﾘ指数:+3 馬場:良(指数:-2),,,,,,,,,,,,ｸﾗｽ上位平均:82 ﾚｰｽﾍﾟｰｽ指数:-4 ﾚｰｽｱｶﾞﾘ指数:+4 馬場:良(指数:-2),,,,,,,,,,,
"単勝:370円 複勝:15=170円 05=430円 09=240円 枠連:5,510円",,,,,,,,,,,,単勝:660円 複勝:08=210円 16=120円 05=340円 枠連:810円,,,,,,,,,,,,単勝:340円 複勝:07=160円 16=280円 18=400円 枠連:850円,,,,,,,,,,,,"単勝:380円 複勝:06=170円 03=290円 11=220円 枠連:1,290円",,,,,,,,,,,
"馬連:4,360円 ワイド:05-15=1,380円 09-15=540円 05-09=1,860円",,,,,,,,,,,,"馬連:930円 ワイド:08-16=400円 05-08=1,950円 05-16=740円",,,,,,,,,,,,"馬連:1,820円 ワイド:07-16=710円 07-18=1,290円 16-18=1,610円",,,,,,,,,,,,"馬連:2,430円 ワイド:03-06=830円 06-11=680円 03-11=1,350円",,,,,,,,,,,
"馬単:6,890円 3連複:8,370円 3連単:51,930円",,,,,,,,,,,,"馬単:2,560円 3連複:5,080円 3連単:30,520円",,,,,,,,,,,,"馬単:2,840円 3連複:7,270円 3連単:32,640円",,,,,,,,,,,,"馬単:3,790円 3連複:6,170円 3連単:24,310円",,,,,,,,,,,
■ 2R  ダ1300m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:5,,,,,■ 5R  ダ2100m 3 歳500万(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:8,,,,,■ 8R  ダ1400m 4歳上1000万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,,■11R  芝2400m 3 歳ｵｰﾌﾟﾝ(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,立川特別,,,,,,,,,,,,優駿牝馬 ＧⅠ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 4,Ｃヴェイルドスケｰル, 61,柴山雄,, 62,   0,  -1, 2,  3.7, ⑦⑦, 1, 6,Ｈパッショネイトラン, 67,田辺裕,, 73,*  4,*  9, 8, 21.2,④③③, 1, 6,Ｊプロトコル, 74,蛯名正,, 80,*  7,*  8, 9, 25.3, ③③, 1,10,Ａミッキｰクイｰン, 84,浜中俊,, 83,   9,* 14, 3,  6.8,⑫⑩⑨
 2,12,Ｆタイセイプレシャス, 53,北村宏, 0.0, 62,  -6,*  6, 8, 18.9, ⑭⑭, 2, 5,Ｆカンデラ, 68,岩田康, 0.1, 72,*  5,   7, 7, 19.7,①①①, 2, 3,Ａバコパ, 79,福永祐, 0.0, 80,*  9,   6, 7, 17.9, ①①, 2,14,Ｆルｰジュバック, 77,戸崎圭, 0.1, 81,  10,   7, 1,  2.7,⑥⑤⑤
 3,10,Ａダンガンコゾウ, 62,内田博, 0.3, 60,  -3,  -1, 1,  2.9, ⑩⑧, 3, 9,Ｃブルｰルｰク, 72,蛯名正, 0.1, 73,*  5,   8, 1,  2.8,②②②, 3, 5,Ｆラテンロック, 76,浜中俊, 0.1, 80,*  8,   6, 1,  2.3, ②②, 3,17,Ｍクルミナル, 75,池添謙, 0.2, 80,  10,   8, 6, 11.8,⑨⑧⑧
 4, 1,Ｍキタノマドンナ, 46,戸崎圭, 0.5, 59,   0,  -6, 5,  9.3, ⑥⑥, 4, 2,Ｇグラブザフラッグ, 67,三浦皇, 0.4, 72,   4,   8, 5, 10.5,⑤⑤⑤, 4, 1,Ｄミヤジマッキｰ, 76,川田将, 0.6, 75,   6,   4, 5, 13.9, ④④, 4,12,Ｌアｰスライズ, 75,三浦皇, 0.5, 79,   7,* 10,13,120.9,⑪⑫⑫
 5, 5,Ｈキザシ, 52,武士沢, 0.7, 57,  -4,  -1,12, 89.9, ⑬⑬, 5, 7,Ｂワトソンクリック, 73,内田博, 0.4, 72,   3,* 10, 4,  6.9,⑧⑧⑦, 5, 9,Ｇスウィｰプアウェイ, 75,岩田康, 0.8, 72,   1,* 10, 2,  4.8, ⑬⑭, 5,13,Ｄアンドリエッテ, 78,川田将, 0.6, 79,   7,* 10, 7, 17.7,⑭⑮⑭
 6, 3, ティズドラゴン,---,吉田豊, 0.7, 57,*  3, -10, 4,  7.8, ①①, 6, 4,Ａコスモアルマク, 74,柴田大, 0.6, 71,   3,*  9, 6, 14.5,⑦⑦⑨, 6,11,Ｋゴｰルドスｰク, 74,武豊  , 0.9, 72,   4,   4, 6, 15.9, ⑨⑨, 6, 8,Ｏロｰデッド, 73,柴山雄, 0.7, 75,* 11,  -6,14,148.4,②②②
 7, 8,Ｄラストシンデレラ, 58,柴田大, 0.7, 59,*  3, -10, 6, 15.9, ②②, 7, 8,Ｉパイロキシン, 66,石橋脩, 0.7, 69,   4,   5,10, 40.7,⑥⑥⑥, 7, 7,Ｉナムライチバンボシ, 74,三浦皇, 0.9, 72,   4,   4, 8, 21.7, ⑩⑧, 7, 4,Ｇココロノアイ, 77,横山典, 0.7, 76,   8,   5, 4,  8.8,⑧⑨⑩
 8, 2,Ｂダイニヨシゼン, 61,柴田善, 0.9, 54,  -4,  -4, 3,  6.4, ⑫⑫, 8, 3,Ｊナンヨｰテンプル, 62,川田将, 0.9, 68,   4,   3, 9, 32.7,③④④, 8, 2,Ｂアサクサレｰサｰ, 78,戸崎圭, 1.1, 70,   4,   2, 3,  6.3, ⑦⑦, 8, 2,Ｃマキシマムドパリ, 79,武豊  , 0.9, 76,   7,   7,12, 37.6,⑩⑬⑬
 9,16,Ｌアンダリュｰサイト, 50,黛弘人, 1.7, 49,  -3, -12,14,107.1, ⑪⑪, 9,10,Ｅニホンピロシナバｰ, 70,ルメｰ, 1.1, 67,   3,   4, 3,  4.7,⑨⑨⑧, 9,15,Ｃスリｰアロｰ, 77,石橋脩, 1.2, 68,   0,   6,11, 49.4, ⑭⑮, 9, 6,Ｅクイｰンズリング, 77,デムｰ, 1.0, 73,   6,   7, 5,  9.3,⑬⑭⑮
10,11,Ｇロゼスピリッツ, 52,田辺裕, 2.0, 47,*  2, -21,13,104.0, ③③,10, 1,Ｄドラゴンパイロ, 71,吉田豊, 1.2, 66,   2,   5, 2,  4.3,⑩⑩⑩,10, 4,Ｌダｰクシｰカｰ, 73,松岡正, 1.8, 64,   6,  -6,14, 97.3, ⑤⑤,10, 1,Ｂレッツゴｰドンキ, 80,岩田康, 1.1, 71,   8,  -3, 2,  6.0,⑤⑥⑥
11, 9,Ｅヤマニンピエドｰル, 57,江田照, 2.3, 43,  -3, -19, 7, 17.8, ⑨⑨,,,,,,,,,,,,,11,14,Ｍウェイトアンドシｰ, 73,ルメｰ, 2.2, 61,   6,  -9,10, 26.0, ⑥⑥,11,18,Ｋディアマイダｰリン, 76,福永祐, 1.4, 67,* 11, -14,11, 35.2,④④③
12, 6,Ｋカシノフレンジｰ, 50,二本柳, 2.3, 42,  -8, -12,11, 74.1, ⑮⑮,,,,,,,,,,,,,12,13,Ｎザストロンシチｰ, 72,菱田裕, 2.4, 60,   3,  -7,15,267.1, ⑪⑪,12, 7,Ｈキャットコイン, 77,柴田善, 1.5, 71,   6,   3, 8, 20.1,⑰⑰⑰
13,13,Ｉトｰセンワルツ, 51,井上敏, 2.5, 42,   1, -25,10, 73.0, ④④,,,,,,,,,,,,,13,10,Ｐラブミｰブルｰ, 64,柴田大, 2.5, 59,   1,  -6,16,349.9, ⑮⑬,13,16,Ｑノットフォｰマル, 69,黛弘人, 1.7, 66,* 12, -22,15,198.3,①①①
