15年11月22日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年11月22日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1600m 2 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:4,,,,,■ 4R  芝3000m 3歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1300m 3歳上500万 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■10R  芝1600m 3歳上1600万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ﾕｰﾄﾋﾟｱｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａアジュｰルロｰズ, 69,北村宏,, 61,   0,  -1, 1,  1.3, ⑧⑤, 1,10, ピッツネイル,,山本康,,,,, 8, 21.7,②①①, 1, 2,Ｂメイショウカノン, 73,内田博,, 72,   0,* 10, 2,  5.4, ⑨⑨, 1, 6,Ｃレッドセシリア, 82,三浦皇,, 88,   3,* 17, 3,  7.3, ⑧⑧
 2, 1,Ｌダイリュウハヤテ, 35,武士沢, 0.0, 61,  -5,*  7, 9, 59.4, ⑬⑫, 2, 1, オｰルデフィｰト,,五十嵐,206.1,,,, 2,  5.6,③②②, 2,13,Ｅコンドルヒデオ, 69,シュタ, 0.0, 72,   4,   6, 5, 10.5, ⑤⑦, 2, 5,Ａマジックタイム, 84,石川裕, 0.0, 87,   2,* 20, 1,  3.7, ⑪⑫
 3, 5,Ｄガオガイリュイ, 57,田辺裕, 0.0, 60,  -4,*  5, 5, 17.0, ⑩⑧, 3, 2, ニシノファブレッド,,浜野谷,206.4,,,, 4, 11.5,⑤④③, 3, 6,Ａウェイトアンドシｰ, 73,柴田大, 0.1, 71,*  7,   1, 1,  2.1, ①①, 3, 1,Ｎコンテッサトゥｰレ, 74,ベリｰ, 0.2, 83,* 10,   4, 5,  8.2, ②②
 4,11,Ｃニシノタイタン, 59,内田博, 0.2, 60,  -4,*  3, 2,  8.0, ⑫⑪, 4, 4, シゲルヒノクニ,,草野太,206.6,,,, 1,  1.9,⑦③④, 4, 5,Ｄダイメイリシャｰル, 70,井上敏, 0.1, 70,   4,   3, 6, 14.4, ④④, 4, 4,Ｍチェリｰヒロイン, 75,田中勝, 0.2, 85,   8,   7,13, 97.4, ⑤④
 5, 6,Ｏクラウンホイｰル, 31,吉田隼, 0.8, 56,  -5,   1, 7, 41.4, ⑭⑬, 5, 8, コｰリンジャヴロｰ,,上野翔,209.0,,,, 6, 16.9,⑪⑧⑦, 5,16,Ｆフィンデルムンド, 67,伴啓太, 0.3, 70,   3,   4,11,106.0, ⑧⑧, 5,16,Ｄトｰセンビクトリｰ, 82,柴田善, 0.4, 82,   5,  10, 2,  3.7, ⑨⑨
 6,16,Ｂコスモカナディアン, 60,柴田大, 0.9, 55,*  2, -12, 3,  9.1, ①①, 6, 5, タイキフロンティア,,小野寺,210.5,,,,11, 61.5,⑨⑨⑩, 6, 9,Ｋブラウンカイ, 62,丸山元, 0.6, 67,   3,   2,10, 56.3, ⑦⑥, 6,12,Ｆプロクリス, 79,石橋脩, 0.6, 78,* 13,  -8, 6,  9.2, ①①
 7,12,Ｋイエスアイゲット, 40,ベリｰ, 1.0, 54,  -1,  -6,11,158.0, ⑨⑦, 7, 6, セイクリッドロｰド,,蓑島靖,210.6,,,, 7, 20.3,⑩⑩⑨, 7,14,Ｌジュエルプラネット, 62,北村宏, 0.6, 68,*  7,  -2, 7, 18.5, ②②, 7,10,Ｇエタｰナルムｰン, 79,木幡初, 0.7, 77,   6,   2,14,104.1, ⑦⑦
 8, 2,Ｆホワイトシャドウ, 52,シュタ, 1.6, 50,  -1, -13, 6, 27.0, ⑥⑥, 8,11, レジェンドパワｰ,,大江原,211.1,,,,12, 78.4,⑥⑥⑥, 8,15,Ｃアサクサレｰサｰ, 70,大野拓, 0.6, 67,  -4,* 10, 4,  8.2, ⑯⑯, 8, 9,Ｊボンジュｰルココロ, 76,柴田大, 0.8, 79,   3,   7,11, 69.7, ⑫⑪
