15年 2月 1日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 2月 1日 東京,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1300m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,,■ 4R  芝3000m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  ダ1600m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1600m 4歳上1600万(混) ﾊﾝﾃﾞ,,,,,,,出走馬ﾚﾍﾞﾙ:-2,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,節分ｽﾃｰｸｽ,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,16,Ａコンドルヒデオ, 70,ベリｰ,, 65,  -3,*  8, 2,  5.8, ⑩⑪, 1, 8, セイウンコレット,,原田和,,,,, 1,  3.9,⑨⑦④, 1, 9,Ｅラストダンサｰ, 74,横山典,, 72,*  9,   9, 4,  7.8, ②③, 1,11,Ｉカフェブリリアント, 79,福永祐,, 85,   7,* 12, 6, 15.0, ⑪⑪
 2,11,Ｄロックフォｰル, 60,ブノワ, 0.7, 62,   0,  -1, 6, 16.0, ⑤⑥, 2,11, レジアｰネ,,蓑島靖,210.1,,,, 7, 13.7,⑪⑩⑧, 2,11,Ｆティズトレメンダス, 71,田辺裕, 0.0, 75,   4,* 16, 9, 21.4, ⑮⑬, 2, 8,Ｂアデイインザライフ, 81,ベリｰ, 0.1, 84,   4,* 13, 1,  2.1, ⑮⑮
 3,14,Ｆキョウエイプライド, 58,田中勝, 0.9, 60,  -2,  -1, 4,  9.0, ⑧⑧, 3, 7, マイネルグｰト,,平沢健,210.2,,,, 4,  7.8,⑥④③, 3, 4,Ｃメガオパｰルカフェ, 76,田中勝, 0.1, 75,   7,* 11, 1,  4.6, ④⑤, 3, 7,Ｋマイネルアウラｰト, 78,松岡正, 0.2, 84,  12,   0, 7, 18.7, ⑤④
 4, 7,Ｃシャトルソニック, 62,蛯名正, 1.0, 59,*  2,  -6, 5, 11.7, ③③, 4, 2, トラバント,,小坂忠,210.4,,,, 2,  3.9,⑧⑧⑦, 4,13,Ｏアンリキャトル, 57,北村宏, 0.5, 71,*  9,   5, 5,  9.4, ⑥④, 4, 6,Ｅプロクリス, 79,田中勝, 0.4, 81,   8,   1, 3,  7.8, ⑧⑦
 5, 9,Ｇウサギノカケアシ, 56,吉原寛, 1.0, 59,  -1,  -3, 8, 18.7, ⑦⑤, 5, 5, カワキタバルク,,小野寺,211.3,,,,14,143.0,⑦⑨⑩, 5, 5,Ｊツクバホシノオｰ, 67,武豊  , 0.6, 69,   5,   9, 7, 10.9, ⑧⑩, 5, 2,Ｌサトノフェラｰリ, 78,北村宏, 0.6, 80,   4,   6, 2,  5.8, ⑫⑬
 6, 1,Ｂオｰバｰウェルム, 65,横山典, 1.3, 55,  -4,  -1, 1,  2.1, ⑭⑫, 6,10, アイティテイオｰ,,山本康,212.1,,,, 3,  4.5,②③②, 6,14,Ｄポルスタｰシャイン, 75,丸山元, 0.7, 69,   7,   6, 8, 11.0, ⑨⑥, 6,14,Ｍベストドリｰム, 77,武豊  , 0.7, 77,   4,   4, 4, 12.4, ⑭⑭
 7, 2,Ｈピックアンドポップ, 55,北村宏, 1.4, 56,   0,  -7, 3,  5.9, ④④, 7, 3, ケンブリッジヒｰロ,,浜野谷,212.5,,,, 9, 33.7,①①①, 7, 8,Ｂワイドショｰ, 78,吉田豊, 1.4, 62,   4,   4, 6,  9.5, ⑬⑭, 7, 1,Ａオメガキングティｰ, 87,ブノワ, 0.7, 76,   9,  -3, 8, 20.6, ⑦⑥
 8,15,Ｊミスチフウイッチ, 51,西田雄, 1.4, 56,  -4,  -2,10, 73.2, ⑬⑭, 8, 9, ハｰドロッカｰ,,上野翔,212.6,,,, 6, 11.6,④⑤⑥, 8,16,Ｌビックナジョｰカｰ, 65,後藤浩, 1.6, 61,   5,   1,10, 22.6, ⑭⑮, 8, 3,Ｄキョウエイバサラ, 79,川須栄, 0.7, 75,  11,  -8,12, 66.6, ③③
