15年 4月25日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 4月25日 福島,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1150m 3 歳未勝利(混) 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:1,,,,,■ 4R  芝2770m 4歳上未勝利 定量,,,,,,,,,,,,■ 7R  芝1800m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,,■10R  芝1200m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:-1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,伏拝特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1,15,Ｄキｰスカｰフ, 60,津村明,, 61,* 10,  -3,11, 51.5, ①①, 1,11, サナシオン,,西谷誠,,,,, 4, 10.0,②①①, 1, 1,Ｊオｰラクィｰン, 41,井上敏,, 63,  -1,*  0,15,136.7,⑥⑥⑥, 1, 4,Ｂハイベストバイオ, 70,古川吉,, 70,*  1,   4, 3,  4.9, ①①
 2,13,Ａヒカリピオニｰ, 68,木幡初, 0.2, 56,   1,   2, 2,  4.2, ⑦⑨, 2, 5, アイティテイオｰ,,浜野谷,179.6,,,, 2,  5.7,③②②, 2, 4,Ｅオフビｰト, 54,勝浦正, 0.0, 63,  -1,*  2, 7, 13.8,⑦⑦⑦, 2, 7,Ｍセルリアンシュロス, 56,国分恭, 0.1, 69,  -2,   7, 9, 23.1, ③③
 3, 9,Ｃタイセイメテオ, 62,藤岡康, 0.3, 53,  -5,*  6, 5, 10.3, ⑪⑧, 3, 2, タニノタキシｰド,,小坂忠,181.8,,,, 1,  1.7,④③③, 3, 9, イレイション,---,松田大, 0.2, 61,*  2,  -7, 4,  6.6,⑤③③, 3,13,Ｃトシストロング, 70,丸山元, 0.2, 67,  -4,   7, 2,  4.6, ⑦⑦
 4,12,Ｂディスティニｰガイ, 64,黛弘人, 0.5, 56,*  7,  -6, 1,  3.0, ③③, 4,14, テイエムボッケモン,,黒岩悠,183.0,,,, 6, 18.4,⑧⑦⑥, 4, 8,Ａノミネｰション, 65,藤岡康, 0.5, 56,*  3, -14, 5,  8.0,①①①, 4,15,Ｎリュクサンブｰル, 56,田中勝, 0.2, 69,* -1,   5, 8, 17.5, ④④
 5,10,Ｉシベリアンマッシブ, 51,勝浦正, 0.6, 50,  -5,   4, 6, 20.4, ⑫⑫, 5, 9, マイネルブルズアイ,,山本康,183.4,,,,10, 73.6,⑤⑤⑤, 5,16,Ｄデトロイトカフェ, 57,丸山元, 0.5, 56,*  2, -13, 6,  8.2,②②②, 5, 2,Ａクリノコマチ, 71,宮崎北, 0.3, 67,  -5,   7, 1,  3.3, ⑤⑤
 6, 4,Ｇポワソンダブリル, 52,丸山元, 0.7, 52,   0,   0, 7, 20.4, ⑧⑦, 6, 1, ラノララク,,鈴木慶,183.8,,,,12,111.8,①④④, 6,10,Ｈジャンゴ, 45,津村明, 0.7, 55,  -4,  -4,13,106.3,⑨⑧⑧, 6,12,Ｇハプスブルク, 64,長岡禎, 0.5, 67, -18,* 18,10, 29.0, ⑬⑬
 7, 2,Ｅモンサンナシｰラ, 59,松若風, 0.7, 52,   5,  -6, 3,  4.5, ⑥⑥, 7,10, ディｰプスノｰ,,江田勇,184.8,,,, 7, 19.1,⑬⑩⑪, 7, 3,Ｃフォルサ, 58,中谷雄, 0.7, 54,   0, -13, 2,  5.2,④⑤⑤, 7, 1,Ｄエスユｰハリケｰン, 70,丹内祐, 0.5, 65,  -9,   8, 7, 15.9, ⑨⑨
 8, 8,Ｋディナミック, 48,柴田大, 0.7, 54,*  8,  -9, 8, 22.4, ②②, 8,12, トｰセンロｰツェ,,小野寺,185.0,,,,14,213.1,⑨⑨⑨, 8,13,Ｉニシノリコルディ, 45,松若風, 0.8, 55,  -5,  -2,10, 52.2,⑩⑩⑨, 8, 9,Ｅフィボナッチ, 66,横山典, 0.5, 63,  -5,   4, 4, 10.0, ⑥⑥
