15年 5月24日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,,15年 5月24日 新潟,,,,,,,※馬名の前の英字はインジケｰタ総合評価｡例えばAは評価1位の馬であったことを示す｡,,,,,,,,,,,,,,,,
■ 1R  ダ1200m 3 歳未勝利 馬齢,,,,,,,出走馬ﾚﾍﾞﾙ:-9,,,,,■ 4R  芝2890m 4歳上未勝利(混) 定量,,,,,,,,,,,,■ 7R  芝1400m 4歳上500万(牝) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:2,,,,,■10R  芝2400m 4歳上500万(混) 定量,,,,,,,出走馬ﾚﾍﾞﾙ:7,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,荒川峡特別,,,,,,,,,,
着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取,着,番,馬名,総合指数,騎手,着差,今回指数,ペｰス,上がり,人気,単勝,位置取
 1, 8,Ａマルカメテオ, 67,川須栄,, 66,*  7,*  1, 1,  1.5, ②②, 1, 5, カッパドキア,,西谷誠,,,,, 3,  5.5,⑥③②, 1,14,Ｂフェイブルネｰジュ, 74,鮫島克,, 73,  -4,* 10, 2,  4.6, ⑩⑩, 1,10,Ｄトゥインクル, 72,川須栄,, 77,   7,* 10, 5,  7.6,⑤⑧⑤
 2, 6,Ｃプリンセスケイ, 61,丸山元, 0.2, 63,*  8,  -1, 3, 10.2, ①①, 2, 1, ゴｰルドブライアン,,難波剛,189.1,,,, 2,  4.5,⑧⑧⑧, 2, 7,Ａイントロダクション, 79,津村明, 0.2, 73,  -8,* 13, 1,  2.2, ⑭⑬, 2, 4,Ｂフォルトファｰレン, 73,国分優, 0.0, 75,* 10,   2, 3,  5.6,②②②
 3, 4,Ｅオｰゴンマリア, 56,大野拓, 0.3, 61,   3,*  2, 9, 33.5, ③③, 3,12, アイティテイオｰ,,浜野谷,189.2,,,, 1,  3.5,④②①, 3,15,Ｋブルｰヴァルキリｰ, 61,城戸義, 0.4, 69,  -5,   7,11, 64.3, ⑪⑫, 3, 2,Ｈウインミラグロス, 69,丹内祐, 0.3, 73,* 11,  -6,10, 27.8,①①①
 4,11,Ｂミヤビヴィグラス, 62,西田雄, 0.9, 56,   1,  -1, 6, 24.5, ⑤④, 4,10, アドマイヤタイシ,,北沢伸,189.5,,,, 4,  5.7,⑦⑤⑥, 4,10,Ｈガｰトルｰド, 67,義英真, 0.5, 69,  -9,* 11,10, 42.4, ⑮⑮, 4,16,Ｊバスティｰド, 68,丸山元, 0.6, 72,   6,*  7, 7, 14.9,⑩⑩⑨
 5, 1,Ｈカムヒア, 53,義英真, 1.0, 54,  -2,   0, 8, 30.5, ⑦⑦, 5, 6, レッドヴィｰヴォ,,上野翔,189.7,,,,11,112.7,⑨⑦⑦, 5, 8,Ｅネオヴィクトリア, 68,川島信, 0.5, 68,  -7,   7, 7, 22.2, ⑬⑪, 5, 9,Ｃモンテエクリプス, 73,大野拓, 0.8, 70,   7,   0, 4,  6.5,⑨⑥⑦
 6, 2,Ｊアメリカンマッスル, 44,城戸義, 1.1, 54,   0,  -3, 7, 24.9, ④⑤, 6,14, サフランディライト,,白浜雄,190.6,,,, 6, 11.1,③⑥④, 6, 4,Ｇダイワベスパｰ, 68,川須栄, 0.6, 64,*  1,  -5, 6, 16.8, ②②, 6, 7,Ｐアルマセクレタ, 61,勝浦正, 0.9, 68,   7,  -2,13, 57.4,⑦⑦⑧
 7,14,Ｉノｰブルコスマｰ, 52,木幡初, 1.1, 54,  -1,  -2,12,186.9, ⑥⑥, 7, 8, エイシンフランキｰ,,森一馬,190.7,,,, 5,  8.6,②①③, 7, 6,Ｉダノンルｰジュ, 67,松田大, 0.6, 65,  -1,  -1, 4,  8.6, ⑥⑥, 7, 5,Ｏスプリングシャトル, 62,村田一, 1.0, 67,   7,  -6,16,110.8,⑥④③
 8,12,Ｆラｰムリュンヌ, 56,川島信, 1.2, 52,  -5,*  2, 4, 11.5, ⑪⑪, 8, 4, コスモパトラ,,山本康,191.4,,,, 7, 12.6,①④⑤, 8, 5,Ｄイｰグルアモン, 69,勝浦正, 0.8, 62,  -4,  -1, 8, 34.9, ⑨⑨, 8,13,Ｉスマッシュスマイル, 68,藤田伸, 1.5, 64,   5,  -1, 8, 20.2,⑭⑭⑭
